ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00518	DB08877	Albendazole	Ruxolitinib	1.0	P	L	False	False
DB00518	DB04868	Albendazole	Nilotinib	1.0	P	L	False	False
DB00518	DB08895	Albendazole	Tofacitinib	1.0	P	L	False	False
DB00643	DB08877	Mebendazole	Ruxolitinib	1.0	P	L	False	False
DB00643	DB08895	Mebendazole	Tofacitinib	1.0	P	L	False	False
DB00541	DB04868	Vincristine	Nilotinib	1.0	L	L	False	False
DB00643	DB04868	Mebendazole	Nilotinib	1.0	P	L	False	False
DB04868	DB02659	Nilotinib	Cholic Acid	0.9679089026915113	L	A	False	False
DB00541	DB02659	Vincristine	Cholic Acid	0.9679089026915113	L	A	False	False
DB00518	DB02659	Albendazole	Cholic Acid	0.9679089026915113	P	A	False	False
DB00643	DB02659	Mebendazole	Cholic Acid	0.9679089026915113	P	A	False	False
DB00541	DB06589	Vincristine	Pazopanib	0.95	L	L	False	False
DB00643	DB06589	Mebendazole	Pazopanib	0.95	P	L	False	False
DB00518	DB06589	Albendazole	Pazopanib	0.95	P	L	False	False
DB06080	DB02659	Linifanib	Cholic Acid	0.9457671957671958		A	False	False
DB05134	DB02659	Tanespimycin	Cholic Acid	0.9244306418219463		A	False	False
DB00623	DB00518	Fluphenazine	Albendazole	0.9166666666666665	N	P	False	False
DB00518	DB06080	Albendazole	Linifanib	0.9166666666666665	P		False	False
DB00623	DB00541	Fluphenazine	Vincristine	0.9166666666666665	N	L	False	False
DB00541	DB06080	Vincristine	Linifanib	0.9166666666666665	L		False	False
DB00623	DB00643	Fluphenazine	Mebendazole	0.9166666666666665	N	P	False	False
DB00643	DB06080	Mebendazole	Linifanib	0.9166666666666665	P		False	False
DB08877	DB02659	Ruxolitinib	Cholic Acid	0.8809523809523809	L	A	False	False
DB08895	DB02659	Tofacitinib	Cholic Acid	0.8809523809523809	L	A	False	False
DB00623	DB06589	Fluphenazine	Pazopanib	0.8666666666666667	N	L	False	False
DB00623	DB06080	Fluphenazine	Linifanib	0.8333333333333333	N		False	False
DB12695	DB06080	Phenethyl Isothiocyanate	Linifanib	0.8303921568627453			False	False
DB06589	DB02659	Pazopanib	Cholic Acid	0.7986943164362519	L	A	False	False
DB00643	DB00831	Mebendazole	Trifluoperazine	0.7916666666666665	P	N	False	False
DB04868	DB00831	Nilotinib	Trifluoperazine	0.7916666666666665	L	N	False	False
DB00518	DB00831	Albendazole	Trifluoperazine	0.7916666666666665	P	N	False	False
DB00541	DB00831	Vincristine	Trifluoperazine	0.7916666666666665	L	N	False	False
DB04868	DB12695	Nilotinib	Phenethyl Isothiocyanate	0.7843971631205673	L		False	False
DB04868	DB00252	Nilotinib	Phenytoin	0.7666666666666666	L	N	False	False
DB04868	DB02709	Nilotinib	Resveratrol	0.7637362637362637	L		False	False
DB00643	DB02709	Mebendazole	Resveratrol	0.7637362637362637	P		False	False
DB00518	DB02709	Albendazole	Resveratrol	0.7637362637362637	P		False	False
DB12695	DB06589	Phenethyl Isothiocyanate	Pazopanib	0.7560606060606061		L	False	False
DB04868	DB00603	Nilotinib	Medroxyprogesterone acetate	0.75	L	L, G	False	False
DB08877	DB02709	Ruxolitinib	Resveratrol	0.7423076923076923	L		False	False
DB08895	DB02709	Tofacitinib	Resveratrol	0.7423076923076923	L		False	False
DB06080	DB01645	Linifanib	Genistein	0.7344804318488529			False	False
DB00643	DB08901	Mebendazole	Ponatinib	0.7313725490196079	P	L	False	False
DB00518	DB08901	Albendazole	Ponatinib	0.7313725490196079	P	L	False	False
DB08895	DB12695	Tofacitinib	Phenethyl Isothiocyanate	0.7292517006802721	L		False	False
DB08877	DB12695	Ruxolitinib	Phenethyl Isothiocyanate	0.7292517006802721	L		False	False
DB01202	DB02659	Levetiracetam	Cholic Acid	0.7287784679089029	N	A	False	False
DB04868	DB01645	Nilotinib	Genistein	0.7230769230769232	L		False	False
DB00643	DB01645	Mebendazole	Genistein	0.7230769230769232	P		False	False
DB00518	DB01645	Albendazole	Genistein	0.7230769230769232	P		False	False
DB08895	DB00313	Tofacitinib	Valproic acid	0.7222222222222223	L	N	False	False
DB08877	DB00313	Ruxolitinib	Valproic acid	0.7222222222222223	L	N	False	False
DB06080	DB00313	Linifanib	Valproic acid	0.7055555555555557		N	False	False
DB00603	DB06589	Medroxyprogesterone acetate	Pazopanib	0.7	L, G	L	False	False
DB06589	DB01645	Pazopanib	Genistein	0.6991638795986621	L		False	False
DB00541	DB00252	Vincristine	Phenytoin	0.6833333333333336	L	N	False	False
DB00518	DB00252	Albendazole	Phenytoin	0.6833333333333336	P	N	False	False
DB00643	DB00252	Mebendazole	Phenytoin	0.6833333333333336	P	N	False	False
DB02659	DB08901	Cholic Acid	Ponatinib	0.680952380952381	A	L	False	False
DB00831	DB06589	Trifluoperazine	Pazopanib	0.6791666666666667	N	L	False	False
DB02659	DB00252	Cholic Acid	Phenytoin	0.674500768049155	A	N	False	False
DB00541	DB08901	Vincristine	Ponatinib	0.6725490196078432	L	L	False	False
DB06080	DB02709	Linifanib	Resveratrol	0.671474358974359			False	False
DB08895	DB00252	Tofacitinib	Phenytoin	0.6714285714285717	L	N	False	False
DB08877	DB00252	Ruxolitinib	Phenytoin	0.6714285714285717	L	N	False	False
DB00831	DB06080	Trifluoperazine	Linifanib	0.6666666666666667	N		False	False
DB00541	DB12742	Vincristine	Amuvatinib	0.6666666666666665	L		False	False
DB00603	DB06080	Medroxyprogesterone acetate	Linifanib	0.6666666666666665	L, G		False	False
DB00623	DB04868	Fluphenazine	Nilotinib	0.6666666666666665	N	L	False	False
DB00541	DB01645	Vincristine	Genistein	0.6564102564102565	L		False	False
DB06080	DB00252	Linifanib	Phenytoin	0.6416666666666666		N	False	False
DB08877	DB01645	Ruxolitinib	Genistein	0.6289592760180995	L		False	False
DB08895	DB01645	Tofacitinib	Genistein	0.6289592760180995	L		False	False
DB12742	DB02659	Amuvatinib	Cholic Acid	0.6216931216931214		A	False	False
DB00541	DB02709	Vincristine	Resveratrol	0.6208791208791209	L		False	False
DB00623	DB08895	Fluphenazine	Tofacitinib	0.6166666666666665	N	L	False	False
DB08877	DB06080	Ruxolitinib	Linifanib	0.6166666666666665	L		False	False
DB08895	DB06080	Tofacitinib	Linifanib	0.6166666666666665	L		False	False
DB00623	DB08877	Fluphenazine	Ruxolitinib	0.6166666666666665	N	L	False	False
DB00623	DB02659	Fluphenazine	Cholic Acid	0.6124338624338623	N	A	False	False
DB00623	DB12742	Fluphenazine	Amuvatinib	0.5833333333333333	N		False	False
DB06589	DB00313	Pazopanib	Valproic acid	0.5669590643274851	L	N	False	False
DB08877	DB00831	Ruxolitinib	Trifluoperazine	0.5666666666666664	L	N	False	False
DB08895	DB00831	Tofacitinib	Trifluoperazine	0.5666666666666664	L	N	False	False
DB00623	DB08901	Fluphenazine	Ponatinib	0.55	N	L	False	False
DB06589	DB00252	Pazopanib	Phenytoin	0.5499999999999998	L	N	False	False
DB00623	DB01202	Fluphenazine	Levetiracetam	0.5416666666666665	N	N	True	False
DB00518	DB00313	Albendazole	Valproic acid	0.5404040404040404	P	N	False	False
DB00643	DB00313	Mebendazole	Valproic acid	0.5404040404040404	P	N	False	False
DB00541	DB00313	Vincristine	Valproic acid	0.5404040404040404	L	N	False	False
DB04868	DB00313	Nilotinib	Valproic acid	0.5404040404040404	L	N	False	False
DB00831	DB08901	Trifluoperazine	Ponatinib	0.538095238095238	N	L	False	False
DB01202	DB06589	Levetiracetam	Pazopanib	0.5333333333333334	N	L	False	False
DB02709	DB02659	Resveratrol	Cholic Acid	0.5253877328345413		A	True	False
DB00623	DB02709	Fluphenazine	Resveratrol	0.515224358974359	N		False	False
DB00831	DB02659	Trifluoperazine	Cholic Acid	0.5105820105820105	N	A	False	False
DB06589	DB02709	Pazopanib	Resveratrol	0.5034188034188034	L		False	False
DB01202	DB04868	Levetiracetam	Nilotinib	0.5	N	L	False	False
DB01202	DB08895	Levetiracetam	Tofacitinib	0.5	N	L	False	False
DB01202	DB08877	Levetiracetam	Ruxolitinib	0.5	N	L	False	False
DB01202	DB00541	Levetiracetam	Vincristine	0.5	N	L	False	False
DB01202	DB00643	Levetiracetam	Mebendazole	0.5	N	P	False	False
DB00541	DB08895	Vincristine	Tofacitinib	0.5	L	L	False	False
DB08877	DB00603	Ruxolitinib	Medroxyprogesterone acetate	0.5	L	L, G	False	False
DB01202	DB00518	Levetiracetam	Albendazole	0.5	N	P	False	False
DB08895	DB00603	Tofacitinib	Medroxyprogesterone acetate	0.5	L	L, G	False	False
DB01202	DB05134	Levetiracetam	Tanespimycin	0.5	N		False	False
DB00541	DB08877	Vincristine	Ruxolitinib	0.5	L	L	True	False
DB05134	DB12695	Tanespimycin	Phenethyl Isothiocyanate	0.4865248226950354			False	False
DB12742	DB12695	Amuvatinib	Phenethyl Isothiocyanate	0.48235294117647065			False	False
DB01202	DB02709	Levetiracetam	Resveratrol	0.4780219780219779	N		False	False
DB00623	DB01645	Fluphenazine	Genistein	0.4713225371120109	N		False	False
DB01202	DB08901	Levetiracetam	Ponatinib	0.4666666666666668	N	L	False	False
DB00623	DB00603	Fluphenazine	Medroxyprogesterone acetate	0.46666666666666656	N	L, G	False	False
DB12695	DB02659	Phenethyl Isothiocyanate	Cholic Acid	0.4658008658008659		A	False	False
DB02424	DB02659	Geldanamycin	Cholic Acid	0.4642857142857144		A	False	False
DB00603	DB08901	Medroxyprogesterone acetate	Ponatinib	0.45350877192982475	L, G	L	False	False
DB00831	DB02709	Trifluoperazine	Resveratrol	0.45272435897435903	N		False	False
DB02659	DB01645	Cholic Acid	Genistein	0.45108812755871575	A		False	False
DB08895	DB06589	Tofacitinib	Pazopanib	0.44999999999999996	L	L	False	False
DB08877	DB06589	Ruxolitinib	Pazopanib	0.44999999999999996	L	L	False	False
DB00541	DB12695	Vincristine	Phenethyl Isothiocyanate	0.44397163120567384	L		False	False
DB05134	DB02709	Tanespimycin	Resveratrol	0.4423076923076923			False	False
DB00623	DB12695	Fluphenazine	Phenethyl Isothiocyanate	0.43823529411764706	N		False	False
DB00313	DB02659	Valproic acid	Cholic Acid	0.4365079365079365	N	A	False	False
DB01202	DB00252	Levetiracetam	Phenytoin	0.43333333333333357	N	N	True	False
DB00603	DB02659	Medroxyprogesterone acetate	Cholic Acid	0.430952380952381	L, G	A	False	False
DB01202	DB01645	Levetiracetam	Genistein	0.42307692307692313	N		False	False
DB00541	DB03758	Vincristine	Radicicol	0.41666666666666674	L		False	False
DB00643	DB00603	Mebendazole	Medroxyprogesterone acetate	0.41666666666666674	P	L, G	False	False
DB00518	DB03758	Albendazole	Radicicol	0.41666666666666674	P		False	False
DB00643	DB03758	Mebendazole	Radicicol	0.41666666666666674	P		False	False
DB00541	DB00603	Vincristine	Medroxyprogesterone acetate	0.41666666666666674	L	L, G	False	False
DB00518	DB00603	Albendazole	Medroxyprogesterone acetate	0.41666666666666674	P	L, G	False	False
DB01202	DB06080	Levetiracetam	Linifanib	0.4166666666666665	N		False	False
DB00623	DB05134	Fluphenazine	Tanespimycin	0.4166666666666665	N		False	False
DB01202	DB00831	Levetiracetam	Trifluoperazine	0.4166666666666665	N	N	True	False
DB12742	DB00518	Amuvatinib	Albendazole	0.4166666666666665		P	False	False
DB00831	DB05134	Trifluoperazine	Tanespimycin	0.4166666666666665	N		False	False
DB00643	DB12742	Mebendazole	Amuvatinib	0.4166666666666665	P		False	False
DB01202	DB12695	Levetiracetam	Phenethyl Isothiocyanate	0.4120567375886526	N		False	False
DB01202	DB00313	Levetiracetam	Valproic acid	0.404040404040404	N	N	True	False
DB12695	DB08901	Phenethyl Isothiocyanate	Ponatinib	0.3999999999999999		L	False	False
DB00313	DB08901	Valproic acid	Ponatinib	0.39722222222222214	N	L	False	False
DB05134	DB01645	Tanespimycin	Genistein	0.3897435897435897			False	False
DB00831	DB01645	Trifluoperazine	Genistein	0.3792172739541162	N		False	False
DB12742	DB01645	Amuvatinib	Genistein	0.3792172739541162			False	False
DB02709	DB00252	Resveratrol	Phenytoin	0.3756410256410254		N	False	False
DB00623	DB00313	Fluphenazine	Valproic acid	0.37222222222222223	N	N	True	False
