# Reference distribution mean: 1.1173416506176101 and standard deviation: 0.9712310239089528
# Threshold: 0.72
# 5.49% of reference distribution below threshold, 8.08% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-9.242258957340134	L-methionine (R)-S-oxide
DB05150	-7.859026979751538	-9.242258957340134	CAD106
DB09148	-7.859026979751538	-9.242258957340134	Florbetaben (18F)
DB09151	-7.859026979751538	-9.242258957340134	Flutemetamol (18F)
DB09149	-7.859026979751538	-9.242258957340134	Florbetapir (18F)
DB05088	-7.859026979751538	-9.242258957340134	Tetrathiomolybdate
DB05938	-7.859026979751538	-9.242258957340134	Edonerpic
DB05846	-7.859026979751538	-9.242258957340134	Mito-4509
DB00746	-7.859026979751538	-9.242258957340134	Deferoxamine
DB03754	-7.859026979751538	-9.242258957340134	Tromethamine
DB12274	-7.859026979751538	-9.242258957340134	Aducanumab
DB06782	-7.859026979751538	-9.242258957340134	Dimercaprol
DB15569	-7.5196924041165385	-8.892872902651243	Sotorasib
DB15568	-7.5196924041165385	-8.892872902651243	Adagrasib
DB03899	-7.00397413672268	-8.361878469093895	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB08787	-7.00397413672268	-8.361878469093895	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB06956	-7.00397413672268	-8.361878469093895	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB07495	-7.00397413672268	-8.361878469093895	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB04054	-7.00397413672268	-8.361878469093895	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB04254	-7.00397413672268	-8.361878469093895	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB02840	-7.00397413672268	-8.361878469093895	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB02550	-7.00397413672268	-8.361878469093895	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB07100	-7.00397413672268	-8.361878469093895	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB02359	-7.00397413672268	-8.361878469093895	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB07502	-7.00397413672268	-8.361878469093895	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07319	-7.00397413672268	-8.361878469093895	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB08789	-7.00397413672268	-8.361878469093895	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08788	-7.00397413672268	-8.361878469093895	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB04505	-7.00397413672268	-8.361878469093895	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
