GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	41	0.011208310552214325	4.809299252779297	2.765007897639626e-24	5.5696475751454206e-21	20.254172284361623	3.341788545087252e-20	RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPL15, RPL8, RPL23A, CFLAR, UBA52, RPL13A, RPL19, RPL30, RPLP0, RPL38, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL13, RPL7, RPL35, RPL36, RPL24, RPL27, RPL28, RPL27A, RPL41, RPL23, RPL14, RPL11, RPL5, RPL36A, RPL12, RPL18, RPLP2, RPL7A, RPL9
GO:0002181	cytoplasmic translation	71	0.019409513395297978	4.252748275420821	1.870533154061655e-34	1.1303631849994582e-30	29.946781995543745	2.2607263699989163e-30	RPS2, RPS3A, RPS18, RPS11, RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPS16, RPL15, RPL8, RPL23A, UBA52, RPL13A, RPL3, RPL30, RPLP0, RPL38, RPL19, RPS19, RPS21, RPS24, RPS3, RPL37A, RPLP1, RPS4X, RPS28, RPS29, RPL35A, RPSA, RPS27A, RPL9, RPL17, RPL10, RPL31, RPL26, RPS17, RPL13, RPS9, RPL7, RPS7, RPS27, RPL35, RPS15, RPS14, RPL36, RACK1, RPL24, RPL27, RPL28, RPL27A, RPS8, RPL41, RPL23, RPS6, RPL14, RPS25, RPL11, FAU, RPL5, RPS23, RPL36A, RPS20, RPL12, RPS12, RPL18, RPLP2, RPL7A, ZC3H15
GO:0035196	miRNA processing	14	0.0038272279934390375	3.941279387643521	4.00319837146423e-07	8.341837158192532e-05	4.078738292311894	0.004838265551751668	TNRC6B, AGO3, AGO1, DICER1, ADAR, TNRC6A, PUM2, TNRC6C, AGO4, PRKRA, ZC3H7A, DROSHA, PUM1, AGO2
GO:0006941	striated muscle contraction	46	0.012575177692728267	3.7535994168033535	3.7107818856874923e-19	4.983167763379892e-16	15.302494491620092	4.4848509870419035e-15	RYR2, ARHGEF11, RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPL15, RPL8, RPL23A, UBA52, RPL19, RPL13A, RPL30, RPLP0, RPL38, DTNA, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL13, RPL7, RPL35, RPL36, RPL24, RPL27, RPL28, RPL27A, RPL11, RPL23, RPL41, RPL14, VPS54, RPL5, RYR3, LARGE1, RPL36A, RPL12, RPL18, RPLP2, RPL7A, RPL9
GO:0016601	Rac protein signal transduction	16	0.004373974849644614	3.7535994168033535	1.640021870041623e-07	3.7398687398722745e-05	4.427143640192442	0.0019821304321323055	DOCK5, FARP1, CYFIP1, RAC1, DOCK7, HACD3, ABI2, FARP2, EPS8, WASF2, HACE1, ELMO1, NCKAP1, AIF1, WASF1, TIAM1
GO:0034063	stress granule assembly	18	0.004920721705850191	3.753599416803353	2.6976874347077484e-08	7.952256179482402e-06	5.099509637722475	0.00032604250335877845	YTHDF2, G3BP1, PRRC2C, LSM14A, RPS23, PUM2, DDX3X, DDX6, CSDE1, DYNC1H1, YTHDF3, ATXN2, UBAP2L, MAPT, G3BP2, C9orf72, FMR1, BICD1
GO:0072583	clathrin-dependent endocytosis	19	0.00519409513395298	3.688882185479158	1.6897581060537464e-08	5.236517043529635e-06	5.280957478609883	0.0002042241646976558	SCYL2, SGIP1, LMBRD1, FCHO2, FCHSD2, PICALM, SNAP91, GAS7, AP2A2, STON2, MAGI2, AP2B1, FNBP1L, CANX, DNAJC6, GPR107, CLTC, CLTA, INPP5F
GO:0018105	peptidyl-serine phosphorylation	21	0.005740841990158557	3.4775994596854596	1.3965259911398607e-08	4.688448091365654e-06	5.328970887965281	0.00016878413128916357	UHMK1, TTBK2, ROCK1, CSNK2A1, HIPK2, TNKS, RPS6KB1, STK4, IKBKB, TBK1, SMG1, PRKCD, MAPK8, HIPK3, SRPK2, TLK2, TGFBR1, MORC3, PRKDC, PDK3, GSK3B
GO:0099175	regulation of postsynapse organization	19	0.00519409513395298	3.2417449508756233	3.3255820636653483e-07	7.05140084587007e-05	4.1517245965977665	0.00401929848214594	VPS35, EPHA7, GRID1, ARHGAP22, NRP2, RPS6KA5, CDC42, ITSN1, WASL, TANC1, WNT5A, ADAM10, NRCAM, IL1RAPL1, NF1, CDKL5, DISC1, PSEN1, PAFAH1B1
GO:0070936	protein K48-linked ubiquitination	49	0.013395297977036633	2.844222238505634	1.9064460383465752e-13	1.0972050866407955e-10	9.959712187674409	2.3041306819456708e-09	HUWE1, UBE2K, ANAPC10, RNF216, FBXO9, UBE2H, NT5C2, TRIM25, UBR4, UBE2D3, KCMF1, ZNRF2, NEDD4L, ANAPC5, UBE3C, HACE1, ASB3, TTC3, RBX1, SKP1, RNF115, MYCBP2, UBE2D2, ANAPC4, CUL1, ARIH2, ITCH, TRIM38, UBE2R2, ANAPC16, KBTBD2, FBXO38, ANAPC1, PRKN, CDC27, UBE3A, UBE2B, UBE2E1, UBE2G1, CUL3, PELI1, UBR5, UBE2G2, BTRC, UBE2E2, CDC16, UBE2E3, RNF146, RFFL
