GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0015935	small ribosomal subunit	22	0.006014215418261345	4.587732620537432	9.348915308121692e-13	5.5217031038593736e-11	10.257926948624318	1.7669449932349998e-09	RPS2, RPS18, RPS16, RPS21, NPM1, RPS3, RPS4X, RPS24, RPS28, RPS29, RPSA, RPS27A, DAP3, RPS9, RPS15, RACK1, MRPS6, RPS6, RPS25, FAU, RPS23, RPS20
GO:0016442	RISC complex	13	0.003553854565336249	4.574699289229087	5.620005576388317e-08	1.9312382798861674e-06	5.714164138827833	0.00010621810539373919	TNRC6B, DHX9, AGO3, AGO1, TNRC6A, DICER1, DDX6, TNRC6C, AGO4, PRKRA, DCP2, LIMD1, AGO2
GO:0022627	cytosolic small ribosomal subunit	32	0.008747949699289229	4.504319300164024	1.475628717223022e-17	1.4678622502902694e-15	14.83331469833397	2.7889382755515117e-14	RPS4Y1, RPS2, RPS3A, RPS18, RPS11, DDX3X, LARP4, RPS16, DHX29, RPS19, RPS21, RPS24, RPS3, RPS4X, RPS28, RPS29, RPSA, RPS27A, RPS17, RPS9, RPS7, RPS27, RPS15, RPS14, RACK1, RPS8, RPS6, RPS25, FAU, RPS23, RPS20, RPS12
GO:0022625	cytosolic large ribosomal subunit	42	0.011481683980317113	4.299577513792932	3.0948068030424976e-21	3.899456571833547e-19	18.408995912024338	5.8491848577503205e-18	RPL21, RPL37, RPL6, RPL32, RPL34, RPL4, RPL15, RPL8, RPL23A, UBA52, RPL13A, RPL3, RPL30, RPLP0, RPL38, RPL19, RPL37A, RPLP1, RPL17, RPL35A, RPL10, RPL31, RPL26, RPL13, RPL7, RPL35, RPL36, RPL24, RPL27, RPL28, RPL27A, RPL41, RPL23, RPL14, RPL11, RPL5, RPL36A, RPL12, RPL18, RPLP2, RPL7A, RPL9
GO:0022626	cytosolic ribosome	75	0.02050300710770913	4.265453882731083	1.769091067239229e-36	6.687164234164285e-34	33.17475801056481	3.3435821170821425e-33	RPS2, RPS3A, ASCC3, RPS18, RPS11, RPL21, RPL37, RPL6, RPL32, NEMF, RPL34, RPL4, RPS16, RPL15, RPL8, RPL23A, GSPT1, UBA52, RPL13A, RPL3, RPL30, RPLP0, RPL38, LTN1, RPL19, RPS19, RPS21, RPS24, RPS3, RPL37A, USP10, RPLP1, RPL17, RPS4X, RPL35A, RPSA, RPS27A, RPS28, RPS29, RPL10, RPL31, RPL26, RPS17, RPL13, EEF1A1, RPS9, RPL7, RPS7, RPS27, RPL35, RPS15, RPS14, RPL36, RPL24, RPL27, RPL28, RPL27A, RPS8, RPL11, HBS1L, RPL23, RPS6, RPL14, RPS25, FAU, RPL5, RPS23, RPL36A, RPS20, EIF2AK4, RPS12, RPL12, RPL18, RPL7A, RPL9
GO:0030904	retromer complex	14	0.0038272279934390375	3.58298126149411	2.3066291895891063e-06	5.7362225898992245e-05	4.241374004535281	0.004359529168323411	SNX5, ANKFY1, SNX6, SNX3, SNX2, RAB7A, VPS35, DENND5A, VPS26A, SNX27, TBC1D5, DENND4C, SNX1, VPS29
GO:0032839	dendrite cytoplasm	16	0.004373974849644614	3.336532814936314	1.6895618530096876e-06	4.3152323002544724e-05	4.364995820110274	0.0031932719021883094	TRAK2, GRIK2, MAP2, KIF5B, CDKL5, MAP2K1, UHMK1, KIFAP3, WASF1, ZC3H14, STAU2, KIF5C, LRRK2, ABHD12, STAU1, HPCA
GO:0036464	cytoplasmic ribonucleoprotein granule	35	0.009568069983597594	2.985817717911758	9.016190713711887e-11	4.1562440119306015e-09	8.381298963058052	1.7040600448915466e-07	PABPC1, AGO3, TUBB, AGO1, RAC1, DHX9, BTBD1, ROCK2, TUBA1A, RPL6, ACTB, NCL, RPLP0, LSM14A, DYNC1I1, RPS4X, CDC42, DCP2, STAU1, ZC3H12C, DDX6, FXR1, RPL28, DCP1A, RPS6, FMR1, YTHDF2, IQGAP1, TUT4, AGO4, CAPRIN1, MAPT, TDRD7, HNRNPU, AGO2
GO:0005791	rough endoplasmic reticulum	20	0.005467468562055768	2.9633679606342263	1.1519290460570496e-06	3.155283908764962e-05	4.500961557350869	0.0021771458970478237	RPL6, SPPL3, SUCO, RPL4, PTGDS, RPS21, RAB14, RPS28, RPS29, CCDC47, STX17, STAU1, TMCC1, RPL27, SEC62, CDKAL1, RPS23, PSEN1, PKM, RPL18
GO:0031252	cell leading edge	33	0.009021323127392018	2.9031745489338436	8.130445876017368e-10	3.414787267927295e-08	7.466636346519202	1.5366542705672827e-06	AAK1, ABI1, IQGAP2, SSX2IP, PABPC1, DDX3X, MYH9, CARMIL1, DST, RAPH1, CFL1, CYFIP1, LMO4, ABL1, SLK, CDC42, DOCK8, SHTN1, CLASP2, ARPC2, BCAS3, MACF1, PRKCI, CDC42BPA, GBF1, CDC42BPB, IQGAP1, CD2AP, SSH1, CCDC88A, CAPRIN1, ARF1, PAFAH1B1
