GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0007768	Central retinal vessel vascular tortuosity	10	0.002733734281027884	4.691999271004192	1.436501753933548e-06	5.131004702331392e-05	4.289797587333382	0.014777293542714409	MT-ATP6, NEK1, MT-ND4L, MT-CO3, SELENOI, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0020118	Radial artery aplasia	20	0.005467468562055768	4.331076250157715	7.126416423346548e-11	5.639188134381996e-09	8.248783416253815	7.330944574696594e-07	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0030270	Elevated red cell adenosine deaminase activity	20	0.005467468562055768	4.331076250157715	7.126416423346548e-11	5.639188134381996e-09	8.248783416253815	7.330944574696594e-07	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0001227	Abnormality of the thenar eminence	20	0.005467468562055768	4.331076250157715	7.126416423346548e-11	5.639188134381996e-09	8.248783416253815	7.330944574696594e-07	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0100033	Tics	12	0.0032804811372334607	4.222799343903772	8.661371400847516e-07	3.263718959725948e-05	4.486287245596833	0.00890995276005184	SPTBN1, FRYL, ZSWIM6, GATAD2B, MAPK1, VPS13A, ZBTB20, KMT5B, POGZ, ARID2, ACBD6, CHD8
HP:0000234	Abnormality of the head	21	0.005740841990158557	4.222799343903772	5.3751693284978245e-11	4.42354935058057e-09	8.35422912323252	5.529436688225712e-07	RPL15, RPL8, RPS19, RPS24, CDC73, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0025268	Stuttering	13	0.003553854565336249	4.066399368203633	6.011452860697112e-07	2.3417175824378104e-05	4.630465483210992	0.006183981557799119	MT-CO1, KANSL1, MT-CO2, HEXB, MT-CO3, MT-ND1, MT-ND4, MAPT, UBAP2L, NEXMIF, NSD1, AP4E1, MT-ND5
HP:0006758	Malignant genitourinary tract tumor	26	0.007107709130672498	4.066399368203633	1.1244257671371392e-12	1.1016159872895002e-10	9.95796976997224	1.1566967866539752e-08	MLH1, PIK3CA, RPL15, RPL8, TGFBR2, RPS19, RPS24, RPS28, RPS29, RPL35A, MSH2, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, KRAS, RPL11, RPL5, PMS1, RPS20, RPL18, RPL9
HP:0005532	Macrocytic dyserythropoietic anemia	20	0.005467468562055768	4.021713660860735	6.661081526666066e-10	4.4785977558701844e-08	7.348857941853303	6.852254566481382e-06	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
HP:0012133	Erythroid hypoplasia	22	0.006014215418261345	3.995767121113247	1.1151930148060128e-10	8.561186972618995e-09	8.067466018042321	1.1471990543309453e-06	RPL15, RPL8, RPS19, RPS24, RPS28, RPS29, RPL35A, TET2, RPL31, RPL26, RPS17, RPS7, RPS27, RPL35, RPS14, HEATR3, RPL27, RPL11, RPL5, RPS20, RPL18, RPL9
