Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5278708812419493	-3.0369543539892265	<0.0001	<0.0001	PL21
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4803575585815686	-3.036865886056284	<0.0001	<0.0001	THP1
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4589940977199625	-2.9562944105737756	<0.0001	<0.0001	WSUDLCL2
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.47773434359559447	-2.9059233621080742	<0.0001	<0.0001	U937
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.44710174610970843	-2.7953679570115435	<0.0001	<0.0001	NPC.CAS9
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.47599998593794407	-2.783408567815015	<0.0001	<0.0001	U937
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.46862470453989097	-2.769802043368685	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.43125761016186737	-2.7470896557753655	<0.0001	<0.0001	NPC.TAK
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4338747309376056	-2.74132914119329	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.3924371378129205	-2.7145543541964665	<0.0001	<0.0001	NPC.TAK
CPC006_U937_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.40741459078182357	-2.679375951807772	<0.0001	<0.0001	U937
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.40101047724781064	-2.6620691455322225	<0.0001	<0.0001	NEU
CPC006_SKM1_6H:BRD-K78126613-001-16-0:10	DB00170	Menadione	-0.396558763897312	-2.6100747138349183	<0.0001	<0.0001	SKM1
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.40833416092017527	-2.5787367132831887	<0.0001	<0.0001	NPC.CAS9
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.35867500422784443	-2.552542539542853	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	-0.37346271661500346	-2.535913340162354	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.42530685556455566	-2.5274674637570325	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.38102721144457113	-2.4813519598563234	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4161115589669539	-2.4663932120429974	<0.0001	<0.0001	NOMO1
CPC006_SKM1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.37434146417683034	-2.4634010425313493	<0.0001	<0.0001	SKM1
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3518702593384854	2.4609133370561156	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.3490708046132228	2.4447204601261125	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:0.37037	DB00694	Daunorubicin	-0.4041092513989835	-2.4393556951958053	<0.0001	<0.0001	U937
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.40347591150291945	2.4323641475669056	<0.0001	<0.0001	U937
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.34812194989516637	2.3887203563713064	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.34362503726613436	-2.387684389126643	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.35877564305674065	-2.387383366380941	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.35358332532097897	-2.3856378932836746	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.3836174860379769	2.3530373951245345	<0.0001	<0.0001	JURKAT
CPC006_WSUDLCL2_6H:BRD-K73319509-001-02-3:40	DB12848	PF-04217903	0.37574741894276004	2.344532832350482	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.34370837690151845	-2.3441945185554385	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.3865027769943356	2.328835130222955	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.39185963725650164	-2.316508998680557	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.32986427224532955	2.3136658852450966	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A11	DB07232	Veliparib	0.33676843233258813	2.3110889716429086	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.34901541268028896	-2.302510249802199	<0.0001	<0.0001	NEU
LJP007_NPC_24H:D11	DB08875	Cabozantinib	0.37770234551577153	2.3011544927437035	<0.0001	<0.0001	NPC
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.33434384669985145	2.2968706454080903	<0.0001	<0.0001	NEU
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.3461402471376622	2.285663793224531	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P22	DB11886	Infigratinib	-0.3373887668813796	-2.2785062904079445	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.32384511216575274	-2.276112125712332	<0.0001	<0.0001	NEU
