ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB04599	DB03880	Aniracetam	Batimastat	1.5	N		False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB08597	DB01200	Dorsomorphin	Bromocriptine	1.3166666666666664		G, N	False	False
DB08597	DB00589	Dorsomorphin	Lisuride	1.3117647058823527		G, N	False	False
DB00818	DB01053	Propofol	Benzylpenicillin	1.3	N	J, S	False	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB08597	DB01186	Dorsomorphin	Pergolide	1.2862745098039217		N	False	False
DB01030	DB01186	Topotecan	Pergolide	1.2862745098039217	L	N	False	False
DB00762	DB01186	Irinotecan	Pergolide	1.2862745098039217	L	N	False	False
DB01262	DB04599	Decitabine	Aniracetam	1.2857142857142856	L	N	False	False
DB01262	DB01186	Decitabine	Pergolide	1.2666666666666668	L	N	False	False
DB01030	DB01200	Topotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB00762	DB01200	Irinotecan	Bromocriptine	1.2666666666666666	L	G, N	False	False
DB01388	DB05552	Mibefradil	TG100-115	1.2657342657342656	C		False	False
DB11952	DB01388	Duvelisib	Mibefradil	1.2657342657342656		C	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB04599	DB00170	Aniracetam	Menadione	1.2571428571428571	N	B	False	False
DB01030	DB00589	Topotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB00762	DB00589	Irinotecan	Lisuride	1.2529411764705882	L	G, N	False	False
DB00393	DB05552	Nimodipine	TG100-115	1.25	C		False	False
DB11952	DB00393	Duvelisib	Nimodipine	1.25		C	False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB01030	DB00925	Topotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00925	Irinotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB05022	DB00925	Amonafide	Phenoxybenzamine	1.2374999999999998		C	False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB08597	DB01136	Dorsomorphin	Carvedilol	1.2333333333333334		C	False	False
DB08597	DB01392	Dorsomorphin	Yohimbine	1.2321428571428572		G	False	False
DB00762	DB01392	Irinotecan	Yohimbine	1.2321428571428572	L	G	False	False
DB01030	DB01392	Topotecan	Yohimbine	1.2321428571428572	L	G	False	False
DB04149	DB01186	(R)-Rolipram	Pergolide	1.2274509803921567		N	False	False
DB15399	DB01186	BMS-754807	Pergolide	1.2274509803921567		N	False	False
DB08597	DB00734	Dorsomorphin	Risperidone	1.220238095238095		N	False	False
DB07080	DB01186	TO-901317	Pergolide	1.219047619047619		N	False	False
DB04149	DB01200	(R)-Rolipram	Bromocriptine	1.2166666666666663		G, N	False	False
DB05022	DB01200	Amonafide	Bromocriptine	1.2166666666666663		G, N	False	False
DB00773	DB01200	Etoposide	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB00694	DB01200	Daunorubicin	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB00380	DB01200	Dexrazoxane	Bromocriptine	1.2166666666666663	V	G, N	False	False
DB00762	DB00247	Irinotecan	Methysergide	1.2125	L	N	False	False
DB01030	DB00247	Topotecan	Methysergide	1.2125	L	N	False	False
DB08175	DB01186	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Pergolide	1.2111111111111112		N	False	False
DB07863	DB01186	2-chloro-5-nitro-N-phenylbenzamide	Pergolide	1.211111111111111		N	False	False
DB07080	DB01200	TO-901317	Bromocriptine	1.208333333333333		G, N	False	False
DB07863	DB01200	2-chloro-5-nitro-N-phenylbenzamide	Bromocriptine	1.202380952380952		G, N	False	False
DB01262	DB01200	Decitabine	Bromocriptine	1.202380952380952	L	G, N	False	False
DB00773	DB01403	Etoposide	Methotrimeprazine	1.2017543859649125	L	N	False	False
DB00694	DB01403	Daunorubicin	Methotrimeprazine	1.2017543859649125	L	N	False	False
DB00380	DB01403	Dexrazoxane	Methotrimeprazine	1.2017543859649125	V	N	False	False
DB05022	DB01403	Amonafide	Methotrimeprazine	1.2017543859649125		N	False	False
DB08597	DB01403	Dorsomorphin	Methotrimeprazine	1.2017543859649125		N	False	False
DB08597	DB04513	Dorsomorphin	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.2000000000000002			False	False
DB05022	DB00363	Amonafide	Clozapine	1.1941251596424012		N	False	False
DB00380	DB00363	Dexrazoxane	Clozapine	1.1941251596424012	V	N	True	False
DB00773	DB00363	Etoposide	Clozapine	1.1941251596424012	L	N	True	False
DB00694	DB00363	Daunorubicin	Clozapine	1.1941251596424012	L	N	True	False
DB00694	DB00589	Daunorubicin	Lisuride	1.1941176470588233	L	G, N	False	False
DB00773	DB00589	Etoposide	Lisuride	1.1941176470588233	L	G, N	False	False
DB05552	DB00589	TG100-115	Lisuride	1.1941176470588233		G, N	False	False
DB05022	DB00589	Amonafide	Lisuride	1.1941176470588233		G, N	False	False
DB00380	DB00589	Dexrazoxane	Lisuride	1.1941176470588233	V	G, N	False	False
DB11952	DB00589	Duvelisib	Lisuride	1.1941176470588233		G, N	False	False
DB04599	DB01388	Aniracetam	Mibefradil	1.193939393939394	N	C	False	False
DB07080	DB01403	TO-901317	Methotrimeprazine	1.1884210526315788		N	False	False
DB07863	DB01403	2-chloro-5-nitro-N-phenylbenzamide	Methotrimeprazine	1.1866028708133973		N	False	False
DB00694	DB06153	Daunorubicin	Pizotifen	1.1862745098039218	L	N	False	False
DB01030	DB06153	Topotecan	Pizotifen	1.1862745098039218	L	N	False	False
DB00380	DB06153	Dexrazoxane	Pizotifen	1.1862745098039218	V	N	False	False
DB05022	DB06153	Amonafide	Pizotifen	1.1862745098039218		N	False	False
DB00762	DB06153	Irinotecan	Pizotifen	1.1862745098039218	L	N	False	False
DB00773	DB06153	Etoposide	Pizotifen	1.1862745098039218	L	N	False	False
DB05552	DB00939	TG100-115	Meclofenamic acid	1.1857142857142855		M	False	False
DB11952	DB00939	Duvelisib	Meclofenamic acid	1.1857142857142855		M	False	False
DB07080	DB00589	TO-901317	Lisuride	1.1857142857142855		G, N	False	False
DB08597	DB00939	Dorsomorphin	Meclofenamic acid	1.1857142857142855		M	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB08175	DB01200	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Bromocriptine	1.1785714285714284		G, N	False	False
DB08175	DB00589	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Lisuride	1.177777777777778		G, N	False	False
