# Reference distribution mean: 0.1180400192363381 and standard deviation: 1.8994701381781005
# Threshold: 0.73
# 29.93% of reference distribution below threshold, 30.16% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB05938	-7.859026979751538	-4.199627484872795	Edonerpic
DB02235	-7.859026979751538	-4.199627484872795	L-methionine (R)-S-oxide
DB09149	-7.859026979751538	-4.199627484872795	Florbetapir (18F)
DB00746	-7.859026979751538	-4.199627484872795	Deferoxamine
DB09151	-7.859026979751538	-4.199627484872795	Flutemetamol (18F)
DB09148	-7.859026979751538	-4.199627484872795	Florbetaben (18F)
DB05846	-7.859026979751538	-4.199627484872795	Mito-4509
DB05088	-7.859026979751538	-4.199627484872795	Tetrathiomolybdate
DB03754	-7.859026979751538	-4.199627484872795	Tromethamine
DB12274	-7.859026979751538	-4.199627484872795	Aducanumab
DB06782	-7.859026979751538	-4.199627484872795	Dimercaprol
DB05150	-7.859026979751538	-4.199627484872795	CAD106
DB06374	-7.751045117971802	-4.142779072460632	Elacestrant
DB04575	-7.751045117971802	-4.142779072460632	Quinestrol
DB12450	-7.751045117971802	-4.142779072460632	Propyl Gallate
DB07991	-7.751045117971802	-4.142779072460632	N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE
DB03742	-7.751045117971802	-4.142779072460632	Compound 4-D
DB11541	-7.751045117971802	-4.142779072460632	Ractopamine
DB09369	-7.751045117971802	-4.142779072460632	Polyestradiol phosphate
DB09318	-7.751045117971802	-4.142779072460632	Synthetic Conjugated Estrogens, B
DB08737	-7.751045117971802	-4.142779072460632	(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL
DB09317	-7.751045117971802	-4.142779072460632	Synthetic Conjugated Estrogens, A
DB04471	-7.751045117971802	-4.142779072460632	2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB05233	-7.751045117971802	-4.142779072460632	AP1081
DB07567	-7.751045117971802	-4.142779072460632	(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL
DB00947	-7.751045117971802	-4.142779072460632	Fulvestrant
DB09070	-7.751045117971802	-4.142779072460632	Tibolone
DB04938	-7.751045117971802	-4.142779072460632	Ospemifene
DB01357	-7.751045117971802	-4.142779072460632	Mestranol
DB03802	-7.751045117971802	-4.142779072460632	1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol
DB00269	-7.751045117971802	-4.142779072460632	Chlorotrianisene
DB05662	-7.751045117971802	-4.142779072460632	NP-50301
DB02715	-7.751045117971802	-4.142779072460632	Compound 18
DB15568	-7.5196924041165385	-4.020980519693087	Adagrasib
DB15569	-7.5196924041165385	-4.020980519693087	Sotorasib
DB11942	-7.247792581767846	-3.8778354305002187	Selinexor
DB02623	-7.177782416195197	-3.8409776962481814	Aminophosphonic acid-guanylate ester
DB02615	-7.060473050400015	-3.7792187017594863	Compound 19
DB00061	-7.007600613951853	-3.751383341052592	Pegademase
DB03276	-7.007600613951853	-3.751383341052592	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB08194	-7.00397413672268	-3.7494741363979447	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB02359	-7.00397413672268	-3.7494741363979447	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB08197	-7.00397413672268	-3.7494741363979447	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB07495	-7.00397413672268	-3.7494741363979447	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB07502	-7.00397413672268	-3.7494741363979447	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB08786	-7.00397413672268	-3.7494741363979447	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB07601	-7.00397413672268	-3.7494741363979447	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB08436	-7.00397413672268	-3.7494741363979447	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB08443	-7.00397413672268	-3.7494741363979447	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08442	-7.00397413672268	-3.7494741363979447	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB12442	-7.00397413672268	-3.7494741363979447	Alvespimycin
DB03137	-7.00397413672268	-3.7494741363979447	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB07324	-7.00397413672268	-3.7494741363979447	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07325	-7.00397413672268	-3.7494741363979447	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07319	-7.00397413672268	-3.7494741363979447	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB04254	-7.00397413672268	-3.7494741363979447	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB08787	-7.00397413672268	-3.7494741363979447	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08789	-7.00397413672268	-3.7494741363979447	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB08788	-7.00397413672268	-3.7494741363979447	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB04505	-7.00397413672268	-3.7494741363979447	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB03504	-7.00397413672268	-3.7494741363979447	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB03809	-7.00397413672268	-3.7494741363979447	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB08557	-7.00397413672268	-3.7494741363979447	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB06961	-7.00397413672268	-3.7494741363979447	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
