	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
0	DB00947	Fulvestrant	For the treatment of hormone receptor positive metastatic breast cancer in postmenopausal women with disease progression following anti-estrogen therapy, as monotherapy or in combination with other antineoplastic agents.	ESR1	-4.142779072460632	-1.9577588831354023	<0.0001
1	DB01357	Mestranol	Mestranol was used as one of the first oral contraceptives.	ESR1	-4.142779072460632	-1.4703331178821024	<0.0001
2	DB12442	Alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-3.7494741363979447	-1.3826836644031706	<0.0001
3	DB00663	Flumethasone	For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions	NR3C1	-3.716420665120673	1.799902386397894	<0.0001
4	DB00896	Rimexolone	For the treatment of postoperative inflammation following ocular surgery and in the treatment of anterior uveitis.	NR3C1	-3.716420665120673	-1.5263339520298695	<0.0001
5	DB00394	Beclomethasone dipropionate	"Indicated for oral inhalation use in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. The aerosol form of beclomethasone diproprionate is not indicated for the relief of acute bronchospasm.[L6871]

Indicated for intranasal use to relieve the symptoms of seasonal or perennial allergic and nonallergic (vasomotor) rhinitis and prevent the recurrence of nasal polyps following surgical removal.[L6880]

Indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 13 years of age and older.[L10782] Corticosteroid-responsive dermatoses include psoriasis, contact dermatitis (dermatitis venenata), atopic dermatitis (infantile eczema, allergic dermatitis), neurodermatitis (lichen simplex chronicus, lichen planus, eczema, eczematous dermatitis), intertrigo, dyshidroses (pompholyx), seborrheic dermatitis, exfoliative dermatitis, solar dermatitis, stasis dermatitis, and anogenital and senile pruritus.[L6886]"	NR3C1	-3.716420665120673	1.4870636927904743	<0.0001
6	DB00846	Flurandrenolide	For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions	NR3C1	-3.716420665120673	-1.3142940877643008	<0.0001
7	DB00180	Flunisolide	For the maintenance treatment of asthma as a prophylactic therapy.	NR3C1	-3.716420665120673	-1.3114022314128695	<0.0001
8	DB15566	Prednisolone acetate	Prednisolone acetate is indicated as an anti-inflammatory or immunosuppressive agent for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, or infectious conditions.[L9449] Prednisolone acetate is also indicated in organ transplant patients, as well as endocrine or neoplastic conditions.[L9449]	NR3C1	-3.716420665120673	1.2994721927866153	<0.0001
9	DB00547	Desoximetasone	For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	NR3C1	-3.716420665120673	-1.259657979728655	<0.0001
10	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-3.7100895650218537	1.744621319066552	<0.0001
11	DB08473	Dichlororibofuranosylbenzimidazole		CSNK2A1	-3.613877370240647	-1.8216643344691066	<0.0001
12	DB04462	Tetrabromo-2-Benzotriazole		CSNK2A1	-3.613877370240647	-1.6642628937851764	<0.0001
13	DB02424	Geldanamycin		HSP90AA1, HSP90AB1, HSP90B1	-3.5727117693082873	1.9377859737373178	<0.0001
