GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901740	negative regulation of myoblast fusion	41	0.011208310552214325	4.809299252779297	2.765007897639626e-24	5.5696475751454206e-21	20.254172284361623	3.341788545087252e-20	RPL32, RPLP1, RPL4, UBA52, RPL15, RPL35A, RPL7A, RPL9, CFLAR, RPL37, RPL14, RPL34, RPL41, RPLP0, RPL31, RPL7, RPL37A, RPL8, RPL10, RPL23, RPL30, RPL36, RPL27A, RPL17, RPL38, RPL28, RPL5, RPL35, RPL24, RPL19, RPL36A, RPL11, RPL6, RPL18, RPL13A, RPL13, RPL21, RPL12, RPLP2, RPL23A, RPL27
GO:0002181	cytoplasmic translation	71	0.019409513395297978	4.252748275420821	1.870533154061655e-34	1.1303631849994582e-30	29.946781995543745	2.2607263699989163e-30	RPS8, RPL32, RPLP1, RPS3A, UBA52, RPS17, RPL4, RPL15, RPL35A, RPS12, RPL7A, RPL9, RPS4X, RPL37, RPL14, RPL34, RPS20, RPS21, RPS9, RPS14, RPS27, RPS16, RPS27A, RPL41, RACK1, RPLP0, RPL31, RPS6, RPL7, RPS11, RPL37A, RPL8, FAU, RPL23, RPS3, RPS18, RPL10, RPL30, RPS25, RPL36, RPL27A, RPL17, RPL38, RPL28, RPS7, RPL35, RPL24, RPS19, RPL5, RPL19, RPS29, RPS23, RPL36A, RPL11, RPL6, RPL3, ZC3H15, RPL18, RPL13A, RPL13, RPL21, RPL26, RPL12, RPS15, RPLP2, RPL23A, RPSA, RPS24, RPS28, RPS2, RPL27
GO:0035196	miRNA processing	14	0.0038272279934390375	3.941279387643521	4.00319837146423e-07	8.341837158192532e-05	4.078738292311894	0.004838265551751668	AGO1, ZC3H7A, TNRC6A, AGO4, AGO2, PUM1, ADAR, AGO3, DROSHA, TNRC6C, PRKRA, TNRC6B, PUM2, DICER1
GO:0006941	striated muscle contraction	46	0.012575177692728267	3.7535994168033535	3.7107818856874923e-19	4.983167763379892e-16	15.302494491620092	4.4848509870419035e-15	RPL32, RPLP1, RPL4, UBA52, RPL15, RPL35A, RPL7A, RPL9, RPL14, RPL37, RPL34, RYR3, RPL41, RPLP0, RPL31, ARHGEF11, RPL7, RPL37A, RPL8, RPL10, RPL23, RPL30, RPL36, RPL27A, RPL17, RPL38, RYR2, RPL28, RPL5, DTNA, RPL24, RPL35, RPL19, LARGE1, RPL36A, RPL11, VPS54, RPL6, RPL18, RPL13A, RPL13, RPL21, RPL12, RPLP2, RPL23A, RPL27
GO:0016601	Rac protein signal transduction	16	0.004373974849644614	3.7535994168033535	1.640021870041623e-07	3.7398687398722745e-05	4.427143640192442	0.0019821304321323055	AIF1, WASF1, EPS8, FARP1, ELMO1, TIAM1, CYFIP1, HACE1, NCKAP1, DOCK5, HACD3, FARP2, RAC1, ABI2, WASF2, DOCK7
GO:0034063	stress granule assembly	18	0.004920721705850191	3.753599416803353	2.6976874347077484e-08	7.952256179482402e-06	5.099509637722475	0.00032604250335877845	CSDE1, DYNC1H1, PRRC2C, DDX3X, DDX6, RPS23, C9orf72, BICD1, YTHDF3, YTHDF2, MAPT, UBAP2L, ATXN2, LSM14A, PUM2, G3BP2, FMR1, G3BP1
GO:0072583	clathrin-dependent endocytosis	19	0.00519409513395298	3.688882185479158	1.6897581060537464e-08	5.236517043529635e-06	5.280957478609883	0.0002042241646976558	FCHSD2, LMBRD1, INPP5F, CANX, STON2, DNAJC6, SGIP1, PICALM, AP2B1, CLTA, SCYL2, SNAP91, GAS7, CLTC, GPR107, FNBP1L, MAGI2, AP2A2, FCHO2
GO:0018105	peptidyl-serine phosphorylation	21	0.005740841990158557	3.4775994596854596	1.3965259911398607e-08	4.688448091365654e-06	5.328970887965281	0.00016878413128916357	PDK3, HIPK3, IKBKB, TTBK2, STK4, HIPK2, TGFBR1, MORC3, GSK3B, MAPK8, TBK1, ROCK1, PRKDC, CSNK2A1, RPS6KB1, SMG1, UHMK1, PRKCD, TLK2, SRPK2, TNKS
GO:0099175	regulation of postsynapse organization	19	0.00519409513395298	3.2417449508756233	3.3255820636653483e-07	7.05140084587007e-05	4.1517245965977665	0.00401929848214594	IL1RAPL1, EPHA7, VPS35, NF1, NRP2, PSEN1, GRID1, ADAM10, ARHGAP22, RPS6KA5, NRCAM, PAFAH1B1, ITSN1, WNT5A, CDC42, CDKL5, TANC1, WASL, DISC1
GO:0070936	protein K48-linked ubiquitination	49	0.013395297977036633	2.844222238505634	1.9064460383465752e-13	1.0972050866407955e-10	9.959712187674409	2.3041306819456708e-09	TRIM38, RBX1, CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, RFFL, CDC16, TRIM25, UBE2D3, RNF115, ITCH, UBE2R2, CUL3, RNF216, HUWE1, ZNRF2, UBR5, NT5C2, PRKN, FBXO38, UBE2B, FBXO9, UBE2K, UBE3A, KBTBD2, UBE2E3, BTRC, CUL1, PELI1, UBE2G1, UBE2D2, UBR4, KCMF1, ANAPC5, ANAPC1, ARIH2, UBE2G2, UBE3C, ANAPC16, ANAPC4, RNF146, NEDD4L, UBE2E2, UBE2E1
