GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0015935	small ribosomal subunit	22	0.006014215418261345	4.587732620537432	9.348915308121692e-13	5.5217031038593736e-11	10.257926948624318	1.7669449932349998e-09	NPM1, RPS4X, RPS21, RPS20, RPS9, RPS27A, RACK1, RPS6, FAU, RPS3, RPS18, RPS25, RPS29, RPS23, DAP3, RPS15, RPSA, RPS24, MRPS6, RPS2, RPS28, RPS16
GO:0016442	RISC complex	13	0.003553854565336249	4.574699289229087	5.620005576388317e-08	1.9312382798861674e-06	5.714164138827833	0.00010621810539373919	AGO1, TNRC6A, AGO4, AGO2, DDX6, AGO3, TNRC6C, PRKRA, DHX9, DCP2, TNRC6B, LIMD1, DICER1
GO:0022627	cytosolic small ribosomal subunit	32	0.008747949699289229	4.504319300164024	1.475628717223022e-17	1.4678622502902694e-15	14.83331469833397	2.7889382755515117e-14	RPS8, RPS3A, RPS17, LARP4, RPS12, DHX29, RPS4X, RPS20, RPS21, RPS27, RPS9, RPS14, RPS27A, RACK1, RPS6, RPS11, RPS4Y1, FAU, RPS3, RPS18, RPS25, RPS7, RPS19, RPS29, RPS23, DDX3X, RPS15, RPSA, RPS24, RPS28, RPS2, RPS16
GO:0022625	cytosolic large ribosomal subunit	42	0.011481683980317113	4.299577513792932	3.0948068030424976e-21	3.899456571833547e-19	18.408995912024338	5.8491848577503205e-18	RPL32, RPLP1, RPL4, UBA52, RPL15, RPL35A, RPL7A, RPL9, RPL14, RPL37, RPL34, RPL41, RPLP0, RPL31, RPL7, RPL37A, RPL8, RPL10, RPL23, RPL30, RPL36, RPL27A, RPL17, RPL38, RPL28, RPL5, RPL35, RPL24, RPL19, RPL36A, RPL11, RPL6, RPL3, RPL18, RPL13A, RPL13, RPL21, RPL26, RPL12, RPLP2, RPL23A, RPL27
GO:0022626	cytosolic ribosome	75	0.02050300710770913	4.265453882731083	1.769091067239229e-36	6.687164234164285e-34	33.17475801056481	3.3435821170821425e-33	RPS8, RPL32, RPLP1, RPS3A, UBA52, RPS17, RPL4, RPL15, RPL35A, RPS12, RPL7A, RPL9, RPS4X, RPL37, RPL14, RPL34, RPS20, RPS21, RPS9, RPS14, RPS27, EIF2AK4, RPS16, RPS27A, RPLP0, USP10, RPL31, RPS6, RPL7, RPS11, RPL37A, RPL8, FAU, RPL23, RPS3, RPS18, RPL10, RPL30, RPS25, RPL36, RPL27A, RPL17, RPL38, RPL28, RPS7, HBS1L, RPL24, LTN1, RPS19, RPL35, RPS29, RPL5, RPL19, RPS23, RPL11, RPL36A, NEMF, RPL6, RPL3, RPL18, RPL13A, RPL13, RPL21, RPL26, GSPT1, RPL12, RPS15, RPL23A, RPSA, RPS24, RPS28, RPS2, EEF1A1, RPL27, ASCC3
GO:0030904	retromer complex	14	0.0038272279934390375	3.58298126149411	2.3066291895891063e-06	5.7362225898992245e-05	4.241374004535281	0.004359529168323411	RAB7A, VPS35, DENND4C, ANKFY1, SNX27, VPS29, SNX1, SNX3, DENND5A, SNX6, SNX5, SNX2, TBC1D5, VPS26A
GO:0032839	dendrite cytoplasm	16	0.004373974849644614	3.336532814936314	1.6895618530096876e-06	4.3152323002544724e-05	4.364995820110274	0.0031932719021883094	STAU1, WASF1, KIF5C, CDKL5, LRRK2, ZC3H14, HPCA, UHMK1, GRIK2, KIFAP3, STAU2, KIF5B, TRAK2, MAP2K1, ABHD12, MAP2
GO:0036464	cytoplasmic ribonucleoprotein granule	35	0.009568069983597594	2.985817717911758	9.016190713711887e-11	4.1562440119306015e-09	8.381298963058052	1.7040600448915466e-07	AGO4, ACTB, DDX6, DHX9, RPS4X, HNRNPU, TUT4, PABPC1, RPLP0, RPS6, DYNC1I1, NCL, FXR1, LSM14A, AGO2, STAU1, RPL28, TUBB, IQGAP1, AGO3, ZC3H12C, BTBD1, TUBA1A, RPL6, ROCK2, CDC42, AGO1, CAPRIN1, YTHDF2, MAPT, TDRD7, DCP1A, DCP2, FMR1, RAC1
GO:0005791	rough endoplasmic reticulum	20	0.005467468562055768	2.9633679606342263	1.1519290460570496e-06	3.155283908764962e-05	4.500961557350869	0.0021771458970478237	RPL4, RPS21, CCDC47, PKM, CDKAL1, PSEN1, STAU1, RPS29, RPS23, PTGDS, RPL6, STX17, RPL18, RAB14, SEC62, SPPL3, SUCO, RPS28, RPL27, TMCC1
GO:0031252	cell leading edge	33	0.009021323127392018	2.9031745489338436	8.130445876017368e-10	3.414787267927295e-08	7.466636346519202	1.5366542705672827e-06	SSH1, CDC42BPB, AAK1, ARF1, ARPC2, DOCK8, RAPH1, PABPC1, IQGAP2, CLASP2, DST, CYFIP1, CCDC88A, GBF1, IQGAP1, BCAS3, PAFAH1B1, CFL1, SSX2IP, CARMIL1, SHTN1, CDC42BPA, CDC42, LMO4, CAPRIN1, SLK, DDX3X, CD2AP, MACF1, ABI1, ABL1, PRKCI, MYH9
