ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB00734	Topotecan	Risperidone	1.077380952380952	L	N	False	False
DB00170	DB00337	Menadione	Pimecrolimus	1.0666666666666664	B	D	False	False
DB01030	DB00334	Topotecan	Olanzapine	1.0538847117794488	L	N	False	False
DB00170	DB01092	Menadione	Ouabain	1.0538461538461537	B	C	False	False
DB07232	DB00337	Veliparib	Pimecrolimus	1.0		D	False	False
DB02910	DB08916	Octanoyl-Coenzyme A	Afatinib	1.0		L	False	False
DB07232	DB01092	Veliparib	Ouabain	1.0		C	False	False
DB01092	DB00337	Ouabain	Pimecrolimus	1.0	C	D	False	False
DB01092	DB06075	Ouabain	Linsitinib	1.0	C		False	False
DB07715	DB02910	Emodin	Octanoyl-Coenzyme A	1.0			False	False
DB08911	DB02910	Trametinib	Octanoyl-Coenzyme A	1.0	L		False	False
DB07232	DB07715	Veliparib	Emodin	1.0			False	False
DB07232	DB02910	Veliparib	Octanoyl-Coenzyme A	1.0			False	False
DB07232	DB06075	Veliparib	Linsitinib	1.0			False	False
DB05134	DB02910	Tanespimycin	Octanoyl-Coenzyme A	1.0			False	False
DB05134	DB07232	Tanespimycin	Veliparib	1.0			False	False
DB07715	DB00337	Emodin	Pimecrolimus	1.0		D	False	False
DB05134	DB01092	Tanespimycin	Ouabain	1.0		C	False	False
DB01092	DB07715	Ouabain	Emodin	1.0	C		False	False
DB08911	DB01092	Trametinib	Ouabain	1.0	L	C	False	False
DB01030	DB06075	Topotecan	Linsitinib	1.0	L		False	False
DB07715	DB06075	Emodin	Linsitinib	1.0			False	False
DB08911	DB07232	Trametinib	Veliparib	1.0	L		False	False
DB01030	DB08911	Topotecan	Trametinib	1.0	L	L	False	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB02910	DB00337	Octanoyl-Coenzyme A	Pimecrolimus	1.0		D	False	False
DB02910	DB06075	Octanoyl-Coenzyme A	Linsitinib	1.0			False	False
DB08911	DB07715	Trametinib	Emodin	1.0	L		False	False
DB01030	DB05134	Topotecan	Tanespimycin	1.0	L		False	False
DB01030	DB02910	Topotecan	Octanoyl-Coenzyme A	1.0	L		False	False
DB08911	DB01645	Trametinib	Genistein	0.98974358974359	L		False	False
DB00170	DB01656	Menadione	Roflumilast	0.9892857142857143	B	R	False	False
DB08911	DB00170	Trametinib	Menadione	0.9833333333333334	L	B	False	False
DB00170	DB06075	Menadione	Linsitinib	0.9833333333333334	B		False	False
DB01030	DB00170	Topotecan	Menadione	0.9833333333333334	L	B	False	False
DB00170	DB02910	Menadione	Octanoyl-Coenzyme A	0.976923076923077	B		False	False
DB00334	DB02910	Olanzapine	Octanoyl-Coenzyme A	0.9521531100478469	N		False	False
DB00170	DB06080	Menadione	Linifanib	0.9416666666666667	B		False	False
DB07232	DB00734	Veliparib	Risperidone	0.9345238095238093		N	False	False
DB00734	DB06075	Risperidone	Linsitinib	0.9345238095238093	N		False	False
DB08911	DB00734	Trametinib	Risperidone	0.9345238095238093	L	N	False	False
DB00734	DB02910	Risperidone	Octanoyl-Coenzyme A	0.9249999999999998	N		False	False
DB01645	DB02910	Genistein	Octanoyl-Coenzyme A	0.9230769230769231			False	False
DB08911	DB06080	Trametinib	Linifanib	0.9166666666666665	L		False	False
DB02910	DB06595	Octanoyl-Coenzyme A	Midostaurin	0.9166666666666665		L	False	False
DB01030	DB06080	Topotecan	Linifanib	0.9166666666666665	L		False	False
DB06080	DB01092	Linifanib	Ouabain	0.9166666666666665		C	False	False
DB06080	DB00337	Linifanib	Pimecrolimus	0.9166666666666665		D	False	False
DB06080	DB02910	Linifanib	Octanoyl-Coenzyme A	0.9166666666666665			False	False
DB06080	DB07715	Linifanib	Emodin	0.9166666666666665			False	False
DB07232	DB06595	Veliparib	Midostaurin	0.9166666666666665		L	False	False
DB07232	DB06080	Veliparib	Linifanib	0.9166666666666665			False	False
DB06080	DB06075	Linifanib	Linsitinib	0.9166666666666665			False	False
DB08911	DB06595	Trametinib	Midostaurin	0.9166666666666665	L	L	False	False
DB08911	DB00334	Trametinib	Olanzapine	0.911027568922306	L	N	False	False
DB00334	DB07232	Olanzapine	Veliparib	0.911027568922306	N		False	False
DB00334	DB06075	Olanzapine	Linsitinib	0.911027568922306	N		False	False
DB00170	DB07715	Menadione	Emodin	0.8999999999999999	B		False	False
DB00170	DB05134	Menadione	Tanespimycin	0.8999999999999999	B		False	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB00337	DB02546	Pimecrolimus	Vorinostat	0.8999999999999999	D	L	True	False
DB08911	DB00783	Trametinib	Estradiol	0.8968253968253967	L	G	False	False
DB00337	DB01656	Pimecrolimus	Roflumilast	0.875	D	R	False	False
DB06075	DB01656	Linsitinib	Roflumilast	0.875		R	False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB01030	DB01656	Topotecan	Roflumilast	0.875	L	R	False	False
DB01030	DB00642	Topotecan	Pemetrexed	0.875	L	L	True	False
DB01092	DB01656	Ouabain	Roflumilast	0.875	C	R	False	False
DB08059	DB05134	Wortmannin	Tanespimycin	0.875			False	False
DB01092	DB00642	Ouabain	Pemetrexed	0.875	C	L	False	False
DB08059	DB01092	Wortmannin	Ouabain	0.875		C	False	False
DB08059	DB07232	Wortmannin	Veliparib	0.875			False	False
DB02910	DB01656	Octanoyl-Coenzyme A	Roflumilast	0.875		R	False	False
DB08911	DB01656	Trametinib	Roflumilast	0.875	L	R	False	False
DB02910	DB00642	Octanoyl-Coenzyme A	Pemetrexed	0.875		L	False	False
DB07232	DB01656	Veliparib	Roflumilast	0.875		R	False	False
DB05134	DB01656	Tanespimycin	Roflumilast	0.875		R	False	False
DB01656	DB08916	Roflumilast	Afatinib	0.875	R	L	False	False
DB05134	DB00642	Tanespimycin	Pemetrexed	0.875		L	False	False
DB08059	DB02910	Wortmannin	Octanoyl-Coenzyme A	0.875			False	False
DB07715	DB01656	Emodin	Roflumilast	0.875		R	False	False
DB08911	DB00642	Trametinib	Pemetrexed	0.875	L	L	False	False
DB07232	DB00642	Veliparib	Pemetrexed	0.875		L	False	False
DB06080	DB00734	Linifanib	Risperidone	0.8749999999999998		N	False	False
DB00334	DB00642	Olanzapine	Pemetrexed	0.8647025171624714	N	L	False	False
DB00734	DB00337	Risperidone	Pimecrolimus	0.8630952380952381	N	D	False	False
DB00734	DB01092	Risperidone	Ouabain	0.8583333333333334	N	C	False	False
DB01645	DB01656	Genistein	Roflumilast	0.8569004524886876		R	False	False
DB00734	DB01656	Risperidone	Roflumilast	0.8541666666666665	N	R	False	False
DB00334	DB00170	Olanzapine	Menadione	0.853720508166969	N	B	False	False
DB08059	DB00170	Wortmannin	Menadione	0.8464285714285715		B	False	False
DB00170	DB00642	Menadione	Pemetrexed	0.8464285714285715	B	L	False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB08911	DB04573	Trametinib	Estriol	0.8333333333333335	L	G	False	False
DB04573	DB02910	Estriol	Octanoyl-Coenzyme A	0.8333333333333335	G		False	False
