GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901888	regulation of cell junction assembly	7	0.002920317062995411	8.592407175636211	2.8696612906276776e-07	8.459201550860027e-05	4.072670627317972	0.003468272635852611	RAP1A, RAPGEF2, TJP1, ROCK2, RAPGEF1, RAP1B, ROCK1
GO:0048268	clathrin coat assembly	12	0.0050062578222778474	5.4267834793491865	1.3779393941612647e-07	4.5010204102251475e-05	4.346689017715141	0.0016653775517833046	PIK3C2A, SNAP91, AP2B1, GAS7, EPS15, CLTC, CLTA, FCHO2, HIP1, NSG2, CALY, PICALM
GO:0051893	regulation of focal adhesion assembly	14	0.005840634125990822	4.626680786881037	1.9883374858706552e-07	6.007761713558184e-05	4.221287301126901	0.002403104685423274	CLASP2, PTPRA, GPM6B, EFNA5, SLK, ROCK2, PEAK1, MACF1, LIMCH1, WDPCP, CLASP1, CORO1C, ROCK1, PTK2
GO:0072583	clathrin-dependent endocytosis	15	0.006257822277847309	4.444348539122179	1.461941905183927e-07	4.6497447015928795e-05	4.33257089178386	0.0017669029866052943	SNAP91, MAGI2, AP2B1, DNAJC6, LMBRD1, SGIP1, GAS7, FNBP1L, CLTC, CLTA, FCHO2, FCHSD2, INPP5F, CANX, PICALM
GO:0099175	regulation of postsynapse organization	17	0.0070921985815602835	4.426391575327745	2.310805932754902e-08	9.63048293216405e-06	5.0163519341096094	0.00027928400503275745	DISC1, WASL, PAFAH1B1, GRID1, PSEN1, TANC1, RPS6KA5, CDC42, ADAM10, NRCAM, IL1RAPL1, PAK3, EPHA7, ABHD17B, NF1, CDKL5, ITSN1
GO:0035249	synaptic transmission, glutamatergic	19	0.007926574885273258	3.887041341359239	5.208474213955584e-08	2.0306328822537804e-05	4.692368585518303	0.000629496193498672	DSCAM, GRIA4, GRID1, GRIA3, GRID2, CACNB4, CLCN3, NR3C1, NAPB, CDH8, GRIA1, EXT1, PRKN, VPS54, GRIA2, GRIK2, UNC13B, GRIN2B, GRIN2A
GO:0070936	protein K48-linked ubiquitination	36	0.015018773466833541	3.1889346218856045	6.991771543363138e-11	5.28140942956793e-08	7.277250163488665	8.450255087308688e-07	HUWE1, UBE2K, ANAPC10, KLHL3, RNF216, UBE2H, NT5C2, UBE2D3, NEDD4L, UBE3C, HACE1, ASB3, TTC3, SKP1, RNF115, MYCBP2, UBE2D2, CUL1, ITCH, UBE2R2, ANAPC16, ANAPC1, PRKN, CDC27, UBE3A, UBE2B, UBE2E1, UBE2G1, CUL3, PELI1, UBR5, UBE2G2, BTRC, UBE2E2, UBE2E3, RFFL
GO:0016197	endosomal transport	26	0.01084689194826867	3.102813702313077	5.748172970842343e-08	2.1710130789250175e-05	4.663337560199262	0.0006947241852560056	WASHC5, ARL8B, ZFYVE16, SNX1, PICALM, RABGEF1, REPS1, RAB10, ITSN1, CLEC16A, EPS15, TMCC1, REPS2, WASHC4, ALMS1, SNX9, GBF1, DCLK1, ITSN2, ZFYVE9, ABCA1, SNX27, CORO1C, VTI1A, NSG2, CALY
GO:0000209	protein polyubiquitination	53	0.022110972048393827	2.976454773259603	6.511716228919222e-14	1.1242943191816815e-10	9.949119983727398	7.870060234271771e-10	HUWE1, UBE2K, KLHL3, DZIP3, UBE2H, C10orf90, MDM2, UBE2D3, TNKS2, PIK3R1, MKRN3, FBXW11, RMND5A, PELI2, UBE3C, TNKS, RC3H2, SKP1, RNF115, CTNNB1, FBXL7, UBE2D2, RC3H1, HLTF, TRIP12, UBE3D, LNPEP, UBE2W, BCL2, UBE4B, TRIM2, RNF111, NPEPPS, ITCH, SASH1, UBE2R2, SHPRH, PRKN, UBE3A, UBE2B, UBE2E1, UBE2G1, CUL3, PELI1, UBR5, CBFB, FBXL17, UBE2G2, AMBRA1, BTRC, SPOP, TPP2, UBE4A
GO:0010976	positive regulation of neuron projection development	39	0.016270337922403004	2.965521060617808	1.4609715116896465e-10	1.038664805310651e-07	6.983524584002868	1.7657301690281068e-06	NPTN, SETX, CAMK2B, ARHGAP35, LRRC7, DMD, NEGR1, WASHC5, SERPINI1, TMEM30A, CFLAR, RAP1A, KIDINS220, ADNP, SHOC2, NTRK3, TENM3, SCARB2, NTRK2, CAMK1D, APOE, FYN, CNTN1, ABL2, RYK, MAGI2, KAT2B, CBFA2T2, PRKCI, PRKD1, RELN, DISC1, FIG4, FUT9, RAPGEF2, ATP8A2, RAPGEF1, EP300, ZNF804A
GO:0031175	neuron projection development	53	0.022110972048393827	2.864135725212071	3.8206444946678787e-13	5.772038670319498e-10	9.238670767971803	4.6176309362555986e-09	MAP2, ARFGEF1, RAB11A, MATN2, WASF1, HMGB1, EFHD1, CLMN, ROCK1, VAPA, NEDD4L, CNTNAP2, ALCAM, VPS13B, PTPRG, NCDN, NRXN1, PTPRM, CNTN4, MECP2, APOE, UBE4B, GPM6A, NLGN1, APP, ATXN10, DBNDD2, CNTN1, EXT1, RYK, MAP4, FRY, MAP1B, PTPRK, DTNBP1, OPHN1, CYFIP2, CDC27, RAB6A, HERC1, STMN4, FRYL, RAPGEF2, RB1, DOCK7, GSK3B, ITGB1, MAPT, RAPGEF6, PPP1R9A, LONRF2, CHL1, CAMSAP2
GO:0006897	endocytosis	72	0.030037546933667083	2.7374040559548996	3.721784266361033e-16	8.996296928647888e-13	12.045936218827206	4.498148464323945e-12	SYNRG, AAK1, HEATR5A, DENND1B, RAC1, SGIP1, USP33, LRP1B, LMBRD1, MYO5A, FCHO2, PIK3CB, FCHSD2, SCAMP1, MIB1, RABEP1, DPYSL2, PIK3C2A, PICALM, RHOQ, ABL1, DENND1A, SYNJ1, RABGEF1, CDC42, RAB7A, REPS1, LRP6, SORT1, LIPA, SH3KBP1, EHBP1, APP, ATP9B, ITSN1, MYO6, ANK2, RAB1A, FNBP1, MAGI2, MYO1D, AP2B1, DNM1L, ATP9A, SH3GLB1, OPHN1, EPS15, FNBP1L, EPN2, ATP6V1H, REPS2, CSNK1G3, HIP1, ESYT2, SH3GL3, RABGAP1L, SNX9, CSNK1G1, HEATR5B, MTMR6, ITSN2, ZFYVE9, LRP4, CLTA, OCIAD1, DNER, DNM3, PIK3C3, EEA1, CALY, KCNQ3, LRP2
GO:0001764	neuron migration	42	0.017521902377972465	2.733947737702431	5.320944371101615e-10	3.5727185371741173e-07	6.447001196662668	6.430893366913412e-06	ASTN2, ABI1, RAC1, MATN2, ADGRL3, CEP85L, ASTN1, USP9X, DCC, SH3RF1, NTRK3, KIRREL3, ABI2, CTNNB1, FAT3, NTRK2, AUTS2, GPM6A, FYN, PCM1, HSP90AA1, MAP1B, NRCAM, APBB2, NAV1, PRKG1, FZD3, SEPTIN4, KIAA0319L, RELN, CDKL5, DISC1, RAPGEF2, LARGE1, NEO1, PSEN1, TOP2B, SDCCAG8, DNER, PAFAH1B1, CHL1, YWHAE
GO:0048511	rhythmic process	44	0.01835627868168544	2.5894925734794065	1.4385482591913061e-09	8.27918774313625e-07	6.082012269009507	1.7386294260586125e-05	HUWE1, SETX, KDM5A, DHX9, ENOX2, ROCK2, OGT, USP9X, LGR4, CREB1, FBXW11, KDM2A, RORA, MYCBP2, NR1D2, NLGN1, PSPC1, MAPK10, MAPK8, MAGED1, DNM1L, FBXW7, TOP1, SFPQ, NRIP1, KAT2B, DDX5, UBE3A, CLOCK, FBXL3, CREBBP, PROX1, THRAP3, NCOA2, PRKDC, HNRNPD, ENOX1, KMT2A, BTRC, EP300, GSK3B, NCOR1, ATG7, HNRNPU
GO:0050804	modulation of chemical synaptic transmission	35	0.014601585314977055	2.527178581069474	1.3031664590611055e-07	4.375019395614589e-05	4.359020017295447	0.001575006982421252	NPTN, JAK2, GRIA4, NLGN4X, DLGAP1, GRID1, EPHA7, CACNA1B, CDH11, GRIA3, RPS6KB1, GRID2, RTN4, NLGN1, GRM5, LRRC4C, FYN, AKAP7, GRIA1, PXK, PRKN, GRM3, UBE3A, NRG3, RELN, CDKL5, DLGAP2, GRIA2, GRIK2, PPP3CA, BTBD9, ITGB1, PAFAH1B1, PTPRD, GRIN2A
