GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	8	0.003337505214851898	6.8739257405089695	1.2059231106278705e-06	5.278864271927193e-05	4.277459504263646	0.012405331039028904	MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0000576	Centrocecal scotoma	10	0.004171881518564873	6.609543981258625	9.183693522074052e-08	4.82003343171305e-06	5.316949949487676	0.0009447265526157577	MT-CO1, MT-ATP6, MT-ND4L, OPA1, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0100033	Tics	12	0.0050062578222778474	6.444305381727159	6.979337807005912e-09	4.5730221669216445e-07	6.339796693448005	7.179644802066981e-05	SPTBN1, FRYL, ZSWIM6, GATAD2B, MAPK1, VPS13A, ZBTB20, KMT5B, POGZ, ARID2, ACBD6, CHD8
HP:0007768	Central retinal vessel vascular tortuosity	9	0.0037546933667083854	6.444305381727159	6.111379715134807e-07	2.7817594305129097e-05	4.555680430964501	0.006286776312959177	MT-ATP6, NEK1, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0032036	Reduced contrast sensitivity	9	0.0037546933667083854	6.444305381727159	6.111379715134807e-07	2.7817594305129097e-05	4.555680430964501	0.006286776312959177	MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0004309	Ventricular preexcitation	9	0.0037546933667083854	5.948589583132762	1.7795653031721456e-06	7.533493116762083e-05	4.123003604201621	0.01830638827373186	MT-CO1, MT-ATP6, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-CYB, MT-ND5
HP:0200125	Mitochondrial respiratory chain defects	13	0.005423445974134335	5.879015435961619	9.581589933413156e-09	6.160363477813821e-07	6.210393662551196	9.856581564502113e-05	CAMKMT, MT-CO1, MT-ATP6, PREPL, MT-ND4L, MT-CO3, MT-ND1, MT-ND4, MT-ND2, PNPT1, MT-CYB, PPM1B, MT-ND5
HP:0002236	Frontal upsweep of hair	17	0.0070921985815602835	5.4100341476228	3.333270936159947e-10	2.637642932329029e-08	7.57878399689241	3.4289358120277376e-06	BRD4, TCF4, CAMTA1, POLA1, MED13L, MED27, YY1, EP300, MKRN3, FRMPD4, UBR1, OGT, FOXP1, FBXO11, CREBBP, TRIO, HERC2
HP:0040082	Happy demeanor	12	0.0050062578222778474	4.909946957506407	6.418647571930043e-07	2.8936576894508335e-05	4.538552845841539	0.006602862757244435	ADNP, GRIK2, TCF4, ZSWIM6, HNRNPC, HDAC8, WDR26, UBE3A, ZEB2, SNRPN, ASXL1, DYRK1A
HP:0000692	Tooth malposition	14	0.005840634125990822	4.455322239218777	3.686248385226882e-07	1.7629243924131202e-05	4.753766313147014	0.0037920437138828935	RAB3GAP1, ANKH, TCF4, RIC1, BPTF, CNOT2, BCAS3, RAB3GAP2, MAP3K7, ZEB2, SMCHD1, CA2, USP9X, FBN1
HP:0011229	Broad eyebrow	14	0.005840634125990822	4.2962035878181055	6.581422140544153e-07	2.9436125895555524e-05	4.531119348305164	0.00677030895597777	SPTBN1, BPTF, RERE, POLA1, MAPK1, EP300, HERC1, ZEB2, SON, ACTB, FBXO11, CREBBP, FRA10AC1, CHD1
HP:0002883	Hyperventilation	17	0.0070921985815602835	4.2962035878181055	4.119794919162848e-08	2.278512383517646e-06	5.642348606722188	0.0004238033033342822	BTD, MT-ATP6, SYT1, CAMK2B, TCF4, NRXN1, MT-ND1, GABRB3, HLCS, MT-ND4, MT-ND2, TLK2, MT-ND3, CPLANE1, CNTNAP2, CDKL5, MT-ND5
HP:0003763	Bruxism	19	0.007926574885273258	4.081393408427201	1.9281821649390908e-08	1.1399545937200244e-06	5.943112446987708	0.00019835209930728427	MBD5, CAMK2B, CACNA1B, HTT, ADNP, CERT1, MECP2, MYT1L, ITPR1, VPS13A, ANK3, CDKL5, SPTBN1, GRIN1, HNRNPK, TRAPPC9, CACNA2D1, ZEB2, ATG7
HP:0032792	Tonic seizure	39	0.016270337922403004	4.037396142768823	1.1162479089916061e-15	2.0505075428208308e-13	12.6881386288152	1.1482842239796652e-11	ARFGEF1, CHD2, CEP85L, CACNA1B, CNTNAP2, ADNP, GLUL, CLCN3, SCN2A, SYNJ1, ALG13, NAPB, FGF12, ATP6V0A1, MECP2, ATP6V1A, ARHGEF9, SLC25A12, SCN1A, PSAP, KCNQ5, VPS53, PHACTR1, GNB1, CUL3, NSF, SCN8A, DMXL2, GRIA2, GRIK2, PPP3CA, PPFIBP1, ATP6V0C, DOCK7, ST3GAL3, DENND5A, PLCB1, TBL1XR1, HNRNPU
HP:0002263	Exaggerated cupid's bow	19	0.007926574885273258	3.981847227733854	3.201399947994965e-08	1.799606626504055e-06	5.744822416346187	0.000329328012650242	TBCK, EXOC2, CLCN3, SCN2A, SMARCA2, POGZ, TRIP12, MYT1L, CHD8, MED27, NRCAM, SLC1A3, ZMIZ1, ZNF462, KMT2A, JARID2, HNRNPK, DNMT3A, HNRNPU
HP:0007270	Atypical absence seizure	16	0.006675010429703796	3.818847633616094	7.970442819811516e-07	3.549434860926453e-05	4.449840789570052	0.008199194528740105	HNRNPU, PPP3CA, CACNB4, FRRS1L, SCN2A, EIF4A2, GABRB3, CHD2, UBE3A, CEP85L, ZEB2, KCNMA1, PAFAH1B1, GRIN2A, MAPK10, SCN1A
