Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5718441146118005	-3.2332431059551348	<0.0001	<0.0001	PL21
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.5105382270688357	-2.9367173598824396	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.4588766083964944	-2.9162138216389137	<0.0001	<0.0001	NPC.TAK
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4705388405320713	-2.9035178827102026	<0.0001	<0.0001	THP1
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.48237093683567034	-2.878773437780761	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.44548462736366706	-2.849678473956964	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.410394877494995	-2.842899496588555	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.4798267608375184	-2.804516160627697	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.4079343557269348	2.8030038950970786	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4759151845196564	-2.763033126389736	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.4463438028095819	-2.742572444758755	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4186321370483842	-2.7286750701446523	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4542240862856474	2.7023385115836094	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.4008227482725313	2.7006900179081543	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.3897150848687849	2.689531330180452	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.3992492309129829	-2.6608808230827012	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A11	DB07232	Veliparib	0.38689589331333973	2.650737632697319	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.4251971544048927	-2.648286540865346	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4530109463711324	-2.641861338831258	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.38681136772469216	-2.641422925349548	<0.0001	<0.0001	NEU
