GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0051010	microtubule plus-end binding	12	0.0050062578222778474	4.909946957506407	6.418647571930043e-07	7.469114040409327e-05	4.1267309095875975	0.0030623367565678233	CLASP2, APC, MAPRE2, CLIP2, CKAP5, FBXW11, CLIP1, TTBK2, CLASP1, PAFAH1B1, CLIP4, DST
GO:0005158	insulin receptor binding	13	0.005423445974134335	4.856577968837859	2.568548171494467e-07	3.224879822684238e-05	4.4914864650031525	0.0012254543326200103	GRB10, PHIP, PTPN1, LMBRD1, SNX2, IRS2, PTPN11, IGF1R, CCDC88A, PIK3R1, APP, SNX1, SORBS1
GO:0048156	tau protein binding	22	0.00917813934084272	4.296203587818106	4.169432185332715e-10	7.956944382488953e-08	7.099253677563222	1.989236095622238e-06	MAP2, ROCK2, TTBK2, CLU, ACTB, ROCK1, PICALM, SMAD2, APOE, FYN, TAOK1, HSP90AA1, MARK3, HSP90AB1, CREBBP, DYRK1A, PPP2R2A, SNCA, EP300, MAP1A, GSK3B, PPP2CB
GO:0003730	mRNA 3'-UTR binding	34	0.014184397163120567	2.9509277168851638	2.5116047128032394e-09	4.1320227878566395e-07	6.38383729203792	1.1982866084784255e-05	PUM1, PABPC1, CPEB2, LARP4B, HNRNPA3, CPEB3, HNRNPA2B1, AUH, CPEB4, ANGEL2, HNRNPC, RC3H1, ZC3H14, FUS, LRPPRC, NOVA1, UTP23, SERBP1, TAF15, ELAVL3, SECISBP2L, FXR1, DHX36, LARP1, DDX5, FUBP1, PUM2, SECISBP2, RBMS3, CELF1, QKI, CELF2, TIAL1, HNRNPU
GO:0008013	beta-catenin binding	36	0.015018773466833541	2.8378592506688407	2.895336347118613e-09	4.6045499040343006e-07	6.336812815792376	1.3813649712102901e-05	PTPRJ, MED12L, CDH11, ADNP, GRIP1, SKP1, RNF220, RORA, CTNNA2, CDH13, CDH8, CHD8, APC, AMER2, CDH9, PTPRK, KANK1, PRKN, CTNNA1, CDH2, SPECC1L, FOXO3, TCF7L2, TCF4, CTNND2, CDH19, PSEN1, BTRC, EP300, GSK3B, CDH20, FOXO1, CTNNA3, CDH12, TBL1XR1, PTEN
GO:0035091	phosphatidylinositol binding	35	0.014601585314977055	2.6851272423863164	2.3999560645795328e-08	3.3677030541496913e-06	5.472666209223941	0.0001145019038410895	APPL1, FCHO2, SNX1, SNX14, PIK3C2A, PARD3, STAM, MCF2L, PARD3B, RPS6KC1, MTM1, ITPR1, ARHGAP32, BCAS3, PITPNB, PXK, SGK3, SNX30, SNX25, SNX2, ITPR2, HIP1, ESYT2, KIF16B, SNX9, SBF2, PLD1, ZCCHC2, PITPNC1, APPL2, SNX27, CCDC88A, MAPT, WDPCP, SNX13
GO:0045296	cadherin binding	93	0.03879849812265332	2.5860642955798308	1.311836774769349e-18	1.043128875404094e-15	14.981662032494606	6.258773252424564e-15	CD46, ABI1, RDX, BMPR2, SERBP1, CAPZB, APC, DDX6, MACF1, AFDN, CDH2, YWHAB, KIF5B, ADD1, SND1, CTNND2, MPRIP, NEO1, HSPA1A, CDH20, TJP2, PTPRJ, SEPTIN2, DOCK9, CAPZA1, CTNNB1, PTPRM, OLA1, CDH13, EIF4G2, CDH8, GIGYF2, RAB1A, SNX2, EPS15, FNBP1L, LARP1, FMNL2, HSP90AB1, NDRG1, MRTFB, PPFIBP1, IQGAP1, PKM, ASAP1, KTN1, TJP1, PI4KA, VAPA, SNX1, PICALM, EIF5, HSPA8, HDLBP, YWHAZ, PKN2, PDXDC1, PTPN1, EPN2, CTNNA1, SPTBN1, CDH19, PTPN11, ERC1, CTNNA3, SPTAN1, YWHAE, ANLN, PKP4, PTPRO, CDH11, SLK, CTNNA2, CAST, RTN4, USP8, SHTN1, USO1, CDH9, PAK2, SH3GLB1, ANK3, ESYT2, EIF3E, SNX9, CKAP5, PSEN1, HNRNPK, DLG1, ITGB1, SEPTIN7, ARGLU1, CDH12
GO:0017124	SH3 domain binding	34	0.014184397163120567	2.585326052846294	1.0670901480015669e-07	1.4141908600320765e-05	4.849491973944289	0.0005091087096115476	ABI1, SGIP1, ARHGAP17, CTTNBP2, KHDRBS2, DOCK4, ABI2, PTPN12, REPS1, ENAH, USP8, SH3KBP1, KHDRBS1, UVRAG, PRKN, FUT8, EPS15, ADAM10, DOCK3, PAK3, ELMO1, DOCK1, SOS1, ADAM17, DNAJC6, CCDC6, RAPGEF1, RUFY2, KHDRBS3, LANCL1, MAPT, QKI, WIPF1, LRP2
GO:0031267	small GTPase binding	87	0.03629536921151439	2.568864000963403	2.7036549841397462e-17	1.84273398990439e-14	13.73453735336191	1.289913792933073e-13	DENND1B, MYO5A, CHM, TNPO1, HACE1, XPO6, KIF3A, DOCK4, RAB7A, DENND5B, TRIP11, XPO4, PEX5L, RIMS2, AFDN, PAK3, RABGAP1L, DOCK7, DENND5A, RPTOR, RIMS1, GCC2, ROCK1, DOCK5, RAB3GAP1, MYCBP2, EHBP1, GIT1, WDR44, MAPKAP1, DNM1L, RAF1, DOCK3, RABGAP1, BRAF, NCKAP1, DOCK1, FMNL2, NDRG1, CDKL5, PAK1, DAAM2, IQGAP1, CORO1C, RAPGEF6, ROCK2, EPS8, RAB3GAP2, DIAPH2, XPO1, PICALM, RAP1A, ABI2, MYRIP, RAPGEF4, PKN2, EXOC5, RASGRP3, DMXL2, EVI5, ERC1, KPNB1, BICD1, RAB11FIP2, USP33, IPO9, EXOC2, IPO7, RABGEF1, STRN3, CDC42SE2, RANBP9, AP1G1, GRIA1, CYFIP2, PAK2, GOLGA4, XPO7, SRGAP1, DOCK11, RIC1, UNC13B, ABCA1, RHOBTB3, DOCK10, WASF1, GIT2
GO:0003712	transcription coregulator activity	43	0.017939090529828953	2.565788253835813	3.0097148371303276e-09	4.6320482219189657e-07	6.334226928036168	1.4359349487948793e-05	MED13, DHX9, BRD4, RYBP, MED12L, BCLAF1, ZBTB16, YAF2, LDB2, AFF1, MED14, AEBP2, NFKBIZ, KDM2A, LMO4, KAT6B, ATF7IP, JMJD1C, ZXDC, FUS, PIAS1, TRRAP, BTAF1, TP53BP1, KAT6A, TAF15, MED13L, NRIP1, KAT2B, EWSR1, CREBBP, NSD1, NFKB1, THRAP3, SND1, NCOA2, CNOT2, CAMTA1, MTDH, EP300, AFF4, PIAS2, TCERG1
GO:0004842	ubiquitin-protein transferase activity	73	0.03045473508552357	2.4890703326247756	8.25364336381655e-14	3.029087114520674e-11	10.518688236468536	3.937813248876876e-10	HUWE1, HECTD4, UBE2K, CBLB, UBE2H, FANCL, MDM2, RNF169, RNF217, UBE2D3, RBBP6, TRIM33, CUL5, NEDD4L, RMND5A, MIB1, HACE1, UBE3C, TTC3, RNF115, RNF220, LTN1, LMO7, UBE2W, UBE2D2, RC3H1, TRIP12, FBXO21, ANKIB1, UBE4B, TRIM2, BIRC6, G2E3, HERC4, ITCH, FBXL5, RNF19A, ARIH1, UBE2R2, SHPRH, PRKN, FBXL3, HECW2, UBE3A, PJA2, HERC1, TRIM24, UBE2B, UBE2E1, RNF130, CUL3, UBE2G1, PELI1, UBR5, FBXO11, UBR1, HERC3, HERC2, CNOT4, TRIM23, WWP1, UBR3, RNF144A, UBE2G2, UBE2E2, UBE2E3, SMURF2, HECTD1, COP1, RNF13, DZIP3, UHRF2, UBE4A
GO:0019904	protein domain specific binding	62	0.025865665415102213	2.4105395696354983	2.177407412336903e-11	4.722004892845166e-09	8.325873567249975	1.0388410764259364e-07	DIXDC1, SSX2IP, VRK2, STX18, YWHAQ, TRIM9, MDM2, CNOT1, ZBTB16, PPP3R1, VAPA, XPO1, SCAMP1, TJP2, ICA1L, RFC1, RABEP1, SKP1, ABL1, GPSM2, RDX, ARFIP1, DICER1, PIAS1, ZMYND8, ENAH, YWHAZ, TFDP2, HNRNPM, KCNAB1, ITPR1, GRIA1, KHDRBS1, MYO1D, RBMX, TOP1, DDX6, ACSL3, RAB6A, PRKAR1A, FAF1, ZNF521, CALM3, YWHAB, IQGAP1, NCOA2, PRKDC, SNCA, PRKAR2A, ZFYVE9, LAMP2, TRPS1, IRS2, HNRNPK, STXBP1, KHDRBS3, YWHAG, KPNB1, MAP3K5, THRA, YWHAE, TRA2B
GO:0005085	guanyl-nucleotide exchange factor activity	67	0.027951606174384646	2.398713669865109	4.234561558748702e-12	1.1223940664883365e-09	8.9498546378619	2.0203093196790055e-08	RALGPS1, DENND1B, RAP1GDS1, ARFGEF1, SLC38A9, ARHGEF11, RAB3GAP2, RIC8B, ARHGEF10, KIAA1755, DOCK5, RAP1A, RAB3GAP1, SPATA13, DENND4A, MCF2L, DOCK9, DENND1A, MYCBP2, DOCK4, RABGEF1, ARHGEF7, SERGEF, DENND5B, MCF2L2, RAPGEF4, ARHGEF9, DENND6A, ITSN1, PSD3, RGL1, RASGEF1B, RAPGEF5, RALGPS2, MON2, WDR41, DOCK3, RASGRP3, HERC1, ELMO1, DOCK1, KALRN, TIAM2, TRIO, SBF2, RAB3IP, GBF1, ARFGEF3, HERC2, SOS1, DOCK11, RAPGEF2, DENND11, SOS2, ITSN2, DOCK7, RIC1, FARP2, ARHGEF12, RAPGEF1, DENND5A, CCDC88A, DOCK10, RAPGEF6, DENND4C, ARFGEF2, TIAM1
GO:0003729	mRNA binding	73	0.03045473508552357	2.3145598664997915	4.569673266674874e-12	1.1474690081739908e-09	8.940259035429728	2.1801911155305827e-08	CDC40, PABPC1, DHX9, PAIP2, NSRP1, PURB, SF3B1, PPHLN1, CSDE1, SCAF8, DHFR, GPATCH8, TPR, PPP1R21, RC3H2, RPL13A, KHDRBS2, COPA, PEG10, LSM14A, RC3H1, CPSF6, STAU2, DDX17, HDLBP, PUM3, YTHDF3, MSI2, EIF4G2, MECP2, G3BP2, LRPPRC, SF1, PCBP2, AQR, NOVA1, KHDRBS1, HNRNPR, HSP90AA1, ZNF638, ZC3H12C, FXR1, RBM25, RBMX, NUP98, RBM5, THOC2, SPEN, DDX6, DDX5, ATXN2, RBFOX2, SRRM2, PTBP2, TRA2A, G3BP1, YTHDC1, CELF4, N4BP1, CSTF3, HNRNPD, ADARB2, EIF4G3, HNRNPK, TRA2B, LUC7L2, KHDRBS3, PKM, CAPRIN1, CELF1, QKI, RBFOX1, AGO2
GO:0044325	transmembrane transporter binding	40	0.016687526074259492	2.306686490103681	2.7160042503314845e-07	3.3225785329055165e-05	4.478524745222119	0.0012958056278331513	CRBN, RYR2, DPP10, YWHAQ, PACS1, PDE4B, NEGR1, CAMK2D, NEDD4L, CNTNAP2, PKD2, HTT, CALM2, CALM1, CTNNB1, FGF12, STK39, YWHAZ, AKAP6, FYN, SLC8A1, KCNAB1, ANK2, RIMS2, HSP90AA1, TCAF1, ANK3, HOMER1, ITPR2, ATP1A1, CALM3, ATP2A2, PDE4D, TRPC1, ASPH, AKAP9, PRNP, DLG1, PPP2CB, YWHAE
