ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB04599	DB01262	Aniracetam	Decitabine	1.2857142857142856	N	L	False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB00925	DB03849	Phenoxybenzamine	Cilomilast	1.2374999999999998	C		False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB01030	DB00925	Topotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00925	Irinotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00762	DB00247	Irinotecan	Methysergide	1.2125	L	N	False	False
DB01030	DB00247	Topotecan	Methysergide	1.2125	L	N	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB02659	DB03849	Cholic Acid	Cilomilast	1.1853002070393375	A		False	False
DB01030	DB00875	Topotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB00762	DB00875	Irinotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB04599	DB00562	Aniracetam	Benzthiazide	1.1666666666666665	N	G	False	False
DB04599	DB07997	Aniracetam	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.1666666666666665	N		False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB09073	DB04599	Palbociclib	Aniracetam	1.1666666666666665	L	N	False	False
DB04599	DB04942	Aniracetam	Tamibarotene	1.1666666666666665	N		False	False
DB08175	DB00875	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Flupentixol	1.162878787878788		N	False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB07080	DB00875	TO-901317	Flupentixol	1.1607142857142856		N	False	False
