GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1901888	regulation of cell junction assembly	7	0.002920317062995411	8.592407175636211	2.8696612906276776e-07	8.459201550860027e-05	4.072670627317972	0.003468272635852611	RAPGEF1, RAP1A, RAP1B, RAPGEF2, ROCK2, ROCK1, TJP1
GO:0048268	clathrin coat assembly	12	0.0050062578222778474	5.4267834793491865	1.3779393941612647e-07	4.5010204102251475e-05	4.346689017715141	0.0016653775517833046	EPS15, GAS7, CLTC, PICALM, PIK3C2A, NSG2, AP2B1, CALY, CLTA, SNAP91, FCHO2, HIP1
GO:0051893	regulation of focal adhesion assembly	14	0.005840634125990822	4.626680786881037	1.9883374858706552e-07	6.007761713558184e-05	4.221287301126901	0.002403104685423274	GPM6B, WDPCP, PEAK1, SLK, MACF1, CORO1C, LIMCH1, EFNA5, PTK2, PTPRA, ROCK2, CLASP1, ROCK1, CLASP2
GO:0072583	clathrin-dependent endocytosis	15	0.006257822277847309	4.444348539122179	1.461941905183927e-07	4.6497447015928795e-05	4.33257089178386	0.0017669029866052943	SGIP1, GAS7, CLTC, PICALM, FNBP1L, AP2B1, DNAJC6, MAGI2, FCHSD2, CLTA, LMBRD1, INPP5F, SNAP91, CANX, FCHO2
GO:0099175	regulation of postsynapse organization	17	0.0070921985815602835	4.426391575327745	2.310805932754902e-08	9.63048293216405e-06	5.0163519341096094	0.00027928400503275745	EPHA7, NF1, PAK3, RPS6KA5, CDKL5, DISC1, TANC1, NRCAM, PSEN1, PAFAH1B1, ABHD17B, WASL, IL1RAPL1, GRID1, ITSN1, CDC42, ADAM10
GO:0035249	synaptic transmission, glutamatergic	19	0.007926574885273258	3.887041341359239	5.208474213955584e-08	2.0306328822537804e-05	4.692368585518303	0.000629496193498672	CLCN3, UNC13B, GRIA4, NR3C1, CACNB4, GRID1, CDH8, GRIA2, NAPB, PRKN, GRIA1, VPS54, GRIN2B, GRIK2, GRIA3, DSCAM, GRIN2A, GRID2, EXT1
GO:0070936	protein K48-linked ubiquitination	36	0.015018773466833541	3.1889346218856045	6.991771543363138e-11	5.28140942956793e-08	7.277250163488665	8.450255087308688e-07	CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, RFFL, UBE2D3, RNF115, ITCH, UBE2R2, KLHL3, CUL3, RNF216, HUWE1, UBR5, NT5C2, PRKN, UBE2B, UBE3A, UBE2K, UBE2E3, BTRC, CUL1, PELI1, UBE2G1, UBE2D2, ANAPC1, UBE2G2, UBE3C, ANAPC16, NEDD4L, UBE2E2, UBE2E1
GO:0016197	endosomal transport	26	0.01084689194826867	3.102813702313077	5.748172970842343e-08	2.1710130789250175e-05	4.663337560199262	0.0006947241852560056	EPS15, ZFYVE9, CORO1C, RABGEF1, ZFYVE16, WASHC5, CLEC16A, RAB10, ALMS1, GBF1, SNX1, PICALM, NSG2, CALY, ITSN1, SNX9, VTI1A, ABCA1, SNX27, DCLK1, WASHC4, REPS2, ARL8B, REPS1, ITSN2, TMCC1
GO:0000209	protein polyubiquitination	53	0.022110972048393827	2.976454773259603	6.511716228919222e-14	1.1242943191816815e-10	9.949119983727398	7.870060234271771e-10	SHPRH, UBE2H, FBXL17, UBE2W, RC3H2, SASH1, RMND5A, CBFB, LNPEP, HLTF, TNKS, FBXL7, DZIP3, UBE2D3, RNF115, ITCH, TRIM2, UBE2R2, KLHL3, CUL3, HUWE1, MDM2, MKRN3, UBR5, SPOP, PRKN, C10orf90, NPEPPS, CTNNB1, UBE2B, UBE3A, UBE2K, RC3H1, TRIP12, BTRC, PELI1, UBE2G1, UBE2D2, UBE4A, TNKS2, TPP2, UBE4B, UBE3D, UBE2G2, UBE3C, BCL2, AMBRA1, PIK3R1, PELI2, RNF111, FBXW11, SKP1, UBE2E1
GO:0010976	positive regulation of neuron projection development	39	0.016270337922403004	2.965521060617808	1.4609715116896465e-10	1.038664805310651e-07	6.983524584002868	1.7657301690281068e-06	CNTN1, CFLAR, FIG4, NTRK3, ABL2, WASHC5, APOE, CAMK2B, LRRC7, ATP8A2, RELN, SERPINI1, DMD, SETX, CBFA2T2, SHOC2, NPTN, RAPGEF1, ZNF804A, NEGR1, KAT2B, SCARB2, PRKD1, ADNP, RYK, FUT9, FYN, KIDINS220, EP300, ARHGAP35, RAPGEF2, TENM3, NTRK2, CAMK1D, MAGI2, PRKCI, TMEM30A, DISC1, RAP1A
GO:0031175	neuron projection development	53	0.022110972048393827	2.864135725212071	3.8206444946678787e-13	5.772038670319498e-10	9.238670767971803	4.6176309362555986e-09	MAP1B, WASF1, CYFIP2, CDC27, MATN2, CLMN, CNTN1, ALCAM, NCDN, CHL1, CNTNAP2, NRXN1, PPP1R9A, FRYL, MAP2, OPHN1, APOE, PTPRG, RB1, PTPRM, PTPRK, ITGB1, DTNBP1, VPS13B, GSK3B, EXT1, HERC1, DOCK7, ROCK1, APP, RAB6A, LONRF2, MECP2, CNTN4, RAB11A, CAMSAP2, RYK, DBNDD2, STMN4, RAPGEF2, HMGB1, UBE4B, VAPA, NLGN1, RAPGEF6, ARFGEF1, MAP4, EFHD1, GPM6A, MAPT, ATXN10, FRY, NEDD4L
GO:0006897	endocytosis	72	0.030037546933667083	2.7374040559548996	3.721784266361033e-16	8.996296928647888e-13	12.045936218827206	4.498148464323945e-12	EPS15, RAB7A, KCNQ3, ZFYVE9, MTMR6, PIK3C2A, AAK1, FCHSD2, HEATR5B, EHBP1, CSNK1G3, MYO5A, SH3GL3, DNM3, RABGEF1, FNBP1, LMBRD1, LIPA, SYNRG, OPHN1, RABEP1, CSNK1G1, ITSN2, OCIAD1, SH3KBP1, LRP2, EPN2, PIK3CB, ATP6V1H, DNER, SORT1, MYO6, ATP9A, HIP1, RHOQ, SGIP1, SYNJ1, LRP4, APP, LRP1B, DENND1B, EEA1, PICALM, CALY, AP2B1, CLTA, REPS2, ANK2, RAB1A, RABGAP1L, ITSN1, SNX9, CDC42, DENND1A, ATP9B, SCAMP1, FNBP1L, MIB1, PIK3C3, LRP6, MAGI2, DPYSL2, ABL1, DNM1L, HEATR5A, USP33, ESYT2, SH3GLB1, REPS1, MYO1D, RAC1, FCHO2
GO:0001764	neuron migration	42	0.017521902377972465	2.733947737702431	5.320944371101615e-10	3.5727185371741173e-07	6.447001196662668	6.430893366913412e-06	MAP1B, NEO1, AUTS2, MATN2, KIRREL3, YWHAE, CHL1, USP9X, SDCCAG8, FZD3, ASTN1, NAV1, PSEN1, RELN, KIAA0319L, DNER, ABI2, CEP85L, CTNNB1, PCM1, LARGE1, NRCAM, FYN, FAT3, PAFAH1B1, ASTN2, RAPGEF2, SH3RF1, DCC, HSP90AA1, NTRK2, CDKL5, SEPTIN4, ABI1, GPM6A, APBB2, ADGRL3, PRKG1, DISC1, NTRK3, TOP2B, RAC1
GO:0048511	rhythmic process	44	0.01835627868168544	2.5894925734794065	1.4385482591913061e-09	8.27918774313625e-07	6.082012269009507	1.7386294260586125e-05	PSPC1, NRIP1, NCOA2, MYCBP2, OGT, NCOR1, CREBBP, DHX9, THRAP3, HNRNPU, USP9X, CLOCK, LGR4, FBXL3, MAPK10, ENOX2, FBXW7, KDM5A, HUWE1, MAGED1, GSK3B, KDM2A, SETX, DDX5, MAPK8, KMT2A, HNRNPD, KAT2B, UBE3A, PRKDC, ENOX1, BTRC, EP300, RORA, CREB1, ROCK2, SFPQ, NLGN1, TOP1, ATG7, DNM1L, PROX1, FBXW11, NR1D2
GO:0050804	modulation of chemical synaptic transmission	35	0.014601585314977055	2.527178581069474	1.3031664590611055e-07	4.375019395614589e-05	4.359020017295447	0.001575006982421252	PTPRD, GRIA4, GRM3, NLGN4X, EPHA7, DLGAP1, ITGB1, BTBD9, RELN, GRM5, DLGAP2, GRID1, PXK, AKAP7, NRG3, NPTN, PRKN, PPP3CA, UBE3A, GRIA1, FYN, PAFAH1B1, JAK2, GRIK2, RPS6KB1, GRIA3, CDKL5, NLGN1, CACNA1B, GRIN2A, LRRC4C, GRID2, RTN4, GRIA2, CDH11
GO:0007264	small GTPase-mediated signal transduction	38	0.015853149770546516	2.4366527811505674	1.7059540129655412e-07	5.286707743769623e-05	4.276814697307464	0.002061816020070153	RAPGEF5, PLD1, RALGPS2, DOCK1, DOCK5, HACD3, RERG, YWHAQ, LIPA, DOCK3, ARHGAP32, DOCK10, ARHGAP12, USO1, RASGRP3, RGL1, CCDC88A, RALGPS1, CHM, TIAM2, RHOBTB1, DOCK7, RAPGEF1, RHOQ, RAPGEF4, RASGEF1B, DOCK4, RAP1B, RAPGEF2, DOCK9, CDC42, TIAM1, RAPGEF6, SOS2, SOS1, RAP1A, DOCK11, RAC1
GO:0007411	axon guidance	53	0.022110972048393827	2.3718623974412463	1.138784217471437e-09	6.881673026179893e-07	6.16230596616718	1.3763346052359787e-05	NEO1, NFASC, KIF5C, CYFIP2, EFNA5, MATN2, MYCBP2, CNTN1, ALCAM, ROBO1, CHL1, UNC5D, FLRT2, LAMA2, EPHA6, NRXN1, KALRN, FEZ2, OPHN1, EPHA7, KIAA1755, SEMA6A, SMAD4, SEMA3B, RELN, PTK2, PTPRJ, ENAH, NPTN, RPS6KA5, NRCAM, CNTN4, TRIO, RYK, FYN, ROBO2, ARHGAP35, ABLIM1, DCC, PTPRO, KLF7, NRXN3, DSCAM, DSCAML1, SLIT2, USP33, KIF5B, APBB2, SEMA6D, SOS1, UNC5C, EXT1, RAC1
GO:0006338	chromatin remodeling	89	0.037129745515227366	2.3457798731031376	7.56012180164427e-15	1.522860534911211e-11	10.817339867965254	9.137163209467265e-11	NSD3, ACTB, DYRK1A, CECR2, IWS1, BICRAL, PAK1, NIPBL, KDM5A, BRD7, USP22, RSF1, SMARCAD1, PWWP2A, SMARCA5, BAZ2B, MIER1, WAC, KDM6A, CHD6, MTA3, TOP1, PRKCB, SF3B1, PSIP1, BPTF, SKP1, ZNF827, ARID2, SMARCC1, RBBP4, KDM2A, MYSM1, RPS6KA5, KAT2B, BAZ1B, EP300, JMJD1C, HMGB1, SETD3, CHD1, BRD4, CHD7, INO80D, RERE, KMT5B, RYBP, CHD2, CLOCK, PKM, UTY, RB1, JARID2, KDM4C, SMARCA2, ARID1A, EYA1, DPF3, ZBTB1, DEK, SETD5, JAK2, HNRNPC, PRDM2, KMT2C, ATR, NFKBIZ, ASH1L, CHD4, MAP3K7, CHD8, YY1, CREBBP, PBRM1, HLTF, HUWE1, PRMT3, PRKDC, ATRX, TP53BP1, NSD1, SFPQ, MLLT10, SS18, ARID1B, ATM, GATAD2B, PRKCA, CFDP1
GO:0030036	actin cytoskeleton organization	64	0.026700041718815185	2.3301443188166	5.4290058702820317e-11	4.374330996548576e-08	7.359088357892848	6.561496494822863e-07	AUTS2, PHACTR3, WASF1, FER, CDC42BPB, SPECC1, ELMO1, DNAJB6, KANK1, ATP2C1, RICTOR, CAPZB, EHBP1, SPTBN1, TBCK, OPHN1, NF1, PAK1, PHACTR4, ARHGEF11, TLN2, DAAM2, ATXN3, MTSS1, DTNBP1, STARD13, FMNL2, SPTAN1, FMN2, ADD1, SPIRE1, ACTR2, PTPN1, MICAL3, ROCK1, RHOQ, DLC1, PIK3CA, LDB3, PAFAH1B1, SHROOM4, SSH2, PDLIM5, FARP2, ROCK2, CDC42BPA, COBL, MRTFA, PHACTR1, SPECC1L, TJP1, EPS8, ARHGEF10, ARHGAP26, CAPZA2, DIAPH2, CDC42, SIPA1L1, MKLN1, TNIK, ABL1, WASL, CAPZA1, RAC1
GO:0006511	ubiquitin-dependent protein catabolic process	69	0.028785982478097622	2.3159222465581975	1.2202850439397499e-11	1.0534546457897012e-08	7.977384157262588	1.4748365041055817e-07	ARIH1, CNOT4, RNF19A, UBE2H, HACE1, TTC3, RC3H2, RNF144A, RNF150, HECW2, RFFL, COP1, FBXL7, UBQLN1, FBXW4, UBE2D3, ATE1, ITCH, RNF217, ATXN3, FBXL4, UBE2R2, KLHL3, CUL3, HUWE1, MDM2, UBR1, CACUL1, BTRC, NDFIP1, TRPC4AP, UBA6, PRKN, ANKIB1, UBR2, UBE2B, UBE2K, RBBP6, UBE3A, RC3H1, FBXO11, TRIP12, CUL1, UCHL1, UBE2G1, RNF13, UBE2D2, UBE4A, FAF1, UBR3, UBE4B, CUL5, RNF130, UBE2G2, HECTD1, MIB1, NDFIP2, UBE3C, WWP1, HERC3, FBXO21, SMURF2, USP33, RNF111, HERC4, FBXW11, NEDD4L, SKP1, UBE2E1
GO:0008104	intracellular protein localization	49	0.020442219440967878	2.3006991891047783	1.6976193462827095e-08	7.599047192286233e-06	5.119240858386768	0.00020517427419172827	SPG11, SEPTIN11, HEATR5B, KIFAP3, PACRG, YWHAE, PARD3B, USP9X, YWHAQ, ARFIP1, AKAP11, C2CD5, AKAP10, NIPBL, CTNNA1, YWHAG, DMD, SEPTIN2, YWHAB, AKAP7, MYO6, LRP4, CPE, CTNNB1, CASK, ELMOD1, YWHAZ, MECP2, NRCAM, AHI1, LARGE1, ANK2, SEPTIN7, VPS54, DLG1, ITSN1, NIN, CDC42, LATS1, SEPTIN4, MOSMO, BBS2, HEATR5A, PHYHIP, CEP128, GRID2, DISC1, PARD3, VPS13A
