GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0001112	Leber optic atrophy	8	0.003337505214851898	6.8739257405089695	1.2059231106278705e-06	5.278864271927193e-05	4.277459504263646	0.012405331039028904	MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ND4L, MT-ATP6
HP:0000576	Centrocecal scotoma	10	0.004171881518564873	6.609543981258625	9.183693522074052e-08	4.82003343171305e-06	5.316949949487676	0.0009447265526157577	MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-CO1, MT-ND2, OPA1, MT-ND5, MT-ND4L, MT-ATP6
HP:0100033	Tics	12	0.0050062578222778474	6.444305381727159	6.979337807005912e-09	4.5730221669216445e-07	6.339796693448005	7.179644802066981e-05	POGZ, ACBD6, ZSWIM6, CHD8, GATAD2B, KMT5B, MAPK1, ZBTB20, ARID2, SPTBN1, FRYL, VPS13A
HP:0032036	Reduced contrast sensitivity	9	0.0037546933667083854	6.444305381727159	6.111379715134807e-07	2.7817594305129097e-05	4.555680430964501	0.006286776312959177	MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-CO1, MT-ND2, MT-ND5, MT-ND4L, MT-ATP6
HP:0007768	Central retinal vessel vascular tortuosity	9	0.0037546933667083854	6.444305381727159	6.111379715134807e-07	2.7817594305129097e-05	4.555680430964501	0.006286776312959177	MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-ND2, MT-ND5, MT-ND4L, NEK1, MT-ATP6
HP:0004309	Ventricular preexcitation	9	0.0037546933667083854	5.948589583132762	1.7795653031721456e-06	7.533493116762083e-05	4.123003604201621	0.01830638827373186	MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-CO1, MT-ND2, MT-ND5, MT-ND4L, MT-ATP6
HP:0200125	Mitochondrial respiratory chain defects	13	0.005423445974134335	5.879015435961619	9.581589933413156e-09	6.160363477813821e-07	6.210393662551196	9.856581564502113e-05	PREPL, PNPT1, MT-CYB, MT-CO3, MT-ND1, MT-ND4, MT-CO1, MT-ND2, MT-ND5, MT-ND4L, CAMKMT, MT-ATP6, PPM1B
HP:0002236	Frontal upsweep of hair	17	0.0070921985815602835	5.4100341476228	3.333270936159947e-10	2.637642932329029e-08	7.57878399689241	3.4289358120277376e-06	CAMTA1, YY1, TCF4, MED27, FBXO11, TRIO, HERC2, OGT, BRD4, CREBBP, EP300, FRMPD4, UBR1, MKRN3, MED13L, FOXP1, POLA1
HP:0040082	Happy demeanor	12	0.0050062578222778474	4.909946957506407	6.418647571930043e-07	2.8936576894508335e-05	4.538552845841539	0.006602862757244435	ZSWIM6, ASXL1, ADNP, UBE3A, TCF4, DYRK1A, WDR26, HNRNPC, SNRPN, GRIK2, ZEB2, HDAC8
HP:0000692	Tooth malposition	14	0.005840634125990822	4.455322239218777	3.686248385226882e-07	1.7629243924131202e-05	4.753766313147014	0.0037920437138828935	ANKH, RAB3GAP1, MAP3K7, TCF4, RIC1, BCAS3, FBN1, SMCHD1, ZEB2, BPTF, USP9X, RAB3GAP2, CA2, CNOT2
HP:0011229	Broad eyebrow	14	0.005840634125990822	4.2962035878181055	6.581422140544153e-07	2.9436125895555524e-05	4.531119348305164	0.00677030895597777	RERE, CHD1, FRA10AC1, FBXO11, MAPK1, ACTB, EP300, CREBBP, BPTF, SPTBN1, POLA1, HERC1, ZEB2, SON
HP:0002883	Hyperventilation	17	0.0070921985815602835	4.2962035878181055	4.119794919162848e-08	2.278512383517646e-06	5.642348606722188	0.0004238033033342822	GABRB3, CDKL5, BTD, CAMK2B, SYT1, MT-ND4, MT-ND1, MT-ND2, TCF4, TLK2, CPLANE1, MT-ND5, HLCS, CNTNAP2, MT-ATP6, MT-ND3, NRXN1
HP:0003763	Bruxism	19	0.007926574885273258	4.081393408427201	1.9281821649390908e-08	1.1399545937200244e-06	5.943112446987708	0.00019835209930728427	TRAPPC9, MBD5, CACNA2D1, SPTBN1, ZEB2, ITPR1, CAMK2B, ANK3, HNRNPK, ADNP, MECP2, HTT, GRIN1, CDKL5, CACNA1B, ATG7, MYT1L, CERT1, VPS13A
HP:0032792	Tonic seizure	39	0.016270337922403004	4.037396142768823	1.1162479089916061e-15	2.0505075428208308e-13	12.6881386288152	1.1482842239796652e-11	CLCN3, TBL1XR1, ST3GAL3, PSAP, SCN1A, CHD2, FGF12, CNTNAP2, PLCB1, HNRNPU, ATP6V0C, SLC25A12, DMXL2, CUL3, PPFIBP1, ARHGEF9, DOCK7, SYNJ1, NAPB, CEP85L, PPP3CA, ADNP, MECP2, DENND5A, ALG13, SCN8A, SCN2A, VPS53, GRIK2, GNB1, ATP6V1A, CACNA1B, NSF, KCNQ5, ARFGEF1, GLUL, GRIA2, PHACTR1, ATP6V0A1
HP:0002263	Exaggerated cupid's bow	19	0.007926574885273258	3.981847227733854	3.201399947994965e-08	1.799606626504055e-06	5.744822416346187	0.000329328012650242	DNMT3A, CLCN3, ZMIZ1, CHD8, HNRNPU, TBCK, JARID2, SMARCA2, HNRNPK, ZNF462, KMT2A, TRIP12, SLC1A3, MED27, NRCAM, SCN2A, EXOC2, POGZ, MYT1L
HP:0007270	Atypical absence seizure	16	0.006675010429703796	3.818847633616094	7.970442819811516e-07	3.549434860926453e-05	4.449840789570052	0.008199194528740105	GABRB3, CACNB4, CEP85L, PPP3CA, UBE3A, FRRS1L, PAFAH1B1, GRIN2A, KCNMA1, CHD2, SCN1A, HNRNPU, SCN2A, ZEB2, EIF4A2, MAPK10
