term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
RAD001_HCC515_6H_H16_camptothecin_1.11uM down	f6438e32-5f56-452e-8fce-86a581f292f6	250	[{'approved': False, 'count': 1210}]	be474992-3f27-5b7c-b555-0afc858383eb	4.666103972814984e-45	7.828812576108844e-39	3.333529411764706	135	6H	camptothecin	DB04690
RAD001_HCC515_6H_H14_camptothecin_10uM down	1c62885e-1672-41e9-86a0-d0eb3c2965ca	250	[{'approved': False, 'count': 1210}]	6e28c5c2-38dd-579d-b186-7c4e97b16d16	1.3644697593260842e-42	1.1446570922730504e-36	3.2594509803921565	132	6H	camptothecin	DB04690
RAD001_HCC515_6H_H15_camptothecin_3.33uM down	47d7618c-fba9-42e9-b71d-f9f446e3cac1	250	[{'approved': False, 'count': 1210}]	b16b5d8c-d32d-5602-844d-25ca331c41f9	3.4229897679395245e-40	1.9143697825325912e-34	3.185372549019608	129	6H	camptothecin	DB04690
ASG003_U2OS_6H_H19_camptothecin_10uM down	43d2a117-494d-468d-9965-521d2c43ba80	250	[{'approved': False, 'count': 1210}]	9916bbca-9af3-5157-b520-6ee01ea2897b	1.2506322231173984e-38	4.196633994214973e-33	3.1359869281045754	127	6H	camptothecin	DB04690
ASG003_MCF7_6H_H19_camptothecin_10uM down	7a1a6a48-cec2-4d71-bb63-cbcedf526c12	250	[{'approved': False, 'count': 1210}]	cdef1f75-8f93-539d-861c-87a270e1c135	1.2506322231173984e-38	4.196633994214973e-33	3.1359869281045754	127	6H	camptothecin	DB04690
CEGS002_HIMG002_24H_H22_topotecan_3.33uM down	6b83b8bf-9db2-4a60-a31c-a5452b2d94f9	250	[{'approved': True, 'count': 310}]	b0635cc2-8361-5dce-a690-542e5c093fce	2.4318139006470568e-36	5.828727887964478e-31	3.0619084967320265	124	24H	topotecan	DB01030
CEGS002_HIMG001_24H_H22_topotecan_3.33uM down	895675bb-dea1-4784-a141-e4d00c54bee8	250	[{'approved': True, 'count': 310}]	108e3496-ee2b-5035-bac2-19027536a19d	4.058982865772302e-34	7.566868607896775e-29	2.987830065359477	121	24H	topotecan	DB01030
ASG003_A549_6H_H19_camptothecin_10uM down	0f4ad4d5-0190-4f06-9298-30282cda8275	250	[{'approved': False, 'count': 1210}]	f546d739-7984-5f3b-b85a-f9736e4f998c	4.058982865772302e-34	7.566868607896775e-29	2.987830065359477	121	6H	camptothecin	DB04690
DPK.CP003_PC3_24H_P04_RITA_10uM down	47815621-1242-4001-9d16-92366a3b1c60	250	[{'approved': True, 'count': 910}]	92ee6bd8-a604-52dd-8c1f-f989b97f18fa	2.1602622124624462e-33	3.294998855800504e-28	2.963137254901961	120	24H	RITA	DB04911
ASG003_U2OS_6H_H20_camptothecin_1.11uM down	10a07d1e-955a-47b3-aa96-87a3c6c7ddbb	250	[{'approved': False, 'count': 1210}]	2c98d49a-1cdf-541c-8746-b29b5ad8cd38	5.815135157795265e-32	5.739213437308638e-27	2.9137516339869283	118	6H	camptothecin	DB04690
TAA001_SKNSH_24H_I19_withaferin-a_10uM down	4fe137b3-c6a2-4830-a967-b707934dcc46	250	[{'approved': False, 'count': 1816}]	ed94b15c-0341-516f-94cb-86e6fd19d4d0	5.815135157795265e-32	5.739213437308638e-27	2.9137516339869283	118	24H	withaferin-a	DB14450
CEGS002_HIMG001_24H_H24_topotecan_0.74uM down	1a7effde-39ee-4abb-afa4-d0dddd3113ac	250	[{'approved': True, 'count': 310}]	ee773c97-61cd-5208-8245-be52548d9759	5.815135157795265e-32	5.739213437308638e-27	2.9137516339869283	118	24H	topotecan	DB01030
KTOX002_HPTEC_6H_H10_camptothecin_1.11uM down	613625f7-ac3e-42ec-bfb0-02a4db359d1c	250	[{'approved': False, 'count': 1210}]	30e74ee8-b1bf-558b-9870-f51be9446baa	2.9411404474975105e-31	2.741477860285311e-26	2.8890588235294117	117	6H	camptothecin	DB04690
ASG003_XC.P915_24H_F17_idarubicin_1.11uM down	9bffe9f2-bea4-4549-a319-a04e3b40df41	250	[{'approved': True, 'count': 758}]	63a25a60-abf1-53fd-8897-ddcc282c95cb	1.4624613546982931e-30	1.1684404634378904e-25	2.8643660130718955	116	24H	idarubicin	DB01177
RAD001_HCC515_6H_H17_camptothecin_0.37uM down	55566f6d-815e-43d9-a21b-90b5e9dcc842	250	[{'approved': False, 'count': 1210}]	972095a3-2c86-51bb-a47a-affbfe4a6162	7.149234373928673e-30	4.613469684134383e-25	2.839673202614379	115	6H	camptothecin	DB04690
PAC019_U2OS_6H_G03_valproic-acid_20uM up	78f0c61d-ba8a-43ff-9a67-bb69b6c99e02	250	[{'approved': True, 'count': 1088}]	cfae34b6-d8a3-5d11-8e81-bf1468f4f441	7.149234373928673e-30	4.613469684134383e-25	2.839673202614379	115	6H	valproic-acid	DB00313
RAD001_A549_6H_H15_camptothecin_3.33uM down	f73ea0af-1f18-4359-a9b8-1a8864167ad1	250	[{'approved': False, 'count': 1210}]	4421e12f-5f1b-596e-8fb6-b3fdbb8422c2	1.6233057470601022e-28	9.078634996487249e-24	2.7902875816993467	113	6H	camptothecin	DB04690
CEGS002_HIMG001_24H_H20_topotecan_12.5uM down	75eb0de7-555d-47f3-9837-296ce93e92e3	250	[{'approved': True, 'count': 310}]	2ce102cf-b8b9-5f8b-9f13-de918dc9b045	7.539618196657415e-28	3.7205909142478806e-23	2.76559477124183	112	24H	topotecan	DB01030
CEGS002_HIMG002_24H_H20_topotecan_12.5uM down	782f41e3-36b8-4774-8732-e365ece97870	250	[{'approved': True, 'count': 310}]	99647be6-4081-5af0-8b0b-16dfe1963702	3.442481533559845e-27	1.561030467409291e-22	2.740901960784314	111	24H	topotecan	DB01030
CPD001_PC3_24H_H21_camptothecin_10uM down	930a2206-3df7-475c-85b1-2e4bb91d6bc1	250	[{'approved': False, 'count': 1210}]	2e2e7f90-4fef-5f10-ac62-bad85b47260c	1.5451002164193436e-26	6.480942171523642e-22	2.7162091503267973	110	24H	camptothecin	DB04690
CEGS002_HIMG002_24H_H23_topotecan_1.67uM down	57a641fc-ef6f-442e-97ba-28dab96799b8	250	[{'approved': True, 'count': 310}]	975eaed4-a7b1-59b2-882b-8dcd0e749bf2	6.816997207993703e-26	2.433530212884654e-21	2.691516339869281	109	24H	topotecan	DB01030
ASG003_A549_6H_H20_camptothecin_1.11uM down	dd74321e-38f5-41ef-94b2-a795d8a86c21	250	[{'approved': False, 'count': 1210}]	28862920-f748-5a16-9a87-c160cd068589	6.816997207993703e-26	2.433530212884654e-21	2.691516339869281	109	6H	camptothecin	DB04690
CEGS001_NPC.179_24H_H19_topotecan_25uM down	4059d42a-7ad9-4376-9d91-6250157949f8	250	[{'approved': True, 'count': 310}]	0fffd986-3896-5a45-a057-3e6d8a84fbe5	6.816997207993703e-26	2.433530212884654e-21	2.691516339869281	109	24H	topotecan	DB01030
CEGS002_HIMG001_24H_H23_topotecan_1.67uM down	d8a019d4-4beb-4289-8405-5c80cb8b4e43	250	[{'approved': True, 'count': 310}]	a46a38e1-a2dd-556e-ac3d-0d362d69ccf0	6.816997207993703e-26	2.433530212884654e-21	2.691516339869281	109	24H	topotecan	DB01030
RAD001_A549_6H_H17_camptothecin_0.37uM down	71819d69-9cd6-4c8d-b9b8-a3cdcbe3bb6c	250	[{'approved': False, 'count': 1210}]	a93d891a-efb1-588b-8cf3-2ae53a7f7b82	2.9564380995739876e-25	9.359106840859876e-21	2.6668235294117646	108	6H	camptothecin	DB04690
RAD001_HCC515_6H_H18_camptothecin_0.125uM down	a985252a-4207-41c1-98fa-ec8550eb3912	250	[{'approved': False, 'count': 1210}]	33b3437c-7025-5ac3-a009-a43a063f7bc6	2.9564380995739876e-25	9.359106840859876e-21	2.6668235294117646	108	6H	camptothecin	DB04690
PBIOA022_HCC515_24H_D19_topotecan_10uM down	d85b13a3-897c-422c-adea-f9aae2b0677f	250	[{'approved': True, 'count': 310}]	bd19ff0a-93fa-563c-8157-8b4b34f736ab	2.9564380995739876e-25	9.359106840859876e-21	2.6668235294117646	108	24H	topotecan	DB01030
PBIOA022_HT29_24H_D20_topotecan_3.33uM down	3618e9e9-7928-4bfd-89fb-9486fed56aab	250	[{'approved': True, 'count': 310}]	45a2822d-6fc5-5e89-99c5-73f85c9130d9	1.2602902471362432e-24	3.9157801446230085e-20	2.6421307189542484	107	24H	topotecan	DB01030
CEGS002_HIMG001_24H_H21_topotecan_6.66uM down	28e4ff2a-6c23-4cc2-b26b-65d985c5162b	250	[{'approved': True, 'count': 310}]	ac1e352c-f953-5ced-a45f-f17ed7677bbe	5.2806146981901666e-24	1.4524330727372052e-19	2.617437908496732	106	24H	topotecan	DB01030
CPC002_HA1E_24H_J12_camptothecin_10uM down	910e4ef6-968b-4fee-abd3-b9679bed8569	250	[{'approved': False, 'count': 1210}]	9f450d79-b9e4-5e3f-b558-3b2504099b79	5.2806146981901666e-24	1.4524330727372052e-19	2.617437908496732	106	24H	camptothecin	DB04690
CPC006_SW620_6H_L23_SN-38_0.37uM down	70778a4c-fecf-477f-a402-9aa8d4eae085	250	[{'approved': False, 'count': 518}]	26769613-39e3-5c0f-bfd9-ee43ba6d29b9	5.2806146981901666e-24	1.4524330727372052e-19	2.617437908496732	106	6H	SN-38	DB02515
ASG002_RCC10RGB_24H_H07_camptothecin_10uM down	596c097f-ec61-4af1-a9f8-84b60ffb1fcb	250	[{'approved': False, 'count': 1210}]	ebbb9977-0fb2-5120-8de7-6d8e1e2ff2b7	5.2806146981901666e-24	1.4524330727372052e-19	2.617437908496732	106	24H	camptothecin	DB04690
FIBR002_MCLF117SZ_6H_P04_PP-110_4uM up	97ef2e12-cfd0-496c-980f-2ed0d165d25d	250	[{'approved': False, 'count': 272}]	5e7444c9-ef02-5f96-8d32-f16b4bd2f83c	5.2806146981901666e-24	1.4524330727372052e-19	2.617437908496732	106	6H	PP-110	DB08052
DOSVAL005_HA1E_24H_O05_withaferin-a_10uM down	04dea454-7b06-4128-ab73-7b8c405a711c	250	[{'approved': False, 'count': 1816}]	6da0bf58-6966-5b24-abfc-969b2041f937	2.1746812792173505e-23	5.139001582644038e-19	2.5927450980392157	105	24H	withaferin-a	DB14450
ASG003_XC.P914_24H_H19_camptothecin_10uM down	b14c998f-cea5-40d8-8348-b9d5f328b952	250	[{'approved': False, 'count': 1210}]	8f310863-3795-5ceb-a5a9-3c55af6d28d8	2.1746812792173505e-23	5.139001582644038e-19	2.5927450980392157	105	24H	camptothecin	DB04690
ERG005_VCAP_6H_C03_withaferin-a_20uM down	0617ae5e-6c4e-452e-95ec-2d553aaf6df3	250	[{'approved': False, 'count': 1816}]	2f4c1121-f3dd-5652-9963-ee0b4af57954	2.1746812792173505e-23	5.139001582644038e-19	2.5927450980392157	105	6H	withaferin-a	DB14450
CPC016_A549_6H_O10_camptothecin_10uM down	2ed706d8-5901-4270-b550-e815dcf5a0a5	250	[{'approved': False, 'count': 1210}]	f27d8650-c140-5122-8062-fb5d6a675785	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	6H	camptothecin	DB04690
ASG003_U2OS_24H_H19_camptothecin_10uM down	2ffbb290-d2d7-4967-8f39-23f3d457664a	250	[{'approved': False, 'count': 1210}]	ea149fed-8bc4-5705-8c11-d1f2ced26aeb	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	camptothecin	DB04690
ERG005_VCAP_6H_D02_wortmannin_4uM up	0364fa7f-44ff-4e47-b66a-a079af413ae2	250	[{'approved': False, 'count': 3340}]	28a95703-20b0-5119-b38d-9fda0f5b20f0	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	6H	wortmannin	DB08059
AICHI001_OCILY19_4H_B21_trametinib_0.66uM up	db6e81c3-1ce1-490d-b37f-1593d5605cf7	250	[{'approved': True, 'count': 1552}]	6df44efb-848d-5db3-b46a-4b56e97e7f5f	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	4H	trametinib	DB08911
ASG002_BC3C_24H_P20_idarubicin_1.11uM down	ac0bd73e-46aa-45ae-bbbb-c904bb5af39f	250	[{'approved': True, 'count': 758}]	37f23942-7ff5-582e-9457-d23558da5eba	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	idarubicin	DB01177
NMH002_NEU_24H_L09_plumbagin_10uM down	0b1cf67c-38c2-48cd-a23b-f2b2f6810a7a	250	[{'approved': False, 'count': 12}]	41f26ea2-0ff4-5a5d-9d34-068c2bfa9387	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	plumbagin	DB10560
ASG003_XC.P935_24H_H19_camptothecin_10uM down	a66be985-a8b4-424a-87ea-c3831c673706	250	[{'approved': False, 'count': 1210}]	acd18b8d-9486-51d4-a9ac-cbef7eacbd9e	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	camptothecin	DB04690
REP.A013_HELA_24H_D07_camptothecin_10uM down	962574a7-4d82-4389-9873-5992438f92e3	250	[{'approved': False, 'count': 1210}]	44d9c4fa-94df-58a2-9b32-a9ab3419c640	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	camptothecin	DB04690
REP.B009_THP1_24H_O16_cimetidine_0.08uM up	be93bfc4-5298-4d7d-8174-cd0399dda99a	250	[{'approved': True, 'count': 566}]	0f6929eb-ba7b-5f09-bb89-b115f563a0a4	8.802138299821157e-23	1.6975024885208549e-18	2.568052287581699	104	24H	cimetidine	DB00501
