ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB05134	Topotecan	Tanespimycin	1.0	L		False	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB00762	DB06075	Irinotecan	Linsitinib	1.0	L		False	False
DB01030	DB06075	Topotecan	Linsitinib	1.0	L		False	False
DB08877	DB07374	Ruxolitinib	Anisomycin	1.0	L		False	False
DB08877	DB01092	Ruxolitinib	Ouabain	1.0	L	C	False	False
DB00762	DB01092	Irinotecan	Ouabain	1.0	L	C	False	False
DB00762	DB05134	Irinotecan	Tanespimycin	1.0	L		False	False
DB00762	DB06070	Irinotecan	SNX-5422	1.0	L		False	False
DB00762	DB00824	Irinotecan	Enprofylline	1.0	L		False	False
DB00694	DB00824	Daunorubicin	Enprofylline	1.0	L		False	False
DB00694	DB08877	Daunorubicin	Ruxolitinib	1.0	L	L	False	False
DB00694	DB06075	Daunorubicin	Linsitinib	1.0	L		False	False
DB01092	DB06070	Ouabain	SNX-5422	1.0	C		False	False
DB01092	DB05134	Ouabain	Tanespimycin	1.0	C		False	False
DB00694	DB01092	Daunorubicin	Ouabain	1.0	L	C	False	False
DB00694	DB05134	Daunorubicin	Tanespimycin	1.0	L		False	False
DB00694	DB03496	Daunorubicin	Alvocidib	1.0	L		False	False
DB01030	DB00824	Topotecan	Enprofylline	1.0	L		False	False
DB00694	DB06070	Daunorubicin	SNX-5422	1.0	L		False	False
DB06075	DB01092	Linsitinib	Ouabain	1.0		C	False	False
DB01092	DB07374	Ouabain	Anisomycin	1.0	C		False	False
DB01030	DB06070	Topotecan	SNX-5422	1.0	L		False	False
DB00694	DB01198	Daunorubicin	Zopiclone	0.9857142857142855	L	N	False	False
DB00694	DB00458	Daunorubicin	Imipramine	0.963141025641026	L	N	False	False
DB00694	DB00398	Daunorubicin	Sorafenib	0.9333333333333336	L	L	False	False
DB00762	DB02546	Irinotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB00694	DB01115	Daunorubicin	Nifedipine	0.8875000000000002	L	C	False	False
DB00458	DB00762	Imipramine	Irinotecan	0.8862179487179489	N	L	False	False
DB01030	DB00458	Topotecan	Imipramine	0.8862179487179489	L	N	False	False
DB00458	DB06075	Imipramine	Linsitinib	0.8862179487179489	N		False	False
DB08059	DB05134	Wortmannin	Tanespimycin	0.875			False	False
DB08059	DB00762	Wortmannin	Irinotecan	0.875		L	True	False
DB08059	DB06070	Wortmannin	SNX-5422	0.875			False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB08059	DB01092	Wortmannin	Ouabain	0.875		C	False	False
DB06075	DB07374	Linsitinib	Anisomycin	0.8666666666666667			False	False
DB00694	DB07374	Daunorubicin	Anisomycin	0.8666666666666667	L		False	False
DB00762	DB07374	Irinotecan	Anisomycin	0.8666666666666667	L		False	False
DB01030	DB07374	Topotecan	Anisomycin	0.8666666666666667	L		False	False
DB01030	DB00398	Topotecan	Sorafenib	0.8500000000000001	L	L	False	False
DB01092	DB00398	Ouabain	Sorafenib	0.8500000000000001	C	L	False	False
DB08877	DB00824	Ruxolitinib	Enprofylline	0.8500000000000001	L		False	False
DB00762	DB00398	Irinotecan	Sorafenib	0.8500000000000001	L	L	True	False
DB07374	DB00398	Anisomycin	Sorafenib	0.8500000000000001		L	False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB02424	DB00762	Geldanamycin	Irinotecan	0.8333333333333335		L	False	False
DB02424	DB00694	Geldanamycin	Daunorubicin	0.8333333333333335		L	False	False
DB02424	DB01092	Geldanamycin	Ouabain	0.8333333333333335		C	False	False
DB00458	DB01198	Imipramine	Zopiclone	0.8156609195402296	N	N	False	False
DB00694	DB08912	Daunorubicin	Dabrafenib	0.8	L	L	False	False
DB01030	DB08912	Topotecan	Dabrafenib	0.8	L	L	False	False
DB08912	DB00762	Dabrafenib	Irinotecan	0.8	L	L	False	False
DB00458	DB01092	Imipramine	Ouabain	0.7708333333333335	N	C	False	False
DB08059	DB07374	Wortmannin	Anisomycin	0.7573529411764706			False	False
DB05134	DB00824	Tanespimycin	Enprofylline	0.75			False	False
DB07374	DB00824	Anisomycin	Enprofylline	0.75			False	False
DB01030	DB01782	Topotecan	Pyrazolanthrone	0.75	L		False	False
DB01782	DB00762	Pyrazolanthrone	Irinotecan	0.75		L	False	False
DB06070	DB00824	SNX-5422	Enprofylline	0.75			False	False
DB06075	DB00824	Linsitinib	Enprofylline	0.75			False	False
DB01782	DB06075	Pyrazolanthrone	Linsitinib	0.75			False	False
DB01782	DB08877	Pyrazolanthrone	Ruxolitinib	0.75		L	False	False
DB01782	DB00694	Pyrazolanthrone	Daunorubicin	0.75		L	False	False
DB01782	DB01092	Pyrazolanthrone	Ouabain	0.75		C	False	False
DB01782	DB07374	Pyrazolanthrone	Anisomycin	0.75			False	False
DB01645	DB00824	Genistein	Enprofylline	0.7257085020242917			False	False
DB00762	DB01645	Irinotecan	Genistein	0.7230769230769232	L		False	False
DB01030	DB01645	Topotecan	Genistein	0.7230769230769232	L		False	False
DB00313	DB08877	Valproic acid	Ruxolitinib	0.7222222222222223	N	L	False	False
DB00313	DB06075	Valproic acid	Linsitinib	0.7222222222222223	N		False	False
DB03496	DB01092	Alvocidib	Ouabain	0.7142857142857142		C	False	False
DB08059	DB02424	Wortmannin	Geldanamycin	0.7083333333333335			False	False
DB00694	DB08080	Daunorubicin	Latrunculin B	0.7000000000000002	L		False	False
DB01198	DB05134	Zopiclone	Tanespimycin	0.7	N		False	False
DB01198	DB01092	Zopiclone	Ouabain	0.7	N	C	False	False
DB01198	DB06070	Zopiclone	SNX-5422	0.7	N		False	False
DB01198	DB07374	Zopiclone	Anisomycin	0.7	N		False	False
DB01198	DB08877	Zopiclone	Ruxolitinib	0.7	N	L	False	False
DB01198	DB06075	Zopiclone	Linsitinib	0.7	N		False	False
DB01030	DB01198	Topotecan	Zopiclone	0.7	L	N	False	False
DB00762	DB01198	Irinotecan	Zopiclone	0.7	L	N	False	False
DB00458	DB08877	Imipramine	Ruxolitinib	0.6994047619047621	N	L	False	False
DB00458	DB01645	Imipramine	Genistein	0.6939102564102564	N		False	False
DB03496	DB06075	Alvocidib	Linsitinib	0.6923076923076923			False	False
DB08912	DB07374	Dabrafenib	Anisomycin	0.6888888888888889	L		False	False
DB01115	DB00762	Nifedipine	Irinotecan	0.6875	C	L	False	False
DB01115	DB01092	Nifedipine	Ouabain	0.6875	C	C	False	False
DB01030	DB01115	Topotecan	Nifedipine	0.6875	L	C	False	False
DB00273	DB00762	Topiramate	Irinotecan	0.6818181818181817	N	L	False	False
DB00273	DB00694	Topiramate	Daunorubicin	0.6818181818181817	N	L	False	False
DB01030	DB00273	Topotecan	Topiramate	0.6818181818181817	L	N	False	False
DB00273	DB06075	Topiramate	Linsitinib	0.6818181818181817	N		False	False
DB01198	DB01645	Zopiclone	Genistein	0.6786324786324784	N		False	False
DB08877	DB02546	Ruxolitinib	Vorinostat	0.6777777777777776	L	L	True	False
DB02546	DB07374	Vorinostat	Anisomycin	0.6777777777777776	L		False	False
DB01645	DB01092	Genistein	Ouabain	0.6730769230769231		C	False	False
DB00458	DB02546	Imipramine	Vorinostat	0.6708333333333334	N	L	True	False
DB05134	DB07374	Tanespimycin	Anisomycin	0.6666666666666667			False	False
DB06070	DB07374	SNX-5422	Anisomycin	0.6666666666666667			False	False
DB00762	DB08877	Irinotecan	Ruxolitinib	0.6666666666666667	L	L	True	False
DB01030	DB08877	Topotecan	Ruxolitinib	0.6666666666666667	L	L	True	False
DB00197	DB00762	Troglitazone	Irinotecan	0.6666666666666665	A	L	False	False
DB00197	DB07374	Troglitazone	Anisomycin	0.6666666666666665	A		False	False
DB00762	DB00480	Irinotecan	Lenalidomide	0.6666666666666665	L	L	True	False
DB00197	DB08877	Troglitazone	Ruxolitinib	0.6666666666666665	A	L	False	False
DB00197	DB01092	Troglitazone	Ouabain	0.6666666666666665	A	C	False	False
DB00197	DB06075	Troglitazone	Linsitinib	0.6666666666666665	A		False	False
DB01030	DB00480	Topotecan	Lenalidomide	0.6666666666666665	L	L	True	False
DB01030	DB00197	Topotecan	Troglitazone	0.6666666666666665	L	A	False	False
DB00458	DB07374	Imipramine	Anisomycin	0.6627252252252254	N		False	False
DB01092	DB02546	Ouabain	Vorinostat	0.6499999999999999	C	L	False	False
DB02546	DB00824	Vorinostat	Enprofylline	0.6499999999999999	L		False	False
DB08059	DB00458	Wortmannin	Imipramine	0.6458333333333335		N	False	False
DB00694	DB00482	Daunorubicin	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB00482	DB00762	Celecoxib	Irinotecan	0.6428571428571428	C, L, G, M	L	False	False
DB01030	DB00482	Topotecan	Celecoxib	0.6428571428571428	L	C, L, G, M	False	False
DB08912	DB00824	Dabrafenib	Enprofylline	0.6409090909090909	L		False	False
DB03496	DB00824	Alvocidib	Enprofylline	0.6323529411764706			False	False
DB01645	DB08877	Genistein	Ruxolitinib	0.6289592760180995		L	False	False
DB08059	DB00824	Wortmannin	Enprofylline	0.625			False	False
DB02546	DB00398	Vorinostat	Sorafenib	0.6166666666666667	L	L	True	False
DB00482	DB00824	Celecoxib	Enprofylline	0.6136363636363638	C, L, G, M		False	False
DB00783	DB00824	Estradiol	Enprofylline	0.6126373626373627	G		False	False
DB01115	DB08877	Nifedipine	Ruxolitinib	0.6041666666666667	C	L	False	False
DB00783	DB08877	Estradiol	Ruxolitinib	0.6038961038961037	G	L	False	False
DB00398	DB00824	Sorafenib	Enprofylline	0.6000000000000001	L		False	False
DB08912	DB01198	Dabrafenib	Zopiclone	0.6000000000000001	L	N	False	False
DB01198	DB02546	Zopiclone	Vorinostat	0.6000000000000001	N	L	False	False
DB00458	DB03496	Imipramine	Alvocidib	0.599404761904762	N		False	False
DB06075	DB01645	Linsitinib	Genistein	0.5897435897435899			False	False
DB01115	DB02546	Nifedipine	Vorinostat	0.5874999999999999	C	L	True	False
DB01115	DB06075	Nifedipine	Linsitinib	0.5874999999999999	C		False	False
DB00313	DB07374	Valproic acid	Anisomycin	0.5858585858585859	N		False	False
DB00783	DB01092	Estradiol	Ouabain	0.5857142857142856	G	C	False	False
DB00273	DB00824	Topiramate	Enprofylline	0.5833333333333335	N		False	False
DB02424	DB00824	Geldanamycin	Enprofylline	0.5833333333333335			False	False
DB00273	DB08877	Topiramate	Ruxolitinib	0.5769230769230771	N	L	False	False
DB08912	DB00458	Dabrafenib	Imipramine	0.5708333333333333	L	N	False	False
DB00783	DB01198	Estradiol	Zopiclone	0.5690476190476192	G	N	False	False
DB00783	DB00762	Estradiol	Irinotecan	0.5634920634920633	G	L	False	False
DB01030	DB00783	Topotecan	Estradiol	0.5634920634920633	L	G	False	False
DB00783	DB00458	Estradiol	Imipramine	0.5565476190476191	G	N	False	False
DB08912	DB01645	Dabrafenib	Genistein	0.5564102564102564	L		False	False
DB00313	DB01092	Valproic acid	Ouabain	0.5555555555555556	N	C	False	False
DB08912	DB01092	Dabrafenib	Ouabain	0.55	L	C	False	False
DB01198	DB00398	Zopiclone	Sorafenib	0.5499999999999998	N	L	False	False
DB01115	DB07374	Nifedipine	Anisomycin	0.5446428571428572	C		False	False
DB08059	DB00694	Wortmannin	Daunorubicin	0.5416666666666667		L	True	False
DB08059	DB00197	Wortmannin	Troglitazone	0.5416666666666665		A	False	False
DB01115	DB01198	Nifedipine	Zopiclone	0.5413461538461537	C	N	False	False
DB00313	DB00762	Valproic acid	Irinotecan	0.5404040404040404	N	L	True	False
DB01030	DB00313	Topotecan	Valproic acid	0.5404040404040404	L	N	False	False
DB00458	DB06070	Imipramine	SNX-5422	0.5400641025641026	N		False	False
DB00458	DB05134	Imipramine	Tanespimycin	0.5400641025641026	N		False	False
DB03496	DB08877	Alvocidib	Ruxolitinib	0.5333333333333334		L	False	False
DB01092	DB00824	Ouabain	Enprofylline	0.5277777777777777	C		False	False
