# Reference distribution mean: 0.5009493821059933 and standard deviation: 1.5896360248491088
# Threshold: 0.49
# 19.48% of reference distribution below threshold, 21.97% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB05938	-7.859026979751538	-5.259050645037486	Edonerpic
DB05846	-7.859026979751538	-5.259050645037486	Mito-4509
DB02235	-7.859026979751538	-5.259050645037486	L-methionine (R)-S-oxide
DB05150	-7.859026979751538	-5.259050645037486	CAD106
DB03754	-7.859026979751538	-5.259050645037486	Tromethamine
DB05088	-7.859026979751538	-5.259050645037486	Tetrathiomolybdate
DB00746	-7.859026979751538	-5.259050645037486	Deferoxamine
DB09149	-7.859026979751538	-5.259050645037486	Florbetapir (18F)
DB12274	-7.859026979751538	-5.259050645037486	Aducanumab
DB09148	-7.859026979751538	-5.259050645037486	Florbetaben (18F)
DB09151	-7.859026979751538	-5.259050645037486	Flutemetamol (18F)
DB06782	-7.859026979751538	-5.259050645037486	Dimercaprol
DB11942	-7.247792581767846	-4.874538474685967	Selinexor
DB02623	-7.177782416195197	-4.830496842212713	Aminophosphonic acid-guanylate ester
DB02359	-7.00397413672268	-4.721158429673267	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB08197	-7.00397413672268	-4.721158429673267	(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin-5(6H)-one oxime
DB02550	-7.00397413672268	-4.721158429673267	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB07601	-7.00397413672268	-4.721158429673267	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB04588	-7.00397413672268	-4.721158429673267	N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB07495	-7.00397413672268	-4.721158429673267	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE
DB07502	-7.00397413672268	-4.721158429673267	4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol
DB07319	-7.00397413672268	-4.721158429673267	6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE
DB07324	-7.00397413672268	-4.721158429673267	3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE
DB07325	-7.00397413672268	-4.721158429673267	N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE
DB07317	-7.00397413672268	-4.721158429673267	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB02840	-7.00397413672268	-4.721158429673267	4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid
DB03899	-7.00397413672268	-4.721158429673267	9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine
DB07100	-7.00397413672268	-4.721158429673267	4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06956	-7.00397413672268	-4.721158429673267	N-(4-ACETYLPHENYL)-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE
DB06957	-7.00397413672268	-4.721158429673267	4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL
DB06958	-7.00397413672268	-4.721158429673267	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-PIPERAZIN-1-YL-1H-PYRAZOLE-3-CARBOXAMIDE
DB03809	-7.00397413672268	-4.721158429673267	9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine
DB08786	-7.00397413672268	-4.721158429673267	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB08787	-7.00397413672268	-4.721158429673267	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08788	-7.00397413672268	-4.721158429673267	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
DB08789	-7.00397413672268	-4.721158429673267	2-AMINO-4-(2,4-DICHLOROPHENYL)-N-ETHYLTHIENO[2,3-D]PYRIMIDINE-6-CARBOXAMIDE
DB04054	-7.00397413672268	-4.721158429673267	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB06961	-7.00397413672268	-4.721158429673267	5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide
DB12442	-7.00397413672268	-4.721158429673267	Alvespimycin
DB06969	-7.00397413672268	-4.721158429673267	2-amino-4-[2,4-dichloro-5-(2-pyrrolidin-1-ylethoxy)phenyl]-N-ethylthieno[2,3-d]pyrimidine-6-carboxamide
DB03093	-7.00397413672268	-4.721158429673267	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB03749	-7.00397413672268	-4.721158429673267	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB08557	-7.00397413672268	-4.721158429673267	2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide
DB06964	-7.00397413672268	-4.721158429673267	5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE
DB03137	-7.00397413672268	-4.721158429673267	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB08442	-7.00397413672268	-4.721158429673267	4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol
DB04505	-7.00397413672268	-4.721158429673267	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB08443	-7.00397413672268	-4.721158429673267	2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol
DB08436	-7.00397413672268	-4.721158429673267	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-
DB04254	-7.00397413672268	-4.721158429673267	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB08194	-7.00397413672268	-4.721158429673267	4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine
DB03504	-7.00397413672268	-4.721158429673267	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB00993	-6.953684210870537	-4.68952230349972	Azathioprine
DB13158	-6.9411900550683745	-4.681662544657535	Clobetasone
DB00596	-6.9411900550683745	-4.681662544657535	Ulobetasol
DB00223	-6.9411900550683745	-4.681662544657535	Diflorasone
DB00240	-6.9411900550683745	-4.681662544657535	Alclometasone
DB11921	-6.9411900550683745	-4.681662544657535	Deflazacort
DB06781	-6.9411900550683745	-4.681662544657535	Difluprednate
DB00635	-6.9411900550683745	-4.681662544657535	Prednisone
DB00769	-6.9411900550683745	-4.681662544657535	Hydrocortamate
DB01384	-6.9411900550683745	-4.681662544657535	Paramethasone
DB13003	-6.9411900550683745	-4.681662544657535	Cortivazol
DB00443	-6.9411900550683745	-4.681662544657535	Betamethasone
DB00253	-6.9411900550683745	-4.681662544657535	Medrysone
DB14596	-6.9411900550683745	-4.681662544657535	Loteprednol etabonate
DB00860	-6.9411900550683745	-4.681662544657535	Prednisolone
DB00846	-6.9411900550683745	-4.681662544657535	Flurandrenolide
DB00896	-6.9411900550683745	-4.681662544657535	Rimexolone
DB01260	-6.9411900550683745	-4.681662544657535	Desonide
DB00324	-6.9411900550683745	-4.681662544657535	Fluorometholone
DB05423	-6.9411900550683745	-4.681662544657535	ORG-34517
DB01130	-6.9411900550683745	-4.681662544657535	Prednicarbate
DB00547	-6.9411900550683745	-4.681662544657535	Desoximetasone
DB15566	-6.9411900550683745	-4.681662544657535	Prednisolone acetate
DB00180	-6.9411900550683745	-4.681662544657535	Flunisolide
DB01410	-6.9411900550683745	-4.681662544657535	Ciclesonide
DB00620	-6.9411900550683745	-4.681662544657535	Triamcinolone
DB00394	-6.9411900550683745	-4.681662544657535	Beclomethasone dipropionate
DB00838	-6.9411900550683745	-4.681662544657535	Clocortolone
DB00663	-6.9411900550683745	-4.681662544657535	Flumethasone
DB07594	-6.929164319488851	-4.674097457183712	CCT-018159
DB05134	-6.929164319488851	-4.674097457183712	Tanespimycin
DB06070	-6.929164319488851	-4.674097457183712	SNX-5422
DB07877	-6.929164319488851	-4.674097457183712	8-(6-BROMO-BENZO[1,3]DIOXOL-5-YLSULFANYL)-9-(3-ISOPROPYLAMINO-PROPYL)-ADENINE
DB02754	-6.929164319488851	-4.674097457183712	9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine
DB04144	-6.897704943128636	-4.654307155587345	Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone
DB02872	-6.897704943128636	-4.654307155587345	Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone
DB08293	-6.854354502255021	-4.627036484694157	(5E)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB08292	-6.854354502255021	-4.627036484694157	(5Z)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE
DB08045	-6.854354502255021	-4.627036484694157	4-{4-[4-(3-AMINOPROPOXY)PHENYL]-1H-PYRAZOL-5-YL}-6-CHLOROBENZENE-1,3-DIOL
DB08153	-6.854354502255021	-4.627036484694157	(5E)-14-CHLORO-15,17-DIHYDROXY-4,7,8,9,10,11-HEXAHYDRO-2-BENZOXACYCLOPENTADECINE-1,12(3H,13H)-DIONE
DB08346	-6.854354502255021	-4.627036484694157	(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE
DB02424	-6.6682192988821996	-4.509943514691487	Geldanamycin
DB01950	-6.658011045870748	-4.503521759741374	AR-AO-14418
DB07014	-6.658011045870748	-4.503521759741374	2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole
DB12129	-6.658011045870748	-4.503521759741374	Tideglusib
DB07149	-6.658011045870748	-4.503521759741374	(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one
DB07058	-6.658011045870748	-4.503521759741374	5-[1-(4-methoxyphenyl)-1H-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3H)-thione
DB03444	-6.658011045870748	-4.503521759741374	6-bromoindirubin-3'-oxime
DB01772	-6.658011045870748	-4.503521759741374	3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione
DB01793	-6.658011045870748	-4.503521759741374	SB-409513
DB01780	-6.643789733147672	-4.494575489965923	Fusicoccin
DB00615	-6.575151697195789	-4.451397029690151	Rifabutin
DB08465	-6.50034187996196	-4.404336057200596	2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE
DB08464	-6.50034187996196	-4.404336057200596	METHYL 3-CHLORO-2-{3-[(2,5-DIHYDROXY-4-METHOXYPHENYL)AMINO]-3-OXOPROPYL}-4,6-DIHYDROXYBENZOATE
DB06451	-6.467698726104353	-4.383801070985305	Aprinocarsen
DB02868	-6.447305862541213	-4.370972433961257	Deacetoxyvinzolidine
DB06877	-6.406879986069314	-4.345541532899653	N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE
DB07264	-6.406879986069314	-4.345541532899653	(S)-N-(1-(3-CHLORO-4-FLUOROPHENYL)-2-HYDROXYETHYL)-4-(4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE
DB11120	-6.406879986069314	-4.345541532899653	Turpentine
DB07788	-6.406879986069314	-4.345541532899653	(3R,5Z,8S,9S,11E)-8,9,16-TRIHYDROXY-14-METHOXY-3-METHYL-3,4,9,10-TETRAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,7(8H)-DIONE
DB07794	-6.406879986069314	-4.345541532899653	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE
DB07905	-6.406879986069314	-4.345541532899653	Hypothemycin
DB08655	-6.385194398997725	-4.3318996760641255	9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE
DB03670	-6.369900982828227	-4.32227897300353	2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid
DB02784	-6.369900982828227	-4.32227897300353	N-(Bromoacetyl)-beta-alanyl-N-(2-{4-[(carboxycarbonyl)amino]phenyl}ethyl)-L-serinamide
DB02622	-6.369900982828227	-4.32227897300353	2-(Oxalyl-Amino)-Benzoic Acid
DB02620	-6.369900982828227	-4.32227897300353	3-(4-{2-[2-(2-bromo-acetylamino)-ethyldisulfanyl]-ethylcarbamoyl}-cyclohexylcarbamoyl)-pyrazine-2-carboxylic acid
DB02014	-6.369900982828227	-4.32227897300353	5-(2-Fluoro-5-{(1E)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid
DB02072	-6.369900982828227	-4.32227897300353	2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid
DB02651	-6.369900982828227	-4.32227897300353	{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)
DB04285	-6.369900982828227	-4.32227897300353	{4-[(2s,4e)-2-(1,3-Benzothiazol-2-Yl)-2-(1h-1,2,3-Benzotriazol-1-Yl)-5-Phenylpent-4-Enyl]Phenyl}(Difluoro)Methylphosphonic Acid
DB06887	-6.369900982828227	-4.32227897300353	[(3S)-3-(Methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid
DB04204	-6.369900982828227	-4.32227897300353	[(4-{4-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Butyl}-Phenyl)-Difluoro-Methyl]-Phosphonic Acid
