GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1900242	regulation of synaptic vesicle endocytosis	12	0.004511278195488722	5.161904761904762	1.8354335174239692e-07	6.524426321054733e-05	4.185457668902082	0.0022183049491586093	RAC1, PRKN, OPHN1, BTBD9, PPP3CB, PPP3CC, SYT11, ACTB, LRRK2, CALM3, ROCK1, ACTG1
GO:0072583	clathrin-dependent endocytosis	16	0.006015037593984963	4.27192118226601	7.355941358194e-08	3.06565197431492e-05	4.513477149616546	0.0008890390725513269	SCYL2, SNAP91, MAGI2, DNAJC6, AP2B1, LMBRD1, SGIP1, GAS7, FNBP1L, CLTC, CLTA, FCHO2, FCHSD2, INPP5F, CANX, PICALM
GO:0048813	dendrite morphogenesis	18	0.006766917293233083	3.8714285714285714	8.421097526710864e-08	3.306836299417736e-05	4.480587303731367	0.001017773847078275	FARP1, ABI1, ELAVL4, MAP2, SLC11A2, RERE, RAC1, SLITRK5, BTBD3, CTNNA2, GABRB3, DSCAM, ITGB1, PICALM, MEF2A, FYN, KLF7, TMEM106B
GO:0048812	neuron projection morphogenesis	27	0.010150375939849625	2.8637964774951077	1.5870344576276634e-07	5.994030767152481e-05	4.222281032166108	0.001918089845488794	RAC1, NEGR1, MYO16, BMP7, TNIK, TAOK3, DICER1, NRXN1, GAS7, NLGN1, GPM6A, SHTN1, KDM1A, PRICKLE1, SGK1, ATP9A, GABRB3, LRRK2, UGT8, NCKAP1, VPS54, MAP4K4, TRIO, PAK1, SRGAP2, PPP1R12A, PPP1R12B
GO:0050804	modulation of chemical synaptic transmission	42	0.015789473684210527	2.7327731092436975	3.505740406269938e-10	2.8246919033452316e-07	6.549028914914989	4.237037855017847e-06	NPTN, CSPG5, GRIK1, JAK2, GRIA4, NLGN4X, DLGAP1, GRID1, CDH11, CFL1, PRKAR2B, GRIA3, RPS6KB1, GRID2, GRIK4, RTN4, NLGN1, GRM5, LRRC4C, FYN, AKAP7, NXPH1, PXK, PRKN, PLPPR4, UBE3A, LRRK2, PTN, CACNA1A, CDKL5, GRIA2, GRIK2, PPP3CA, NTNG1, BTBD9, EPHB1, ADCY8, TNR, ITGB1, PAFAH1B1, PTPRD, NRG3
GO:0070936	protein K48-linked ubiquitination	34	0.012781954887218045	2.7139911634756997	1.993320007676184e-08	1.09505752785338e-05	4.9605630649581	0.00024091265612774358	HUWE1, UBE2K, ANAPC10, KLHL3, RNF216, FBXO9, UBE2H, NT5C2, UBE2D3, ANAPC5, UBE3C, HACE1, ASB3, TTC3, SKP1, RNF115, MYCBP2, CUL1, ITCH, FBXO38, FBXO7, PRKN, CDC27, UBE3A, UBE2E1, CUL3, PELI1, UBR5, UBE2G2, BTRC, UBE2E2, UBE2E3, RNF146, RFFL
GO:0010976	positive regulation of neuron projection development	39	0.014661654135338346	2.672313527180784	3.09030380506625e-09	1.9657585151595106e-06	5.706469834405803	3.7349411788030694e-05	NPTN, SETX, ARHGAP35, LRRC7, DMD, NEGR1, SERPINI1, TMEM30A, RAP1A, KIDINS220, ADNP, SHOC2, NTRK3, SCARB2, NTRK2, RIT2, TOX, APOE, ATP1B2, FYN, CNTN1, ABL2, RYK, MAGI2, FBXO38, KAT2B, CBFA2T2, PRKD1, PTN, DPYSL3, FIG4, DISC1, FUT9, RAPGEF2, RAPGEF1, EP300, DDR1, PLPPR5, ARSB
GO:0000209	protein polyubiquitination	52	0.019548872180451128	2.6315592903828198	1.507450738827706e-11	1.7493250593554275e-08	7.757129482478266	1.8219049629471656e-07	HUWE1, UBE2K, KLHL3, DZIP3, UBE2H, C10orf90, UBE2D3, TNKS2, WSB1, UBE2V1, PIK3R1, MKRN3, FBXW11, PELI2, UBE3C, TNKS, RC3H2, SKP1, RNF115, CTNNB1, FBXL7, RC3H1, HLTF, UBE2W, TRIP12, UBE3D, LNPEP, UBE4B, TRIM2, SMURF1, RNF111, NPEPPS, KLHL42, ITCH, SASH1, SHPRH, PRKN, UBE2N, UBE3A, UBE2E1, CUL3, PELI1, UBR5, HECTD2, FBXL17, UBE2G2, BTRC, SPOP, RNF180, TPP2, UBE4A, CUL4B
GO:0051056	regulation of small GTPase mediated signal transduction	39	0.014661654135338346	2.580952380952381	9.473316948017844e-09	5.7247254316871835e-06	5.242245338047058	0.00011449450863374366	ARHGAP15, AKAP13, ARHGAP5, ARHGAP35, ARHGEF11, FAM13A, CHN1, FAM13B, ARHGEF4, ARHGAP21, ARHGEF10, ARHGAP22, RALGAPB, ARHGAP31, SPATA13, VAV3, ARHGAP26, MYO9A, ARHGEF9, ITSN1, ARHGAP6, ARHGAP20, ARHGAP32, DLC1, RALGAPA2, DOCK3, KALRN, TIAM2, SIPA1L1, TRIO, SRGAP3, ARHGEF28, SRGAP2, RALGAPA1, STARD13, ARHGEF12, ARHGAP10, ARHGEF3, TIAM1
GO:0001764	neuron migration	44	0.016541353383458645	2.5809523809523807	1.091343536876919e-09	7.758810580408495e-07	6.110204850643517	1.3189977986694443e-05	ASTN2, ABI1, RAC1, TUBA1A, ASCL1, ADGRL3, MYH10, MARK1, CEP85L, ASTN1, USP9X, DCC, SH3RF1, NTRK3, ABI2, CTNNB1, NTRK2, AUTS2, GPM6A, FYN, DAB1, PCM1, HSP90AA1, MAP1B, NRCAM, APBB2, LRP12, NAV1, FZD3, KIAA0319L, CDKL5, DISC1, RAPGEF2, MEF2C, LARGE1, NEO1, DCX, TOP2B, SDCCAG8, DNER, PAFAH1B1, SPOCK1, CHL1, YWHAE
GO:0031175	neuron projection development	52	0.019548872180451128	2.53225516621743	7.674060594151622e-11	7.134515103147424e-08	7.146635538342397	9.27486963409165e-07	HDGFL3, MAP2, ARFGEF1, RAB11A, GPRIN3, WASF1, MYH10, HMGB1, ROCK1, VAPA, ALCAM, VPS13B, PTPRG, NCDN, NRXN1, PTPRM, APOE, UBE4B, GPM6A, NLGN1, APP, ATXN10, TMEM108, CNTN1, PRICKLE1, EXT1, RYK, MAP4, FRY, MAP1B, PTPRK, OPHN1, CYFIP2, NEDD4, CDC27, RAB6A, HERC1, LRP12, PTPRZ1, FRYL, RAPGEF2, RB1, DOCK7, GSK3B, PTPRT, ITGB1, GFRA1, RAPGEF6, PPP1R9A, LONRF2, CHL1, CAMSAP2
GO:0006897	endocytosis	70	0.02631578947368421	2.398230088495575	8.59340441178875e-13	1.1539987302319868e-09	8.937794669042978	1.0385988572087883e-08	CSNK1E, AAK1, HEATR5A, SORL1, DENND1B, RAC1, SGIP1, USP33, LRP1B, LMBRD1, MYO5A, FCHO2, PIK3CB, FCHSD2, GHR, SCAMP1, MIB1, RABEP1, DPYSL2, PIK3C2A, PICALM, DENND1A, RIN2, SYNJ1, RABGEF1, RAB7A, REPS1, LRP6, SORT1, APP, SH3KBP1, EHBP1, CLINT1, ATP9B, ITSN1, MYO6, ANK2, RAB1A, RAB31, MAGI2, AP2B1, DNM1L, ATP9A, SH3GLB1, OPHN1, FNBP1L, EPN2, ATP6V1H, LRP12, CSNK1G3, LRRK2, REPS2, ESYT2, RABGAP1L, SNX9, CSNK1G1, HEATR5B, AMPH, ITSN2, ZFYVE9, RAB5A, LRP1, CLTA, OCIAD1, DNER, DNM3, PIK3C3, EEA1, CALY, KCNQ3
GO:0048511	rhythmic process	45	0.016917293233082706	2.386497064579256	1.2956713579873537e-08	7.456897158397694e-06	5.127441846429045	0.00015659484032635158	CSNK1E, HUWE1, SETX, KDM5A, DHX9, ENOX2, ROCK2, OGT, CSNK2A1, USP9X, CREB1, CREM, FBXW11, KDM2A, RORA, MYCBP2, PPARGC1A, NR1D2, NLGN1, PSPC1, MAPK10, MAPK8, MAGED1, DNM1L, FBXW7, TOP1, SFPQ, NRIP1, KAT2B, DDX5, UBE3A, CLOCK, FBXL3, CREBBP, NCOA2, PRKDC, HNRNPD, KMT2A, BTRC, EP300, GSK3B, NCOR1, PRKAA2, ATG7, HNRNPU
GO:0006338	chromatin remodeling	96	0.03609022556390978	2.280105170902717	2.1989912228385807e-15	4.429501319871181e-12	11.353645164571251	2.6577007919227088e-11	RAD23B, WAC, RBBP7, HNRNPC, PRMT3, RPS6KA5, ARID2, BRD7, MAP3K7, MIER1, PRKCA, SMARCA5, TOP1, CECR2, KMT5B, CREBBP, EP300, BICRAL, PRMT2, JAK2, ARID1B, PRDM2, PBRM1, EYA2, SMARCC1, BPTF, UTY, MLLT10, ATRX, ZNF827, NIPBL, KDM4C, CHD6, TP53BP1, GATAD2B, SMARCAD1, SFPQ, SETD3, NSD1, TET1, PAK1, RB1, RERE, JARID2, PKM, MTA3, DPF3, USP22, HUWE1, RYBP, CHD2, CFDP1, CHD1, EYA3, RSF1, SKP1, SETD5, HLTF, SMARCA2, YEATS2, CHD7, SS18, EYA1, KAT2B, CLOCK, DYRK1A, BAZ2B, ATR, PRKCB, PRKAA2, KDM5A, HMGB1, CHD1L, SF3B1, ACTB, ASH1L, SMARCE1, PSIP1, PWWP2A, NCOA3, ARID1A, KDM2A, JMJD1C, NSD3, MYSM1, KDM1A, JADE3, RBBP4, CHD4, KDM6A, ATM, INO80D, KMT2C, PRKDC, SETBP1, KDM5D
GO:0007411	axon guidance	56	0.021052631578947368	2.2583333333333333	3.0617109204309087e-09	1.9657585151595106e-06	5.706469834405803	3.700383818432796e-05	NPTN, SEMA6A, ARHGAP35, PTPRJ, RAC1, USP33, NTN4, MYH10, DSCAM, PTPRO, FLRT2, FEZ2, BMP7, TTC8, EVL, ALCAM, DCC, NRXN1, MYCBP2, PGRMC1, RPS6KA5, SEMA5A, KIF5C, ENAH, ROBO1, FYN, CNTN1, SMAD4, UNC5C, ETV1, NFASC, EXT1, RYK, CYFIP2, OPHN1, NRCAM, NOTCH2, APBB2, KALRN, NRXN3, ANOS1, B4GAT1, KLF7, TRIO, KIF5B, CDH4, SOS1, DSCAML1, NEO1, EPHB1, TNR, CRPPA, PALLD, CHL1, ABLIM1, PTK2
GO:0006511	ubiquitin-dependent protein catabolic process	72	0.02706766917293233	2.1776785714285714	9.682211283266475e-11	8.3585146835399e-08	7.077870890270725	1.1701920556955863e-06	HUWE1, UBQLN1, NDFIP1, UBE2K, KLHL3, UBE2H, USP33, UBE2D3, PSMD14, CUL5, FBXW11, UBE3C, UBR2, HACE1, MIB1, RC3H2, ATE1, TTC3, SKP1, WWP2, FBXL7, RC3H1, CUL2, TRIP12, FBXO21, ANKIB1, UBE4B, CUL1, SMURF1, HERC4, RNF111, UCHL1, TRPC4AP, ITCH, RNF19A, FBXW4, CACUL1, ARIH1, FBXO7, PRKN, NEDD4, HECW2, UBE2N, UBE3A, HECTD1, FAF1, RNF130, UBE2E1, CUL3, FBXO11, COP1, HERC3, UBR1, NDFIP2, CNOT4, PSMA1, WWP1, UBR3, RNF144A, LNX1, UBE2G2, BTRC, RNF146, RFFL, UBA6, RNF150, RNF13, SMURF2, HECW1, FBXL4, UBE4A, CUL4B
GO:0008104	intracellular protein localization	50	0.018796992481203006	2.1155347384855583	1.716014116827284e-07	6.284771701810471e-05	4.20171049370511	0.0020739746615974553	CSNK1E, HEATR5A, SEPTIN11, YWHAQ, DMD, CNTLN, PHYHIP, ELMOD1, C2CD5, SEPTIN2, USP9X, PARD3, GRID2, ARFIP1, CTNNB1, KIFAP3, PARD3B, YWHAZ, BBS2, NIPBL, AKAP10, AKAP7, ITSN1, MYO6, FRMD6, RAP2A, ANK2, AP4S1, SPG11, SEPTIN7, VPS13A, CPE, YWHAE, CASK, NRCAM, CTNNA1, LRRK2, NIN, VPS54, OTOGL, YWHAB, HEATR5B, AKAP11, DISC1, MOSMO, LARGE1, DLG1, YWHAG, AHI1, SEPTIN8
GO:0016055	Wnt signaling pathway	60	0.022556390977443608	2.064761904761905	3.186777396522324e-08	1.5406156645747522e-05	4.8123056906603345	0.0003851539161436881	NPHP3, BCL9, TLE5, MARK1, CSNK1A1, CXXC4, TNKS2, TLE4, NLK, CSNK2A1, FBXW11, PKD2, TNKS, TNIK, TCF7L1, CCNY, CDK14, RECK, CTNNB1, CDC73, BRD7, APCDD1, USP34, SENP2, DKK3, FBXW4, INVS, PRICKLE1, TMEM131L, HBP1, WLS, AMER2, XIAP, RYK, MITF, SPIN1, CTNND1, MACF1, CPE, SHISA6, LRRFIP2, CYLD, CSNK1G3, FZD3, CUL3, TCF7L2, WWOX, CSNK1G1, DISC1, STRN, DAAM1, CTNND2, PYGO1, BTRC, GSK3B, UBAC2, RNF146, PRKAA2, LRP6, PLCG2
GO:0006886	intracellular protein transport	74	0.027819548872180452	2.061048304213772	6.780137987887377e-10	5.121546732600428e-07	6.290598860120046	8.194474772160684e-06	EXOC6, SCFD1, STX18, TMED7, TUBA1A, RAB3GAP2, APBA1, NAPG, VPS45, CHM, STX16, TNPO1, XPO1, SNX1, EXOC6B, TPR, WDR11, NUP214, ARL5A, RAMP1, COPA, TMED10, ARFIP1, RIMS1, TLK1, MYRIP, RAB14, APPBP2, NAPB, AP3B1, STX17, VPS41, USO1, MYO6, AP1G1, RAB1A, WLS, RIMS2, RAB31, SPG11, AP2B1, RAB18, KIF13A, SNX2, BCAP29, SEC23A, RAB6A, SCFD2, SEC24B, TOMM20, STXBP3, NSF, SNX9, SIL1, XPO7, IPO8, HERC2, TRIM23, RIC1, LARGE1, RAB5A, RAB21, CLTC, STXBP1, CLTA, DNAJC15, SNX27, STX8, RFFL, VTI1A, SCG5, RAB28, SNX13, AP3S2
