GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0030136	clathrin-coated vesicle	31	0.011654135338345865	3.1582706766917292	1.2108718718872496e-09	8.476103103210748e-08	7.0718037691765385	2.2885478378669018e-06	SCYL2, AAK1, ASTN2, DENND1B, SGIP1, RNF216, LMBRD1, AFTPH, FCHO2, BTBD8, ASTN1, SCAMP1, PICALM, PIK3C2A, SNAP91, DENND1A, GAS7, SORT1, CLINT1, VPS41, MYO6, AP1G1, ADAM10, EPN2, VAMP2, SNX9, HEATR5B, DNAJC6, CLTC, CLTA, VTI1A
GO:0098839	postsynaptic density membrane	45	0.016917293233082706	2.92797118847539	5.490243034855673e-12	5.188279667938611e-10	9.284976621838359	1.0376559335877221e-08	NETO2, NECTIN3, NETO1, GRIK1, GRIA4, CSMD2, IQSEC1, NLGN4X, CLSTN1, PTPRO, GRID1, NTM, GRIA3, DCC, GRID2, SORCS3, SLITRK5, GRIK4, LRRTM3, GRM5, LRRC4C, NLGN4Y, TMEM108, RYK, ASIC2, SHISA6, RGS7BP, NRCAM, PLPPR4, ERBB4, LRRTM2, ATP2B2, ELFN2, GRIA2, GSG1L, GRIK2, ADGRB3, ADAM22, GRIN2B, NEO1, DLG2, DLG1, SLC16A7, NSG2, IGSF21
GO:1904115	axon cytoplasm	24	0.009022556390977444	2.9035714285714285	5.700222442349585e-07	2.7624154912924914e-05	4.5587109991807635	0.0010773420416040715	NETO1, OPA1, AGBL4, ARL8B, DST, FBXW11, SPAST, KIF3A, ZC3H14, KIF5C, AP3B1, UCHL1, TMEM108, KIF1B, DYNC1H1, RAB27B, KIF5B, RAB21, DLG2, AGTPBP1, KIF21A, PAFAH1B1, HIF1A, AP3S2
GO:0043197	dendritic spine	55	0.020676691729323307	2.8774131274131274	5.850402121088354e-14	8.505584622197683e-12	11.070295830262047	1.1057260008856989e-10	SEPTIN11, PPFIA2, PDE4B, NEGR1, KCND3, APBA1, MYH10, GRIA4, SYT11, PTPRO, ANKS1B, CPEB4, CRIPT, GRID1, CTTNBP2, CFL1, PRKAR2B, GRIA3, SLC8A3, GRID2, ABI2, NTRK2, SLC1A1, ZMYND8, NLGN1, GPM6A, APP, GRM5, ITSN1, ATP1A2, ARHGAP32, ASIC2, MT3, FXR1, MAP1B, HOMER1, OPHN1, GABRB3, KCNN2, DIP2A, SIPA1L1, GABBR1, GRIA2, FARP1, STRN, TANC2, PPP3CA, SRGAP2, DGKI, KCND2, GPHN, ITGB1, DOCK10, DNM3, PTEN
GO:0098685	Schaffer collateral - CA1 synapse	37	0.013909774436090226	2.864857142857143	8.47887491527252e-10	6.410029435946026e-08	7.193139976122435	1.6025073589865064e-06	NETO1, RAB11A, APBA1, PPP3R1, ACTB, ROCK1, CDH11, DCC, GABRB1, CTNNB1, SLC1A1, SYN2, GRM5, ATG5, LRRC4C, FYN, RAP2A, SLC16A7, CASK, PLPPR4, CALM3, LRRTM2, ACTG1, PTN, GABBR1, GRIA2, GSG1L, PPP3CA, NTNG1, ADCY8, TNR, SNX27, ITGB1, PAFAH1B1, PTPRD, EEA1, FBXL20
GO:0014069	postsynaptic density	93	0.03496240601503759	2.7802537231108655	2.0344969922112075e-21	5.49314187897026e-19	18.260179183709727	3.845199315279182e-18	NPTN, ABI1, DTNB, PDE4B, CPEB3, IQSEC1, SYT11, DLGAP1, CRIPT, CPEB4, PDLIM5, SLC8A3, OPCML, NTRK2, NLGN1, BMPR2, FYN, SLC8A1, PRICKLE1, CNKSR2, HOMER1, PAK3, SOS1, ADD1, GRIK2, CTNND2, ADCY8, GOPC, ABLIM1, PTEN, NEGR1, CAMK2D, MIB1, SYT1, RPS19, MPDZ, ADD3, SYN2, ARHGAP32, MAGI2, MAP1B, RTN3, RTN1, SIPA1L1, STRN, GRIN2B, PRNP, PPP1R9A, NETO2, LRRC7, RPS18, EPS8, DROSHA, ANKS1B, KPNA1, PLEKHA5, ARHGEF9, TMEM108, PRKN, SHISA6, ADAM10, ATP1A1, DISC1, SPTBN1, SRGAP2, DGKI, DLG2, NETO1, PPFIA2, PKP4, CLSTN1, GPSM2, SORCS3, CTNNA2, PRICKLE2, RTN4, USP8, SH3KBP1, PSD3, PAK2, PJA2, KALRN, IGSF9B, EGLN1, EIF3E, TSC1, GRIA2, DNAJC6, HNRNPD, DLG1, GPHN, DNM3, SPOCK1
GO:0098982	GABA-ergic synapse	39	0.014661654135338346	2.7204633204633204	1.7176777199155593e-09	1.1194520312553128e-07	6.950994511292146	3.246410890640407e-06	CSPG5, ERC2, SLC4A10, KCND3, CACNA2D3, NLGN4X, PTPRO, GRID1, CLCN3, GABRB1, NRXN1, KIF5C, FUS, NLGN1, SH3KBP1, MKLN1, GLRB, SLITRK2, ARHGEF9, SLC6A1, NXPH1, LAMP5, GABRB3, GAD1, ERBB4, IGSF9B, LRRTM2, GNAO1, NSF, ATP2B2, GABBR1, DISC1, KCND2, GPHN, CACNA2D1, CDH10, PLCB1, PIK3C3, PCDH17
GO:0098978	glutamatergic synapse	191	0.07180451127819548	2.6361599185128592	3.841318210384188e-39	2.4200304725420383e-36	35.61617916543546	7.260091417626115e-36	OGT, DLGAP1, CRIPT, GRID1, PPP3R1, ARHGAP22, ERBIN, GRIK4, LRRTM3, DOCK4, KIFAP3, FXYD6, NAPB, SLC1A2, FUS, PPP3CB, NLGN1, ATG5, LRRC4C, FYN, PRICKLE1, RYK, CNKSR2, CADPS, OPHN1, HOMER1, NRCAM, PAK3, PRKAR1A, NF1, LRRTM2, ATP2B2, SOS1, FARP1, GRIK2, ADAM23, NEO1, BTBD9, SACM1L, ADCY8, EEA1, FBXL20, CALY, ATAD1, AGO2, CBLB, GRIK1, JAK2, ADGRL3, SYT17, MIB1, VWC2, ATP8A1, RABEP1, SYT1, GRID2, CACNB4, CLCN3, CTNNB1, PCDH9, SYN2, GPM6A, SLITRK2, CLASP2, ARHGAP32, CNIH3, SNAP25, PCDH7, MAP1B, FXR1, RGS7BP, PLPPR4, ELMO1, BRAF, DOCK1, IL1RAPL1, CUL3, GABBR1, TRIO, CDKL5, PPP2R2A, PPP3CA, DAAM1, PUM2, ATP2B1, BCAN, NOS1AP, PLCB1, PTPRD, PCDH17, NSG2, NRG3, NETO2, PDE10A, CSPG5, RAB11A, ERC2, DSTN, EPS8, IL1RAP, MYH10, MARK1, DROSHA, ANKS1B, FLRT2, CTTNBP2, CFL1, KPNA1, RAP1A, PRKAR2B, NTRK3, NRXN1, PLEKHA5, PPP2R1A, RGS7, PIAS1, YWHAZ, PPP3CC, GRM5, CNNM2, ITSN1, TMEM108, NXPH1, EFR3A, DAB1, AP2B1, NEDD4, SHISA6, USP14, ADAM10, PRKN, ERBB4, LRRK2, FZD3, DISC1, SPTBN1, GSG1L, GUCY1B1, NTNG1, SRGAP2, DGKI, GSK3B, STXBP1, EPHB1, SNX27, CDH10, PAFAH1B1, PIK3C3, SLC16A7, NETO1, RAC1, PPFIA2, APBA1, ELMOD1, APPL1, CSMD2, CLSTN1, NLGN4X, PTPRO, ACTB, THY1, CDH11, TNIK, RPS6KB1, NCDN, SORCS3, STAU2, APOE, RTN4, USP8, SH3KBP1, SPARCL1, CNTN1, WASL, ATP2B4, PRUNE2, PAK2, UBE3A, PJA2, MAPK14, EGLN1, BRINP1, GNAO1, HNRNPD, AKAP9, KCND2, DLG1, TNR, ITGB1, DOCK10, ZDHHC17
GO:0030027	lamellipodium	60	0.022556390977443608	2.432311144353029	2.135021429255647e-11	1.9215192863300822e-09	8.716355252154774	4.035190501293173e-08	ABI1, ANKRD28, PLEKHH2, PABPC1, RAC1, MYH10, PTPRO, ACTB, PIK3CA, ROCK1, SNX1, RAPH1, EVL, CFL1, PKD2, ARHGEF6, ARHGAP31, SPATA13, SH3RF1, RDX, ABI2, CTNNB1, PLCE1, PTPRM, CTNNA2, ARHGEF7, ENAH, PKN2, FER, SHTN1, ITSN1, RUFY3, APC, WASL, UNC5C, MTSS2, SNX2, PHACTR4, APBB2, CTNNA1, CDH2, TIAM2, NCKAP1, CDC42BPA, KLHL2, DPYSL3, RAB3IP, PAK1, TSC1, SRGAP2, ACTR3, PTPN13, CCDC88A, ITGB1, CAPRIN1, PALLD, CTNNA3, SORBS2, WASF1, ABLIM1
GO:0000151	ubiquitin ligase complex	37	0.013909774436090226	2.4278450363196127	2.1363450309315895e-07	1.0912681374218119e-05	4.962068525035058	0.0004037692108460704	CAND1, UBE4A, FBXO9, FBXW11, UBR2, SKP1, WWP2, MYCBP2, LMO7, FBXL7, UBE3D, WDR26, FBXO21, ANKIB1, UBE4B, ARMC8, MKLN1, RANBP9, FBXW4, FBXL5, RNF19A, ARIH1, FBXO7, PRKN, NEDD4, UBE2N, FBXL3, UBE2E1, FBXO11, DCUN1D1, SUGT1, UBR1, UBR3, RNF144A, FBXL4, SMURF2, UBE2V1
GO:0030424	axon	126	0.04736842105263158	2.350843373493976	4.0153957869468564e-21	9.486372546661947e-19	18.022899823835264	7.589098037329559e-18	NPTN, DSCAM, SYT11, CPEB4, HTT, SPAST, ADNP, SLC8A3, NTRK2, SLC1A2, ATG5, BMPR2, APP, SLC8A1, MAPK8, UNC5C, OPHN1, DHX36, HOMER1, GRM7, NRCAM, IGF1R, GAD1, NF1, ADAM22, GRIK2, DSCAML1, DOCK7, ADCY8, GFRA1, PALLD, SEMA6A, PUM1, COBL, ADGRL3, SACS, DIP2B, ARL8B, ALCAM, CD200, NCAM2, SYT1, MYCBP2, SCN2A, SLC1A1, WDFY3, GPM6A, SNAP25, MT3, MAP1B, FXR1, RGS7BP, IL1RAPL1, SCN8A, SBF2, PAK1, NMNAT2, UNC80, KIF21A, SLC38A1, ROBO1, CADM2, SEPTIN11, SLC4A10, SLC12A6, MYH10, BTBD8, FEZ2, CREB1, CFL1, DCC, NTRK3, SCN1A, SLC6A1, TMEM108, KIF1B, NFASC, KLHL24, MAP4, SPG11, PRKN, ATP6AP2, ADAM10, MACO1, ATP1A1, LRRK2, FZD3, ACTG1, DYRK1A, DISC1, TANC2, DGKI, EPHB1, STXBP1, DLG2, AGTPBP1, GSK3B, PRKAA2, PAFAH1B1, SETX, ELAVL4, PPFIA2, AGBL4, MAP9, PTPRO, ACTB, DST, NCDN, STAU2, CTNNA2, PRICKLE2, SLC38A2, SMURF1, SHTN1, RUFY3, UCHL1, CNTN1, GAD2, ANK3, NIN, RAB5A, SCN9A, ATL1, PENK, INPP5F, SEPTIN8
GO:0030426	growth cone	41	0.015413533834586466	2.3004140786749483	2.5909279471353806e-07	1.2886457421278604e-05	4.889866456878281	0.000489685382008587	EXOC6, ABI1, SETX, ELAVL4, LRIG2, LMTK2, ERC2, EPS8, MYO5A, MYH10, DSCAM, BASP1, PTPRO, THY1, CPEB4, USP9X, CFL1, COPA, AUTS2, MYO9A, GPM6A, APP, SHTN1, RUFY3, SLC2A13, CXADR, UNC5C, SNAP25, MAP1B, APBB2, LRRK2, CALM3, TIAM2, DPYSL3, PTBP2, DOCK7, NEO1, KLC1, KIF21A, PALLD, PAFAH1B1
GO:0005938	cell cortex	56	0.021052631578947368	2.294179894179894	1.1260985108232602e-09	8.185869944061391e-08	7.08693515964496	2.1283261854559617e-06	ASTN2, AKAP13, NDFIP1, RAC1, COBL, SPIRE1, EPS8, MYH10, MARCKS, RIC8B, C2CD5, SEPTIN2, DST, CTTNBP2, PARD3, GPSM2, CTNNB1, GRB2, ADD3, PARD3B, ARHGEF7, STK39, INSC, MKLN1, WDPCP, FER, PTK2, ENO1, MYO6, CLASP2, ITCH, ARHGAP32, SNAP25, FRY, NEDD4, KANK1, FNBP1L, GRM7, PRKD1, DYNC1H1, ITPR2, GAD1, CLASP1, FMN2, GNAI1, TSC1, PPFIBP1, FRYL, EPB41L2, DCTN4, KIF21A, TRAK1, PAFAH1B1, SPTAN1, CLIP4, ACTR2
GO:0043025	neuronal cell body	103	0.0387218045112782	2.233933573429372	8.688044673095143e-16	1.4927640392863473e-13	12.82600883563376	1.642040443214982e-12	KCND3, DSCAM, GRIA4, MBP, SEZ6L, GNA12, CRIPT, ADNP, S100B, SLC8A3, BMPR2, SLC8A1, UNC5C, CNKSR2, PTBP2, SOS1, GRIK2, KLHL1, MT-ND1, NAPEPLD, GFRA1, LRP6, COBL, NEGR1, ALCAM, CD200, PGRMC1, SLC1A1, GPM6A, BRINP2, XRN1, ASIC2, MAP1B, SLC25A27, RTN1, HSP90AB1, GABBR1, CACNA1A, SLC22A3, STRN, PUM2, NAP1L4, SLC38A1, SORL1, LMTK2, ASCL1, SLC4A10, MYH10, IL6ST, SERPINI1, PICALM, CFL1, PRKAR2B, KCNQ1, NRXN1, PPP2R1A, ARHGEF7, KIF5C, GRM5, SCN1A, ATXN10, ITSN1, SLC6A1, ATP1A2, BMPR1A, HSP90AA1, VPS13A, PRKN, KCNN2, SLC1A3, LRRK2, FZD3, PRKAA2, VTI1A, PAFAH1B1, BRINP3, MAP2, GHR, FBXW11, CACNA1E, NCDN, PPP1R1B, STAU2, STRN3, APOE, RTN4, SLC38A2, SMURF1, PDE1C, RUFY3, UCHL1, BRINP1, AGFG1, APOD, GRIA2, RAPGEF2, AKAP9, RAB5A, KCND2, PENK, DNER, INPP5F, SORBS2
GO:0005802	trans-Golgi network	57	0.02142857142857143	2.206714285714286	3.957906470753837e-09	2.4934810765749176e-07	6.603193923363115	7.480443229724752e-06	SORL1, GCC2, RAC1, ARFGEF1, RAB11A, ATP2C1, STX16, PCSK5, SYT11, SCAMP1, SYT17, ATP8A1, PIK3C2A, WDR11, ARL5A, DOP1A, RELCH, RAB14, GSAP, BIRC6, RAB10, ATP9B, NBEA, AP1G1, OSBPL9, PLPP3, CLASP2, WLS, AP4S1, RAB31, SNAP25, ATP9A, PREPL, GOLPH3, PRKD1, RAB6A, ATXN2, LRRK2, VPS54, VAMP2, GOLGA4, SNX9, NMNAT2, SLC11A2, YIPF4, FUT9, PCSK1N, LAMP2, SLC9A7, RAB21, CLTC, TRAPPC9, DENND5A, STX8, CCDC91, RBFOX1, ECPAS
