Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.566596405764886	-3.2181311412782216	<0.0001	<0.0001	PL21
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.47682699366257303	-3.0342927284282606	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4499835696252588	-2.942824864815111	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.48393174018625	-2.9028923532669832	<0.0001	<0.0001	U937
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.497437935144176	-2.870566843740965	<0.0001	<0.0001	U937
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.4467817446672566	-2.8687214919422397	<0.0001	<0.0001	NEU
LJP007_NPC.CAS9_24H:D19	DB06616	Bosutinib	-0.464506227877532	-2.8661970761679005	<0.0001	<0.0001	NPC.CAS9
CPC006_THP1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.46102199611750283	-2.844166851870945	<0.0001	<0.0001	THP1
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4866406991083317	-2.8363397322331663	<0.0001	<0.0001	NPC.CAS9
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.48294817153616104	-2.835095572733709	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A20	DB11740	MK-1775	-0.3982526847275486	-2.8022273565049947	<0.0001	<0.0001	NEU
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.40135421667902066	2.7846049384848484	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.46993278101009167	-2.7508532290578427	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.3977906564703388	2.746373590303243	<0.0001	<0.0001	NEU
LJP007_NEU_24H:H10	DB09053	Ibrutinib	0.4002062283104183	2.705464009275776	<0.0001	<0.0001	NEU
LJP008_NPC.TAK_24H:P13	DB11662	Rabusertib	-0.43103660713767283	-2.679855849879293	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:O06	DB07101	PD-0325901	0.3654722096349579	2.6729541944263704	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.44780029003970795	2.6721810013152485	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.43478488516765423	-2.6603743715310957	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:D19	DB06616	Bosutinib	-0.40775497137008976	-2.657219586053361	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:A11	DB07232	Veliparib	0.3850694116774558	2.651250935422126	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:F13	DB12247	AZD-4547	-0.40833196222405066	-2.6466569298187337	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:P13	DB05294	Vandetanib	-0.42338755651909654	-2.6346521234067484	<0.0001	<0.0001	NPC.CAS9
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.4148146824991733	-2.628379652643783	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.4182784331887671	2.601549986209194	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.4348484181239044	2.6006279379028663	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:N14	DB09330	Osimertinib	0.41795328518647507	2.5962326593341234	<0.0001	<0.0001	NEU
LJP009_NEU_24H:D24	DB13061	MLN8054	-0.3953890980447006	-2.594767454278538	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D23	DB06616	Bosutinib	-0.40154361702970287	-2.592045091403729	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K24	DB01590	Everolimus	-0.3777404200850875	-2.587091265616937	<0.0001	<0.0001	NEU
LJP007_NEU_24H:E01	DB11743	Ipatasertib	-0.38238018225529735	-2.575375685715009	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4410789689567557	-2.5748132011284555	<0.0001	<0.0001	NOMO1
CPC006_WSUDLCL2_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4052705582338324	-2.571604099037903	<0.0001	<0.0001	WSUDLCL2
LJP007_NEU_24H:I11	DB06589	Pazopanib	0.37208514588874136	2.5675542981270967	<0.0001	<0.0001	NEU
LJP008_NEU_24H:O04	DB07101	PD-0325901	0.39628037146509226	2.565778324140537	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A18	DB12742	Amuvatinib	-0.36977186881797375	-2.5651333781066485	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.4522547527508942	-2.5467774949781563	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D24	DB06616	Bosutinib	-0.41686504613529507	-2.539818687691213	<0.0001	<0.0001	NEU
LJP007_NEU_24H:C04	DB11800	Tivozanib	-0.38985361254304146	-2.5387196495021502	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:P13	DB05294	Vandetanib	-0.38600493228621274	-2.5373988194607944	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:K20	DB01590	Everolimus	0.37775108530707663	2.5322756033012634	<0.0001	<0.0001	NEU
LJP009_NEU_24H:E22	DB08901	Ponatinib	-0.3932522618495742	-2.5297355576426104	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A26711594-003-06-4:10	DB00622	Nicardipine	0.4244469679812157	2.521716433638007	<0.0001	<0.0001	U937
LJP008_NEU_24H:M05	DB02709	Resveratrol	0.37200034686641614	2.521539251428401	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:I24	DB13005	Rebastinib	0.4168440491355912	2.512393982161454	<0.0001	<0.0001	JURKAT
LJP008_NEU_24H:N07	DB02665	(1R,2S)-2-Phenylcyclopropanaminium	0.38562052133899644	2.509353492628855	<0.0001	<0.0001	NEU
LJP008_NEU_24H:M06	DB02709	Resveratrol	0.3913928338340512	2.509313624550536	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B12	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.3647656153837513	-2.4928113895950217	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M10	DB05575	Motesanib	0.333610600332013	2.473529488887849	<0.0001	<0.0001	NEU
