ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB04149	DB00211	(R)-Rolipram	Midodrine	1.6		C	False	False
DB03849	DB00211	Cilomilast	Midodrine	1.6		C	False	False
DB15399	DB00211	BMS-754807	Midodrine	1.6		C	False	False
DB00762	DB01365	Irinotecan	Mephentermine	1.5	L	C	False	False
DB05022	DB01365	Amonafide	Mephentermine	1.5		C	False	False
DB01030	DB01365	Topotecan	Mephentermine	1.5	L	C	False	False
DB00773	DB01365	Etoposide	Mephentermine	1.5	L	C	False	False
DB00694	DB01365	Daunorubicin	Mephentermine	1.5	L	C	False	False
DB01030	DB04599	Topotecan	Aniracetam	1.5	L	N	False	False
DB04599	DB03880	Aniracetam	Batimastat	1.5	N		False	False
DB00762	DB04599	Irinotecan	Aniracetam	1.5	L	N	False	False
DB00380	DB01365	Dexrazoxane	Mephentermine	1.5	V	C	False	False
DB08597	DB01365	Dorsomorphin	Mephentermine	1.5		C	False	False
DB03880	DB00211	Batimastat	Midodrine	1.5		C	False	False
DB05266	DB00211	Ibudilast	Midodrine	1.425	R	C	False	False
DB02659	DB00211	Cholic Acid	Midodrine	1.4226190476190474	A	C	False	False
DB08597	DB00575	Dorsomorphin	Clonidine	1.4166666666666665		C, N, S	False	False
DB00692	DB03849	Phentolamine	Cilomilast	1.375	C, V		False	False
DB09202	DB03849	Cirazoline	Cilomilast	1.375			False	False
DB04149	DB09202	(R)-Rolipram	Cirazoline	1.375			False	False
DB04149	DB00692	(R)-Rolipram	Phentolamine	1.375		C, V	False	False
DB08597	DB00800	Dorsomorphin	Fenoldopam	1.35		C	False	False
DB08597	DB00925	Dorsomorphin	Phenoxybenzamine	1.3375		C	False	False
DB00211	DB00820	Midodrine	Tadalafil	1.3333333333333333	C	C, G	False	False
DB00862	DB00211	Vardenafil	Midodrine	1.3333333333333333	G	C	False	False
DB00203	DB00211	Sildenafil	Midodrine	1.3333333333333333	G	C	False	False
DB04599	DB07080	Aniracetam	TO-901317	1.2999999999999998	N		False	False
DB00762	DB00575	Irinotecan	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB00694	DB00575	Daunorubicin	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB00575	DB03849	Clonidine	Cilomilast	1.2916666666666665	C, N, S		False	False
DB00773	DB00575	Etoposide	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB00380	DB00575	Dexrazoxane	Clonidine	1.2916666666666665	V	C, N, S	False	False
DB08597	DB01614	Dorsomorphin	Acepromazine	1.2916666666666665		N	False	False
DB04149	DB00575	(R)-Rolipram	Clonidine	1.2916666666666665		C, N, S	False	False
DB01030	DB00575	Topotecan	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB05022	DB00575	Amonafide	Clonidine	1.2916666666666665		C, N, S	False	False
DB04599	DB00211	Aniracetam	Midodrine	1.2857142857142856	N	C	False	False
DB02659	DB00692	Cholic Acid	Phentolamine	1.275952380952381	A	C, V	False	False
DB02659	DB09202	Cholic Acid	Cirazoline	1.275952380952381	A		False	False
DB04599	DB08175	Aniracetam	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	1.2619047619047619	N		False	False
DB01622	DB03880	Thioproperazine	Batimastat	1.25	N		False	False
DB08597	DB07997	Dorsomorphin	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.25			False	False
DB08597	DB07996	Dorsomorphin	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.25			False	False
DB07863	DB00575	2-chloro-5-nitro-N-phenylbenzamide	Clonidine	1.25		C, N, S	False	False
DB08901	DB00211	Ponatinib	Midodrine	1.2444444444444445	L	C	False	False
DB01054	DB00211	Nitrendipine	Midodrine	1.2428571428571429	C	C	False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB05022	DB00925	Amonafide	Phenoxybenzamine	1.2374999999999998		C	False	False
DB00762	DB00925	Irinotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB00925	DB03849	Phenoxybenzamine	Cilomilast	1.2374999999999998	C		False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB01030	DB00925	Topotecan	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB01030	DB00598	Topotecan	Labetalol	1.2333333333333334	L	C	False	False
DB05022	DB00598	Amonafide	Labetalol	1.2333333333333334		C	False	False
DB08597	DB01136	Dorsomorphin	Carvedilol	1.2333333333333334		C	False	False
DB00380	DB00598	Dexrazoxane	Labetalol	1.2333333333333334	V	C	False	False
DB00694	DB00598	Daunorubicin	Labetalol	1.2333333333333334	L	C	False	False
DB08597	DB00598	Dorsomorphin	Labetalol	1.2333333333333334		C	False	False
DB00762	DB00598	Irinotecan	Labetalol	1.2333333333333334	L	C	False	False
DB00773	DB00598	Etoposide	Labetalol	1.2333333333333334	L	C	False	False
DB05266	DB09202	Ibudilast	Cirazoline	1.2305555555555554	R		False	False
DB05266	DB00692	Ibudilast	Phentolamine	1.2305555555555554	R	C, V	True	False
DB07080	DB00211	TO-901317	Midodrine	1.2222222222222223		C	False	False
DB03496	DB00211	Alvocidib	Midodrine	1.2142857142857144		C	False	False
DB00393	DB00211	Nimodipine	Midodrine	1.2115384615384617	C	C	False	False
DB00692	DB15399	Phentolamine	BMS-754807	1.2083333333333335	C, V		False	False
DB09202	DB15399	Cirazoline	BMS-754807	1.2083333333333335			False	False
DB00762	DB00692	Irinotecan	Phentolamine	1.2083333333333335	L	C, V	False	False
DB01030	DB00692	Topotecan	Phentolamine	1.2083333333333335	L	C, V	False	False
DB08597	DB09202	Dorsomorphin	Cirazoline	1.2083333333333335			False	False
DB01030	DB09202	Topotecan	Cirazoline	1.2083333333333335	L		False	False
DB00762	DB09202	Irinotecan	Cirazoline	1.2083333333333335	L		False	False
DB08597	DB00679	Dorsomorphin	Thioridazine	1.2083333333333335		N	False	False
DB08597	DB00692	Dorsomorphin	Phentolamine	1.2083333333333335		C, V	False	False
DB02659	DB00575	Cholic Acid	Clonidine	1.205026455026455	A	C, N, S	False	False
DB00773	DB00211	Etoposide	Midodrine	1.2000000000000002	L	C	False	False
DB00762	DB00211	Irinotecan	Midodrine	1.2000000000000002	L	C	False	False
DB07996	DB00211	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	Midodrine	1.2000000000000002		C	False	False
DB07997	DB00211	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	Midodrine	1.2000000000000002		C	False	False
DB01030	DB00211	Topotecan	Midodrine	1.2000000000000002	L	C	False	False
DB00694	DB00211	Daunorubicin	Midodrine	1.2000000000000002	L	C	False	False
DB08597	DB04513	Dorsomorphin	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	1.2000000000000002			False	False
DB08597	DB00211	Dorsomorphin	Midodrine	1.2000000000000002		C	False	False
DB00380	DB00211	Dexrazoxane	Midodrine	1.2000000000000002	V	C	False	False
DB05022	DB00211	Amonafide	Midodrine	1.2000000000000002		C	False	False
DB00630	DB00211	Alendronic acid	Midodrine	1.2	M	C	False	False
DB11800	DB00211	Tivozanib	Midodrine	1.1948051948051948	L	C	False	False
DB02659	DB03849	Cholic Acid	Cilomilast	1.1853002070393375	A		False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB06589	DB00211	Pazopanib	Midodrine	1.1807692307692308	L	C	False	False
DB07557	DB00211	3,20-Pregnanedione	Midodrine	1.1785714285714284		C	False	False
DB01030	DB00875	Topotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB08597	DB00875	Dorsomorphin	Flupentixol	1.1749999999999998		N	False	False
DB00762	DB00875	Irinotecan	Flupentixol	1.1749999999999998	L	N	True	False
DB08175	DB00211	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Midodrine	1.166666666666667		C	False	False
DB08597	DB04599	Dorsomorphin	Aniracetam	1.1666666666666665		N	False	False
DB08597	DB08073	Dorsomorphin	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	1.1666666666666665			False	False
DB08597	DB07859	Dorsomorphin	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	1.1666666666666665			False	False
DB08597	DB08162	Dorsomorphin	Fasudil	1.1666666666666665		C	False	False
DB00762	DB01614	Irinotecan	Acepromazine	1.1666666666666665	L	N	False	False
DB07863	DB00211	2-chloro-5-nitro-N-phenylbenzamide	Midodrine	1.1666666666666665		C	False	False
DB00575	DB15399	Clonidine	BMS-754807	1.1666666666666665	C, N, S		False	False
DB08597	DB08756	Dorsomorphin	Y-27632	1.1666666666666665			False	False
DB04513	DB00211	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	Midodrine	1.1666666666666665		C	False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB01092	DB00211	Ouabain	Midodrine	1.1666666666666665	C	C	False	False
DB04599	DB07997	Aniracetam	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	1.1666666666666665	N		False	False
DB01030	DB01614	Topotecan	Acepromazine	1.1666666666666665	L	N	False	False
DB08175	DB00875	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Flupentixol	1.162878787878788		N	False	False
