# Reference distribution mean: 0.4318995993439935 and standard deviation: 1.6411041100522987
# Threshold: 0.49
# 21.49% of reference distribution below threshold, 21.56% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB02235	-7.859026979751538	-5.052041810334212	L-methionine (R)-S-oxide
DB12274	-7.859026979751538	-5.052041810334212	Aducanumab
DB05150	-7.859026979751538	-5.052041810334212	CAD106
DB09148	-7.859026979751538	-5.052041810334212	Florbetaben (18F)
DB05938	-7.859026979751538	-5.052041810334212	Edonerpic
DB05846	-7.859026979751538	-5.052041810334212	Mito-4509
DB09149	-7.859026979751538	-5.052041810334212	Florbetapir (18F)
DB06782	-7.859026979751538	-5.052041810334212	Dimercaprol
DB03754	-7.859026979751538	-5.052041810334212	Tromethamine
DB05088	-7.859026979751538	-5.052041810334212	Tetrathiomolybdate
DB00746	-7.859026979751538	-5.052041810334212	Deferoxamine
DB09151	-7.859026979751538	-5.052041810334212	Flutemetamol (18F)
DB11963	-7.445417556701687	-4.800010619554567	Dacomitinib
DB12202	-7.445417556701687	-4.800010619554567	Zalutumumab
DB00317	-7.445417556701687	-4.800010619554567	Gefitinib
DB07602	-7.445417556701687	-4.800010619554567	S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
DB16640	-7.445417556701687	-4.800010619554567	Almonertinib
DB11737	-7.445417556701687	-4.800010619554567	Icotinib
DB01269	-7.445417556701687	-4.800010619554567	Panitumumab
DB11828	-7.445417556701687	-4.800010619554567	Neratinib
DB05424	-7.445417556701687	-4.800010619554567	Canertinib
DB05524	-7.445417556701687	-4.800010619554567	Pelitinib
DB05374	-7.445417556701687	-4.800010619554567	Rindopepimut
DB09559	-7.445417556701687	-4.800010619554567	Necitumumab
DB16390	-7.445417556701687	-4.800010619554567	Mobocertinib
DB13164	-7.445417556701687	-4.800010619554567	Olmutinib
DB09330	-7.445417556701687	-4.800010619554567	Osimertinib
DB05101	-7.445417556701687	-4.800010619554567	Matuzumab
DB11942	-7.247792581767846	-4.679588658678762	Selinexor
DB03276	-7.007600613951853	-4.533228676795383	4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid
DB00061	-7.007600613951853	-4.533228676795383	Pegademase
DB03749	-7.00397413672268	-4.531018897898992	4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole
DB07601	-7.00397413672268	-4.531018897898992	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol
DB04505	-7.00397413672268	-4.531018897898992	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB04254	-7.00397413672268	-4.531018897898992	8-Benzo[1,3]Dioxol-,5-Ylmethyl-9-Butyl-2-Fluoro-9h-Purin-6-Ylamine
DB03137	-7.00397413672268	-4.531018897898992	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine
DB03093	-7.00397413672268	-4.531018897898992	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine
DB07317	-7.00397413672268	-4.531018897898992	(3E)-3-[(phenylamino)methylidene]dihydrofuran-2(3H)-one
DB08786	-7.00397413672268	-4.531018897898992	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine
DB08787	-7.00397413672268	-4.531018897898992	4-(2,4-dichlorophenyl)-5-phenyldiazenyl-pyrimidin-2-amine
DB08788	-7.00397413672268	-4.531018897898992	3,6-DIAMINO-5-CYANO-4-(4-ETHOXYPHENYL)THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE
