GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:1900242	regulation of synaptic vesicle endocytosis	12	0.004511278195488722	5.161904761904762	1.8354335174239692e-07	6.524426321054733e-05	4.185457668902082	0.0022183049491586093	PRKN, OPHN1, LRRK2, CALM3, PPP3CB, ACTB, BTBD9, ACTG1, SYT11, RAC1, ROCK1, PPP3CC
GO:0072583	clathrin-dependent endocytosis	16	0.006015037593984963	4.27192118226601	7.355941358194e-08	3.06565197431492e-05	4.513477149616546	0.0008890390725513269	SGIP1, GAS7, CLTC, PICALM, FNBP1L, AP2B1, DNAJC6, MAGI2, FCHSD2, CLTA, SCYL2, LMBRD1, INPP5F, SNAP91, CANX, FCHO2
GO:0048813	dendrite morphogenesis	18	0.006766917293233083	3.8714285714285714	8.421097526710864e-08	3.306836299417736e-05	4.480587303731367	0.001017773847078275	GABRB3, DSCAM, ELAVL4, TMEM106B, FARP1, RERE, PICALM, ITGB1, CTNNA2, ABI1, BTBD3, FYN, SLC11A2, SLITRK5, MEF2A, MAP2, RAC1, KLF7
GO:0048812	neuron projection morphogenesis	27	0.010150375939849625	2.8637964774951077	1.5870344576276634e-07	5.994030767152481e-05	4.222281032166108	0.001918089845488794	PPP1R12B, GABRB3, NRXN1, PAK1, MAP4K4, UGT8, NEGR1, LRRK2, MYO16, TRIO, NCKAP1, VPS54, SHTN1, TAOK3, PPP1R12A, DICER1, GAS7, NLGN1, BMP7, SRGAP2, TNIK, GPM6A, PRICKLE1, ATP9A, SGK1, RAC1, KDM1A
GO:0050804	modulation of chemical synaptic transmission	42	0.015789473684210527	2.7327731092436975	3.505740406269938e-10	2.8246919033452316e-07	6.549028914914989	4.237037855017847e-06	NXPH1, GRIK1, PTPRD, GRIA4, NLGN4X, DLGAP1, CSPG5, ITGB1, BTBD9, PTN, GRM5, GRID1, PXK, AKAP7, NTNG1, NRG3, PLPPR4, NPTN, PRKN, PPP3CA, CACNA1A, UBE3A, LRRK2, FYN, PAFAH1B1, CFL1, JAK2, PRKAR2B, EPHB1, GRIK2, RPS6KB1, GRIA3, GRIK4, ADCY8, CDKL5, NLGN1, TNR, LRRC4C, GRID2, RTN4, GRIA2, CDH11
GO:0070936	protein K48-linked ubiquitination	34	0.012781954887218045	2.7139911634756997	1.993320007676184e-08	1.09505752785338e-05	4.9605630649581	0.00024091265612774358	CDC27, UBE2H, HACE1, MYCBP2, TTC3, SKP1, ASB3, ANAPC10, RFFL, UBE2D3, RNF115, ITCH, KLHL3, CUL3, RNF216, HUWE1, UBR5, NT5C2, PRKN, FBXO38, FBXO9, UBE3A, UBE2K, UBE2E3, BTRC, CUL1, PELI1, ANAPC5, FBXO7, UBE2G2, UBE3C, RNF146, UBE2E2, UBE2E1
GO:0010976	positive regulation of neuron projection development	39	0.014661654135338346	2.672313527180784	3.09030380506625e-09	1.9657585151595106e-06	5.706469834405803	3.7349411788030694e-05	ATP1B2, CNTN1, FIG4, NTRK3, ABL2, APOE, LRRC7, DDR1, SERPINI1, DMD, DPYSL3, SETX, CBFA2T2, SHOC2, NPTN, RAPGEF1, FBXO38, KAT2B, NEGR1, SCARB2, PRKD1, ADNP, RYK, FUT9, FYN, KIDINS220, EP300, RIT2, ARHGAP35, RAPGEF2, TOX, NTRK2, ARSB, MAGI2, TMEM30A, DISC1, PTN, RAP1A, PLPPR5
GO:0000209	protein polyubiquitination	52	0.019548872180451128	2.6315592903828198	1.507450738827706e-11	1.7493250593554275e-08	7.757129482478266	1.8219049629471656e-07	SHPRH, UBE2V1, UBE2H, FBXL17, UBE2W, RC3H2, SASH1, LNPEP, HLTF, TNKS, FBXL7, WSB1, DZIP3, UBE2D3, CUL4B, RNF115, ITCH, TRIM2, KLHL3, CUL3, HUWE1, MKRN3, UBR5, SPOP, PRKN, C10orf90, NPEPPS, KLHL42, CTNNB1, RC3H1, UBE3A, UBE2K, TRIP12, BTRC, HECTD2, PELI1, UBE4A, TNKS2, TPP2, UBE4B, UBE2N, SMURF1, UBE3D, UBE2G2, UBE3C, PIK3R1, PELI2, RNF111, RNF180, FBXW11, SKP1, UBE2E1
GO:0051056	regulation of small GTPase mediated signal transduction	39	0.014661654135338346	2.580952380952381	9.473316948017844e-09	5.7247254316871835e-06	5.242245338047058	0.00011449450863374366	RALGAPB, ARHGEF28, ARHGAP6, ARHGAP20, SRGAP3, ARHGAP21, KALRN, DOCK3, ARHGEF11, ARHGAP32, STARD13, ARHGAP31, TIAM2, ARHGEF9, SPATA13, CHN1, ARHGEF4, ARHGEF3, ARHGAP22, ARHGAP10, DLC1, FAM13B, TRIO, ARHGAP5, ARHGAP15, RALGAPA1, ARHGAP35, MYO9A, ITSN1, ARHGAP26, ARHGEF10, VAV3, FAM13A, SRGAP2, TIAM1, SIPA1L1, ARHGEF12, RALGAPA2, AKAP13
GO:0001764	neuron migration	44	0.016541353383458645	2.5809523809523807	1.091343536876919e-09	7.758810580408495e-07	6.110204850643517	1.3189977986694443e-05	MAP1B, NEO1, AUTS2, YWHAE, CHL1, USP9X, MEF2C, SDCCAG8, ASCL1, FZD3, ASTN1, NAV1, DCX, KIAA0319L, DNER, ABI2, DAB1, CEP85L, CTNNB1, PCM1, LARGE1, NRCAM, FYN, PAFAH1B1, ASTN2, TUBA1A, RAPGEF2, SH3RF1, DCC, HSP90AA1, MARK1, NTRK2, MYH10, CDKL5, SPOCK1, ABI1, GPM6A, APBB2, ADGRL3, LRP12, DISC1, NTRK3, TOP2B, RAC1
