GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0030136	clathrin-coated vesicle	31	0.011654135338345865	3.1582706766917292	1.2108718718872496e-09	8.476103103210748e-08	7.0718037691765385	2.2885478378669018e-06	PIK3C2A, AAK1, LMBRD1, VAMP2, AFTPH, ASTN1, DNAJC6, RNF216, EPN2, MYO6, SORT1, ADAM10, SGIP1, BTBD8, DENND1B, AP1G1, PICALM, CLTA, SCYL2, ASTN2, SNAP91, SNX9, VPS41, GAS7, CLTC, VTI1A, DENND1A, SCAMP1, CLINT1, HEATR5B, FCHO2
GO:0098839	postsynaptic density membrane	45	0.016917293233082706	2.92797118847539	5.490243034855673e-12	5.188279667938611e-10	9.284976621838359	1.0376559335877221e-08	NEO1, GRIK1, GRIA4, SHISA6, NLGN4Y, NLGN4X, GSG1L, SLC16A7, CLSTN1, ELFN2, LRRTM2, ERBB4, RGS7BP, NETO2, GRM5, GRID1, NECTIN3, PLPPR4, ADGRB3, NETO1, ADAM22, NRCAM, NSG2, ASIC2, RYK, CSMD2, DLG1, DLG2, TMEM108, GRIN2B, DCC, PTPRO, GRIK2, GRIA3, GRIK4, NTM, IQSEC1, SORCS3, LRRTM3, ATP2B2, SLITRK5, LRRC4C, IGSF21, GRID2, GRIA2
GO:1904115	axon cytoplasm	24	0.009022556390977444	2.9035714285714285	5.700222442349585e-07	2.7624154912924914e-05	4.5587109991807635	0.0010773420416040715	KIF5C, AGTPBP1, DST, ZC3H14, HIF1A, RAB21, KIF21A, AP3S2, AGBL4, SPAST, NETO1, AP3B1, UCHL1, OPA1, PAFAH1B1, DLG2, TMEM108, RAB27B, DYNC1H1, KIF1B, KIF5B, ARL8B, FBXW11, KIF3A
GO:0043197	dendritic spine	55	0.020676691729323307	2.8774131274131274	5.850402121088354e-14	8.505584622197683e-12	11.070295830262047	1.1057260008856989e-10	MAP1B, GABRB3, APBA1, GRIA4, SEPTIN11, SYT11, GABBR1, DNM3, KCND3, DGKI, OPHN1, GPHN, ARHGAP32, DOCK10, ITGB1, FXR1, GRM5, GRID1, ABI2, ANKS1B, APP, NEGR1, PPP3CA, MT3, CRIPT, ASIC2, HOMER1, CFL1, PRKAR2B, ZMYND8, PTEN, CPEB4, PTPRO, PPFIA2, ITSN1, PDE4B, NTRK2, GRIA3, MYH10, FARP1, NLGN1, SRGAP2, SIPA1L1, KCNN2, ATP1A2, SLC1A1, DIP2A, GPM6A, TANC2, CTTNBP2, KCND2, STRN, GRID2, SLC8A3, GRIA2
GO:0098685	Schaffer collateral - CA1 synapse	37	0.013909774436090226	2.864857142857143	8.47887491527252e-10	6.410029435946026e-08	7.193139976122435	1.6025073589865064e-06	CALM3, PTPRD, ACTB, APBA1, GABBR1, GSG1L, FBXL20, SLC16A7, ITGB1, RAP2A, LRRTM2, GRM5, PPP3R1, ATG5, NTNG1, ROCK1, PLPPR4, CTNNB1, CASK, PPP3CA, SYN2, NETO1, EEA1, RAB11A, FYN, ACTG1, PAFAH1B1, DCC, ADCY8, SNX27, TNR, SLC1A1, LRRC4C, PTN, GRIA2, GABRB1, CDH11
GO:0014069	postsynaptic density	93	0.03496240601503759	2.7802537231108655	2.0344969922112075e-21	5.49314187897026e-19	18.260179183709727	3.845199315279182e-18	SYT1, DTNB, SLC8A1, DNM3, KALRN, ATP1A1, CLSTN1, DROSHA, NETO2, RPS19, SYN2, PDLIM5, TMEM108, RTN3, GRIK2, ADCY8, IQSEC1, CAMK2D, SRGAP2, ABI1, DISC1, EGLN1, SLC8A3, MAP1B, GOPC, PLEKHA5, PRNP, DNAJC6, USP8, RPS18, ADD1, ANKS1B, RTN1, NETO1, PAK2, PTEN, GRIN2B, BMPR2, PAK3, STRN, SOS1, IGSF9B, GPSM2, EIF3E, CPEB3, DLGAP1, LRRC7, TSC1, CNKSR2, PKP4, CTNNA2, MPDZ, SH3KBP1, ARHGEF9, PRKN, PJA2, NEGR1, CRIPT, FYN, HOMER1, DLG1, ABLIM1, PPFIA2, PDE4B, NLGN1, MAGI2, PRICKLE1, RTN4, GRIA2, SHISA6, SYT11, SPTBN1, DGKI, PPP1R9A, GPHN, OPCML, PRICKLE2, ARHGAP32, HNRNPD, ADAM10, NPTN, ADD3, DLG2, CPEB4, NTRK2, EPS8, SORCS3, SPOCK1, MIB1, SIPA1L1, KPNA1, CTNND2, PSD3
GO:0098982	GABA-ergic synapse	39	0.014661654135338346	2.7204633204633204	1.7176777199155593e-09	1.1194520312553128e-07	6.950994511292146	3.246410890640407e-06	GABRB3, CLCN3, KIF5C, NXPH1, SLC4A10, SLC6A1, IGSF9B, CDH10, CACNA2D1, PCDH17, GABBR1, PLCB1, ERC2, KCND3, NRXN1, NLGN4X, GPHN, CSPG5, LRRTM2, ERBB4, SH3KBP1, LAMP5, ARHGEF9, FUS, GRID1, GAD1, GLRB, GNAO1, CACNA2D3, SLITRK2, PTPRO, NLGN1, NSF, PIK3C3, ATP2B2, MKLN1, KCND2, DISC1, GABRB1
GO:0098978	glutamatergic synapse	191	0.07180451127819548	2.6361599185128592	3.841318210384188e-39	2.4200304725420383e-36	35.61617916543546	7.260091417626115e-36	NEO1, ACTB, SYT1, GUCY1B1, KIFAP3, GABBR1, ZDHHC17, PLCB1, NRXN1, BCAN, OPHN1, FBXL20, THY1, CACNB4, CLSTN1, CSPG5, DOCK10, DROSHA, LRRTM2, ERBB4, NETO2, STXBP1, SACM1L, SYT17, PLPPR4, ARHGAP22, ELMOD1, LRRK2, UBE3A, SYN2, EFR3A, PPP3CA, AP2B1, RYK, DSTN, CNNM2, CFL1, PPP2R1A, TMEM108, GRIK2, RPS6KB1, ADCY8, GRIK4, SRGAP2, ERBIN, PIK3C3, ATP2B2, TNIK, STAU2, CTTNBP2, PRUNE2, LRRC4C, DISC1, EGLN1, PIAS1, MAP1B, NXPH1, APBA1, DOCK1, CNTN1, FXYD6, OGT, CDH10, FLRT2, NOS1AP, ATP2B4, NF1, FZD3, PLEKHA5, ATAD1, CNIH3, PCDH9, RGS7, USP14, USP8, PPP2R2A, FXR1, FUS, ATG5, NTNG1, ANKS1B, APPL1, CTNNB1, YWHAZ, NETO1, EEA1, PAK2, NRCAM, DOCK4, NSG2, GNAO1, ADAM23, SNAP25, CSMD2, PRKAR2B, PUM2, PTPRO, MARK1, MYH10, FARP1, PDE10A, CDKL5, SNX27, CADPS, PAK3, ATP8A1, LRRTM3, ATP2B1, GPM6A, SLC1A2, SOS1, NTRK3, CBLB, RAC1, CDH11, CLCN3, GRIK1, BRINP1, PTPRD, PCDH17, AKAP9, GSG1L, CLASP2, PPP3CC, DLGAP1, SLC16A7, ITGB1, BTBD9, CNKSR2, SH3KBP1, GRM5, GSK3B, PPP3R1, NRG3, PRKN, PJA2, PPP3CB, CRIPT, PRKAR1A, RAB11A, FYN, HOMER1, JAK2, DLG1, PPFIA2, NLGN1, TNR, SPARCL1, KCND2, ADGRL3, PRICKLE1, IL1RAP, RTN4, RAP1A, VWC2, ELMO1, DAAM1, SHISA6, NCDN, ERC2, SPTBN1, IL1RAPL1, DGKI, NLGN4X, PCDH7, APOE, ARHGAP32, RABEP1, CUL3, RGS7BP, HNRNPD, GRID1, MAPK14, AGO2, DAB1, ADAM10, NAPB, TRIO, CALY, PAFAH1B1, EPHB1, SLITRK2, ITSN1, EPS8, BRAF, NEDD4, SORCS3, MIB1, WASL, GRID2, KPNA1
GO:0030027	lamellipodium	60	0.022556390977443608	2.432311144353029	2.135021429255647e-11	1.9215192863300822e-09	8.716355252154774	4.035190501293173e-08	WASF1, PKD2, FER, ACTR3, ACTB, PKN2, APC, SNX2, RDX, RAPH1, PABPC1, PAK1, PHACTR4, PTPRM, ITGB1, CTNNA2, TSC1, ARHGEF7, CTNNA1, CCDC88A, KLHL2, ARHGAP31, TIAM2, DPYSL3, SPATA13, ABI2, ENAH, ROCK1, PLCE1, CTNNB1, SNX1, PIK3CA, PLEKHH2, MTSS2, NCKAP1, CFL1, ARHGEF6, SHTN1, SH3RF1, PTPN13, ABLIM1, PTPRO, CDC42BPA, ITSN1, RAB3IP, CDH2, MYH10, ANKRD28, CAPRIN1, SRGAP2, ABI1, EVL, PALLD, WASL, APBB2, UNC5C, SORBS2, CTNNA3, RAC1, RUFY3
GO:0000151	ubiquitin ligase complex	37	0.013909774436090226	2.4278450363196127	2.1363450309315895e-07	1.0912681374218119e-05	4.962068525035058	0.0004037692108460704	ARIH1, RNF19A, UBE2V1, MYCBP2, DCUN1D1, RNF144A, WDR26, FBXL7, FBXL3, FBXW4, CAND1, RANBP9, WWP2, FBXL4, UBR1, SUGT1, PRKN, ANKIB1, ARMC8, UBR2, FBXO9, FBXO11, UBE4A, UBR3, UBE4B, FBXO7, UBE2N, NEDD4, FBXL5, UBE3D, LMO7, MKLN1, FBXO21, SMURF2, FBXW11, SKP1, UBE2E1
