ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB01030	DB11278	Topotecan	DL-Methylephedrine	1.8333333333333335	L		False	False
DB11278	DB00694	DL-Methylephedrine	Daunorubicin	1.2333333333333334		L	False	False
DB01030	DB00679	Topotecan	Thioridazine	1.0833333333333335	L	N	False	False
DB00436	DB11278	Bendroflumethiazide	DL-Methylephedrine	1.0833333333333335	C, G		False	False
DB07374	DB11278	Anisomycin	DL-Methylephedrine	1.0833333333333335			False	False
DB06075	DB11278	Linsitinib	DL-Methylephedrine	1.0333333333333337			False	False
DB11278	DB00780	DL-Methylephedrine	Phenelzine	1.019047619047619		N	True	False
DB00780	DB00679	Phenelzine	Thioridazine	1.0036630036630036	N	N	True	False
DB01030	DB06075	Topotecan	Linsitinib	1.0	L		False	False
DB01030	DB04338	Topotecan	SB220025	1.0	L		False	False
DB01030	DB00518	Topotecan	Albendazole	1.0	L	P	False	False
DB01092	DB00694	Ouabain	Daunorubicin	1.0	C	L	False	False
DB00518	DB01092	Albendazole	Ouabain	1.0	P	C	False	False
DB07374	DB01092	Anisomycin	Ouabain	1.0		C	False	False
DB01030	DB01092	Topotecan	Ouabain	1.0	L	C	False	False
DB00518	DB00694	Albendazole	Daunorubicin	1.0	P	L	False	False
DB06075	DB00518	Linsitinib	Albendazole	1.0		P	False	False
DB04338	DB00518	SB220025	Albendazole	1.0		P	False	False
DB11278	DB01092	DL-Methylephedrine	Ouabain	1.0		C	False	False
DB04338	DB07374	SB220025	Anisomycin	1.0			False	False
DB06075	DB01092	Linsitinib	Ouabain	1.0		C	False	False
DB06075	DB00694	Linsitinib	Daunorubicin	1.0		L	False	False
DB03496	DB00694	Alvocidib	Daunorubicin	1.0		L	False	False
DB07374	DB08877	Anisomycin	Ruxolitinib	1.0		L	False	False
DB08877	DB00694	Ruxolitinib	Daunorubicin	1.0	L	L	False	False
DB08877	DB00518	Ruxolitinib	Albendazole	1.0	L	P	False	False
DB08877	DB01092	Ruxolitinib	Ouabain	1.0	L	C	False	False
DB01234	DB11278	Dexamethasone	DL-Methylephedrine	0.9833333333333334	C, H, D, S, R, A		False	False
DB00458	DB00694	Imipramine	Daunorubicin	0.963141025641026	N	L	False	False
DB00679	DB00694	Thioridazine	Daunorubicin	0.9583333333333335	N	L	False	False
DB06075	DB00679	Linsitinib	Thioridazine	0.9583333333333335		N	False	False
DB01030	DB02546	Topotecan	Vorinostat	0.8999999999999999	L	L	True	False
DB01234	DB08877	Dexamethasone	Ruxolitinib	0.8999999999999999	C, H, D, S, R, A	L	False	False
DB01234	DB00694	Dexamethasone	Daunorubicin	0.8999999999999999	C, H, D, S, R, A	L	True	False
DB01234	DB06075	Dexamethasone	Linsitinib	0.8999999999999999	C, H, D, S, R, A		False	False
DB00780	DB00694	Phenelzine	Daunorubicin	0.8968253968253967	N	L	False	False
DB01115	DB00694	Nifedipine	Daunorubicin	0.8875000000000002	C	L	False	False
DB06075	DB00458	Linsitinib	Imipramine	0.8862179487179489		N	False	False
DB01030	DB00458	Topotecan	Imipramine	0.8862179487179489	L	N	False	False
DB00588	DB00694	Fluticasone propionate	Daunorubicin	0.875		L	True	False
DB08059	DB01092	Wortmannin	Ouabain	0.875		C	False	False
DB06075	DB00588	Linsitinib	Fluticasone propionate	0.875			False	False
DB08059	DB04338	Wortmannin	SB220025	0.875			False	False
DB01030	DB08059	Topotecan	Wortmannin	0.875	L		True	False
DB07374	DB00694	Anisomycin	Daunorubicin	0.8666666666666667		L	False	False
DB06075	DB07374	Linsitinib	Anisomycin	0.8666666666666667			False	False
DB01030	DB07374	Topotecan	Anisomycin	0.8666666666666667	L		False	False
DB11278	DB02546	DL-Methylephedrine	Vorinostat	0.8583333333333334		L	False	False
DB01065	DB01092	Melatonin	Ouabain	0.8538461538461537	N	C	False	False
DB11278	DB00588	DL-Methylephedrine	Fluticasone propionate	0.8511904761904763			False	False
DB01065	DB11278	Melatonin	DL-Methylephedrine	0.8410256410256407	N		False	False
DB04216	DB11278	Quercetin	DL-Methylephedrine	0.840740740740741			False	False
DB04216	DB01092	Quercetin	Ouabain	0.8407407407407408		C	False	False
DB02424	DB01092	Geldanamycin	Ouabain	0.8333333333333335		C	False	False
DB11278	DB00518	DL-Methylephedrine	Albendazole	0.8333333333333335		P	False	False
DB02424	DB00694	Geldanamycin	Daunorubicin	0.8333333333333335		L	False	False
DB03496	DB11278	Alvocidib	DL-Methylephedrine	0.8333333333333335			False	False
DB07374	DB00679	Anisomycin	Thioridazine	0.8333333333333335		N	False	False
DB01030	DB02424	Topotecan	Geldanamycin	0.8333333333333335	L		False	False
DB00679	DB00518	Thioridazine	Albendazole	0.8333333333333335	N	P	False	False
DB00679	DB01092	Thioridazine	Ouabain	0.8333333333333335	N	C	False	False
DB04338	DB11278	SB220025	DL-Methylephedrine	0.8333333333333335			False	False
DB08877	DB11278	Ruxolitinib	DL-Methylephedrine	0.8333333333333335	L		False	False
