	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB04690	camptothecin	Investigated for the treatment of cancer.	TOP1	-3.856582545990357	4.916603015101278e-36
1	DB01030	topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	TOP1, TOP1MT	-1.7552064585777978	9.829072432815327e-30
2	DB02424	geldanamycin		HSP90AB1, HSP90B1, HSP90AA1	-4.326428076522169	1.2416409847453015e-20
3	DB08059	wortmannin		PIK3R1, PIK3CA, PLK1, PIK3CG	-1.7139690482272507	2.1555999382916846e-17
4	DB12442	alvespimycin	Investigated for use as an antineoplastic agent for solid tumors, advanced solid tumours or acute myeloid leukaemia. 	HSP90AA1	-4.531018897898992	2.1764032587898367e-15
5	DB05814	IPI-145	Investigated for use/treatment in erectile dysfunction and parkinson's disease.	FKBP1A	-3.3707587430220407	1.8357196405745192e-14
6	DB09241	methylene-blue	"Indicated for the treatment of pediatric and adult patients with acquired methemoglobinemia. 

Other clinical applications of methylene blue include improvement of hypotension associated with various clinical states, an antiseptic in urinary tract infections, treatment of hypoxia and hyperdynamic circulation in cirrhosis of liver and severe hepatopulmonary syndrome, and treatment of ifofosamide induced neurotoxicity."	GUCY1A2, NOS1	-0.839121339016201	1.8357196405745192e-14
7	DB04216	quercetin		PIK3CG, NR1I2, ACTB, UGT3A1, UBA1, HCK, ESR1, SF3B3, ESR2, NQO2, CYP1B1, RUVBL2, AHR, STK17B, CEBPB, PIM1, CSNK2B, HSP90AA1, CSNK2A1, HIBCH, EIF3F, SHBG, CBR1, HSPA2, ATP5F1C, ATP5F1A, ATP5F1B	-0.6184634628314802	1.8357196405745192e-14
8	DB00273	topiramate	"Topiramate is indicated  for the following conditions: 1)Monotherapy for partial onset or primary generalized tonic-clonic seizures for patients 2 years of age and above 2)Adjunctive therapy for partial onset seizures or primary generalized tonic-clonic seizures for both adult and pediatric patients above 2 years old 3)Adjunctive therapy for seizures associated with Lennox-Gastaut syndrome in patients above 2 years of age 4)Prophylaxis of migraine in children 12 years of age and older and adults.[L10544]

Topiramate is also used off-label as an adjunct therapy for weight management[L10550] and for mood disorders.[A188312]"	GRIK1, CA1, CACNA1E, SCN1A, CA3, CA4, CACNA1C, CA2, GABRA1	-0.2993823910004752	1.8357196405745192e-14
9	DB01041	thalidomide	For the acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL). Also for use as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrence.	CRBN, PTGS2, FGFR2, NFKB1, TNF, ORM1	-0.294483175046987	5.545763858008852e-14
10	DB00436	bendroflumethiazide	For the treatment of high blood pressure and management of edema related to heart failure.	SLC12A3, KCNMA1, CA4, CA1, CA2	-0.1902006544036242	5.545763858008852e-14
11	DB01234	dexamethasone	Dexamethasone and [ciprofloxacin] otic suspension is indicated for bacterial infections with inflammation in acute otitis media and acute otitis externa.[L10698] Intramuscular and intravenous injections are indicated for a number of endocrine, rheumatic, collagen, dermatologic, allergic, ophthalmic, gastrointestinal, respiratory, hematologic, neoplastic, edematous, and other conditions.[L10701] Oral tablets are indicated for the treatment of multiple myeloma.[L10710] An intravitreal implant is indicated for some forms of macular edema and non-infectious posterior uveitis affecting the posterior of the eye.[L10719] Various ophthalmic formulations are indicated for inflammatory conditions of the eye.[L10704,L10707,L10713,L10716,L10722,L10725]	ANXA1, NR1I2, NOS2, NR0B1, NR3C1	-0.6216166324299551	4.3945199169947813e-13
12	DB01115	nifedipine	Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina.[L11383] Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.[L11389,L1245]	CACNA1S, NR1I2, CACNB2, CACNA1D, CACNA1G, CALM1, KCND3, CACNA1C	-1.1433468946118406	1.2300531409734806e-12
