GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0098839	postsynaptic density membrane	14	0.046822742474916385	8.103875663977965	2.0572504620487106e-09	5.554576247531519e-07	6.255349067304288	3.888203373272063e-06	NETO2, SHISA9, GRIK2, DCC, SORCS3, LRRTM3, ASIC2, NRCAM, GRIA4, PLPPR4, GRM5, KCNH1, NTM, NLGN4Y
GO:0030424	axon	39	0.13043478260869565	6.473336825563122	1.4322812471981234e-20	2.707011557204453e-17	16.567509890066432	2.707011557204453e-17	SEPTIN11, PPFIA2, SLC4A10, SEMA3A, SACS, SYT11, CNTNAP2, NCAM2, PCLO, DCC, NCDN, KIRREL3, TENM3, SCN2A, SLC1A2, IQCJ-SCHIP1, KCNH1, SCN1A, UCHL1, CNTN1, GAP43, GAD2, FXR1, DTNBP1, ADORA2A, IGF1R, NRCAM, SCN8A, GABRA2, NMNAT2, UNC80, GRIK2, DGKI, ATL1, MAP7, STXBP1, KIF21A, PAFAH1B1, CADM2
GO:0042734	presynaptic membrane	13	0.043478260869565216	6.091688849452824	2.4015217779569036e-07	5.043195733709497e-05	4.297294175917739	0.0004538876160338548	CNTN1, GRIK2, GAD2, PPFIA2, RGS7, FXYD6, ADORA2A, SLC1A2, SNCAIP, KCNH1, VAMP2, CNTNAP2, KCTD8
GO:0014069	postsynaptic density	19	0.06354515050167224	5.053188879275836	8.746545424936827e-09	2.066371356641325e-06	5.684791626839981	1.65309708531306e-05	NETO2, PPFIA2, NEGR1, CPEB3, SYT11, SHISA9, PCLO, SORCS3, SYN2, GAP43, DTNBP1, DAPK1, SOS1, GRIK2, CTNND2, DNAJC6, DGKI, PRNP, ABLIM1
GO:0098794	postsynapse	16	0.05351170568561873	4.730159185841216	3.2856593983483607e-07	5.9814085090966134e-05	4.223196535794217	0.0006209896262878401	NCDN, FRRS1L, DGKI, FXR1, SLC4A10, PRNP, CPEB3, STXBP1, ELMO1, GABRA2, PPP3R1, GABRA4, PIK3C3, WASF1, KCTD8, SRGAP3
GO:0045211	postsynaptic membrane	16	0.05351170568561873	4.709944830346168	3.4812430476223676e-07	5.9814085090966134e-05	4.223196535794217	0.0006579549360006275	CNTN1, SHISA9, GRIK2, LRRTM3, GABRB1, RGS7, FXYD6, ADORA2A, DTNBP1, NRCAM, GRIA4, SYNE1, GABRA2, GRM5, GABRA4, KCTD8
GO:0098978	glutamatergic synapse	37	0.12374581939799331	4.5430818116240115	1.4809825889105486e-14	9.330190310136455e-12	11.030109497754124	2.7990570930409368e-11	NETO2, PPFIA2, SEMA3A, PPP3R1, CNTNAP2, ATP8A1, TNIK, SHISA9, PCLO, NCDN, CACNB4, SORCS3, LRRTM3, RGS7, FXYD6, SLC1A2, APOE, SYN2, GRM5, CNTN1, PRUNE2, TENM4, FXR1, DTNBP1, ADORA2A, NRCAM, PLPPR4, ELMO1, DAPK1, CDKL5, SOS1, GRIK2, DGKI, STXBP1, PAFAH1B1, PIK3C3, CALY
GO:0043005	neuron projection	23	0.07692307692307693	4.513697129081745	2.0495573137739953e-09	5.554576247531519e-07	6.255349067304288	3.873663323032851e-06	NCAM1, CPEB3, SYT11, PLPPR1, NCAM2, NCDN, CADM1, TENM3, RGS7, FAT3, GRM5, RGS6, ASIC2, TENM4, FXR1, DTNBP1, CYFIP2, NRCAM, CDH2, VAMP2, SYNPR, PAFAH1B1, CHL1
GO:0030425	dendrite	30	0.10033444816053512	4.341361962845339	1.6833973686234714e-11	6.363242053396723e-09	8.196321556183058	3.181621026698361e-08	EPHA6, NEGR1, SLC4A10, CPEB3, GRIA4, SACS, SYT11, CNTNAP2, NCDN, KIRREL3, GABRB1, RABGEF1, FAT3, RGS7, APOE, GRM5, KCNH1, NLGN4Y, GAP43, LAMP5, FXR1, ADORA2A, GABRA2, GRIK2, CTNND2, DGKI, PRNP, KIF21A, SORBS2, CHL1
GO:0045202	synapse	46	0.15384615384615385	4.185753480337364	1.4964046798702008e-16	1.4141024224773397e-13	12.84951913374576	2.8282048449546795e-13	NETO2, SEPTIN11, SLC4A10, CPEB3, CLU, SYT11, PPP3R1, IGSF11, SEPTIN2, CNTNAP2, CACNA1E, ATP8A1, SHISA9, GPC6, PCLO, CADM1, CACNB4, LRRTM3, FAM171B, OLFM3, SLC1A2, SYN2, NLGN4Y, CNTN1, GAP43, GAD2, FRRS1L, ASIC2, CYFIP2, CNTNAP5, NRCAM, CDH2, PHACTR1, VAMP2, SRGAP3, SNTG1, NMNAT2, GRIK2, SGCZ, DGKI, DNAJC6, SYNPR, SORBS2, WASF1, CADM2, TIAM1
GO:0005886	plasma membrane	128	0.4280936454849498	1.7264571612312565	7.276888177057525e-12	3.4383296636596805e-09	8.463652485925723	1.3753318654638722e-08	NCAM1, GRIA4, SYT11, IGSF11, PPP3R1, ZNF655, GPC6, MIF, CADM1, LRRTM3, FXYD6, ITGB8, SLC1A2, IQCJ-SCHIP1, SCN3A, GABRA4, SLC44A1, FRRS1L, CDH12, KCNQ5, CSMD3, CD47, IGF1R, NRCAM, AFDN, CDH2, GABRA2, SOS1, GRIK2, CTNND2, SGCZ, SLC9A7, PRKACB, CHL1, CALY, TIAM1, PTPRJ, UNC5D, NEGR1, ATP1B1, KCNIP4, SEMA3A, SGCD, PLPPR1, RAB3C, SEPTIN2, ASTN1, NCAM2, ATP8A1, SNAP91, CACNB4, EFNA5, SCN2A, TENM3, SYN2, SORBS1, GAP43, LAMP5, NKTR, ASIC2, TENM4, DTNBP1, DOCK3, PLPPR4, ELMO1, FMN2, CDH4, SCN8A, PCDH11X, UNC80, RNF144A, PCDH10, PRNP, RAPGEF6, CADM2, RYR2, SLC4A10, ADCY5, LRRC8D, DCC, GABRB1, KIRREL3, RGS7, FAT3, THSD7A, GRM5, KCNH1, RGS6, SCN1A, NBEA, REPS2, TSPAN7, ATP6V0C, DGKI, PIP4K2A, STXBP1, PIK3C3, NKAIN3, EPHA6, CARMIL1, CLU, RNASEK, SPPL3, NTM, CNTNAP2, CACNA1E, CALM2, TAOK3, SORCS3, GAS7, APOE, NLGN4Y, UCHL1, CNTN1, LIFR, CDH9, GAD2, CNTNAP5, ADORA2A, PRKG1, NKAIN2, VAMP2, DAPK1, SNTG1, GRB10, WDPCP, PLCG2, SORBS2
