GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0010850	EEG with spike-wave complexes	8	0.026755852842809364	11.979642285880471	2.9041425029627114e-07	9.637069009024972e-05	4.016055031113503	0.002987491392797741	DMXL2, CACNB4, SCN8A, SCN2A, PRNP, PAFAH1B1, CDKL5, SCN1A
HP:0010818	Generalized tonic seizure	10	0.033444816053511704	10.762959866220735	2.712764562093475e-08	1.2133134369676338e-05	4.9160269927349045	0.00027906209050255576	DMXL2, CACNB4, SCN8A, SCN2A, SLC1A2, STXBP1, CHD2, PAFAH1B1, CDKL5, SCN1A
HP:0011097	Epileptic spasm	11	0.03678929765886288	10.239356413269459	9.324651035516984e-09	5.995167825147701e-06	5.222198655014607	9.592268520236321e-05	GRIK2, NCDN, SCN2A, SYNJ1, ST3GAL3, SLC1A2, STXBP1, CHD2, PHACTR1, SCN8A, SCN1A
HP:0032792	Tonic seizure	12	0.04013377926421405	9.958979731635573	2.7171365279781324e-09	3.063409964231693e-06	5.513794879364005	2.7951183463311048e-05	DMXL2, GRIK2, ATP6V0C, KCNQ5, SCN2A, SYNJ1, ST3GAL3, CHD2, PHACTR1, CNTNAP2, SCN8A, SCN1A
HP:0200134	Epileptic encephalopathy	18	0.06020066889632107	9.611573461927355	5.08991609480987e-13	3.1175159910255124e-09	8.506191310168159	5.235996686730913e-09	DMXL2, FRRS1L, SCN8A, KCNQ5, SCN2A, SYNJ1, CYFIP2, ST3GAL3, GABRB1, STXBP1, SLC1A2, CHD2, SCN3A, PHACTR1, PAFAH1B1, CDKL5, SCN1A, CACNA1E
HP:0010819	Atonic seizure	12	0.04013377926421405	8.610367892976589	1.48162301906686e-08	7.257836189114661e-06	5.139192838142409	0.0001524145599714079	DMXL2, GRIK2, FRRS1L, ATP6V0C, SCN2A, ST3GAL3, STXBP1, CHD2, PAFAH1B1, CNTNAP2, CDKL5, SCN1A
HP:0100660	Dyskinesia	20	0.06688963210702341	7.528190507520515	2.7129822046054853e-12	9.302815979592208e-09	8.031385569802778	2.7908447938776625e-08	STX16, ADCY5, SCN2A, SYNJ1, NDUFA13, SLC1A2, MT-ND4, MT-ND2, SCN3A, SCN1A, UCHL1, CYFIP2, CDKL5, GABRA2, SCN8A, DMXL2, UNC80, DNAJC6, STXBP1, MT-ND3
HP:0002384	Focal impaired awareness seizure	13	0.043478260869565216	7.163826086956521	3.512159317424663e-08	1.505399287431146e-05	4.822348293871557	0.0003612958289834751	GRIK2, FRRS1L, ATP6V0C, KCNQ5, SCN2A, STXBP1, CDH2, SCN3A, PAFAH1B1, FMN2, CNTNAP2, SCN8A, SCN1A
HP:0000736	Short attention span	15	0.05016722408026756	6.934524477565038	4.819678226526263e-09	3.8138484550981287e-06	5.418636567824419	4.958002991627567e-05	UCHL1, GRIK2, DNAJC6, SCN2A, SYNJ1, PRNP, GRIA4, BBS9, MT-ND4, SYNE1, DISP1, WDPCP, FOXP1, SNRPN, SCN1A
HP:0004305	Involuntary movements	13	0.043478260869565216	6.442289646543634	1.2456814994714855e-07	4.5765448518082754e-05	4.339462277036778	0.0012814325585063172	GTF2I, GRIK2, SCN8A, DNAJC6, SYNJ1, CYFIP2, PRNP, SLC1A2, GABRA2, SCN3A, ADCY5, CDKL5, SCN1A
HP:0002072	Chorea	15	0.05016722408026756	6.187090701540065	2.2883239828582542e-08	1.0699994914392208e-05	4.9706164287308585	0.00023539988811662862	FRRS1L, SCN8A, SCN2A, SLC4A10, PRNP, GRIA4, MT-ND4, ATXN7, GABRA2, MT-ND2, MT-ND3, ADCY5, VAMP2, CDKL5, SCN1A
HP:0002521	Hypsarrhythmia	16	0.05351170568561873	5.957443731356776	1.329688176903714e-08	7.136863670634535e-06	5.146492599117617	0.00013678502275808505	DMXL2, SCN8A, SCN2A, SYNJ1, CYFIP2, ST3GAL3, GABRB1, STXBP1, SLC1A2, GABRA2, SCN3A, PHACTR1, PAFAH1B1, CDKL5, SCN1A, CACNA1E
HP:0007359	Focal-onset seizure	15	0.05016722408026756	5.192181644005983	2.330254701473022e-07	7.990443371350992e-05	4.0974291220140575	0.002397133011405298	DMXL2, NBEA, NCDN, CTNND2, FRRS1L, SCN8A, ATP6V0C, SCN2A, MT-ND4, CHD2, SCN3A, VAMP2, CNTNAP2, CDKL5, SCN1A
HP:0002540	Inability to walk	20	0.06688963210702341	5.102440232875016	2.977943000128019e-09	3.063409964231693e-06	5.513794879364005	3.063409964231693e-05	GRIA4, GDAP1, CACNA1E, SCN2A, SYNJ1, SLC1A2, SCN3A, SCN1A, ARL6IP1, DISP1, VAMP2, CDKL5, GABRA2, UNC80, GRIK2, DNAJC6, ST3GAL3, ATL1, STXBP1, SYNE1
HP:0001336	Myoclonus	23	0.07692307692307693	4.904977375565611	4.0847745379983006e-10	6.00286795319836e-07	6.221641209838869	4.202007567238852e-06	CHD2, ADCY5, CACNA1E, CACNB4, SCN2A, SYNJ1, FRMD5, SLC1A2, MT-ND4, SCN3A, APOE, SCN1A, FRRS1L, CYFIP2, PHACTR1, GABRA2, SCN8A, CDKL5, DMXL2, GRIK2, CTNND2, DNAJC6, PRNP
HP:0002421	Poor head control	17	0.056856187290969896	4.85896279437683	9.521345836961048e-08	3.6276327638821594e-05	4.440376684316467	0.000979460846248183	DMXL2, PCLO, SCN8A, SCN2A, SYNJ1, CYFIP2, NDUFA13, SLC1A2, MT-ND2, GABRA2, SCN3A, PHACTR1, MT-ND3, PAFAH1B1, ADCY5, CDKL5, SCN1A
HP:0002353	EEG abnormality	18	0.06020066889632107	4.428189202102246	1.6144917360910885e-07	5.726991892816906e-05	4.242073431677552	0.0016608276489169028	DMXL2, SLC44A1, PAFAH1B1, CTNND2, SNRPN, SCN2A, PRNP, SLC1A2, MT-ND4, CHD2, SYN2, KCNH1, FOXP1, VAMP2, CNTNAP2, CDKL5, SCN1A, CACNA1E
HP:0002069	Bilateral tonic-clonic seizure	22	0.07357859531772576	4.2808608733442925	1.2186945174431448e-08	7.136863670634535e-06	5.146492599117617	0.0001253671050093763	CHD2, CNTNAP2, CACNB4, SCN2A, SYNJ1, SLC1A2, MT-ND4, MT-ND2, CERT1, SCN3A, SCN1A, NBEA, FRRS1L, ADORA2A, SCN8A, CDKL5, DMXL2, GRIK2, ATP6V0C, ST3GAL3, STXBP1, MT-ND3
HP:0002376	Developmental regression	25	0.08361204013377926	4.071095930485384	3.3116208792743306e-09	3.09696763500864e-06	5.509063333232364	3.4066643985095036e-05	SLC4A10, CHD2, CACNA1E, SCN2A, SYNJ1, GABRB1, SLC1A2, MT-ND4, MT-ND2, SCN3A, SCN1A, NBEA, FRRS1L, CYFIP2, PHACTR1, GABRA2, SCN8A, CDKL5, DMXL2, GTF2I, ATP6V0C, STXBP1, MT-ND3, PAFAH1B1, WASF1
HP:0001332	Dystonia	24	0.0802675585284281	3.9361681796464407	1.3256008206994652e-08	7.136863670634535e-06	5.146492599117617	0.000136364556425354	SNCAIP, ADCY5, CNTNAP2, CACNA1E, SCN2A, SYNJ1, FRMD5, MT-ND4, MT-ND2, APOE, SCN1A, SLC44A1, NBEA, UCHL1, PCCA, FRRS1L, MT-ND4L, VAMP2, SCN8A, CDKL5, DMXL2, DNAJC6, STXBP1, MT-ND3
HP:0007018	Attention deficit hyperactivity disorder	24	0.0802675585284281	3.926818611523765	1.3875500477563011e-08	7.136863670634535e-06	5.146492599117617	0.0001427372734126907	TNRC6B, CHD2, CNTNAP2, SNRPN, TNIK, SYNJ1, SLC1A2, SCN3A, SCN1A, NBEA, CYFIP2, SMC5, CDH2, DISP1, GABRA2, SCN8A, GTF2I, GRIK2, THRB, JARID2, SLC9A7, PRNP, FOXP1, TIAM1
HP:0000729	Autistic behavior	25	0.08361204013377926	3.9049287496492466	7.653392390048643e-09	5.248696501095359e-06	5.27994853900749	7.87304475164304e-05	TNRC6B, CHD2, TCF12, CNTNAP2, SNRPN, SETD2, SCN2A, SCN1A, NBEA, FRRS1L, CDH2, PHACTR1, SPECC1L, VAMP2, KMT2C, MEIS2, GABRA2, DMXL2, SCN8A, GRIK2, CDKL5, JARID2, STXBP1, FOXP1, TIAM1
HP:0000739	Anxiety	26	0.08695652173913043	3.868156634425768	4.6080622205582595e-09	3.8138484550981287e-06	5.418636567824419	4.740313606288282e-05	STX16, SLC4A10, TCF12, BBS9, ADCY5, FOXP1, SNRPN, SETD2, MIF, SCN2A, SYNJ1, FRMD5, MT-ND4, SCN1A, UCHL1, IGF1R, SMC5, CDH2, DISP1, SPECC1L, GTF2I, GRIK2, DNAJC6, THRB, PRNP, WDPCP
HP:0000494	Downslanted palpebral fissures	28	0.09364548494983277	3.565106114652044	6.871256080942369e-09	5.0489008074752966e-06	5.296803161526596	7.068461130465414e-05	TNRC6B, MAPRE2, BBS9, DSE, CNTNAP2, FOXP1, SETD2, SYNJ1, SLC1A2, SCN3A, KCNH1, SCN1A, PAFAH1B1, CYFIP2, DOCK3, CDH2, PRKG1, SPECC1L, GABRA2, SCN8A, DMXL2, SOS1, UNC80, LTBP1, CTNND2, JARID2, SLC9A7, WDPCP
HP:0001257	Spasticity	33	0.11036789297658862	3.392741975740029	9.933093329735735e-10	1.277271638537394e-06	5.893716731105841	1.0218173108299152e-05	RAD50, GRIA4, SACS, BBS9, CNTNAP2, FOXP1, PCLO, SCN2A, SYNJ1, FRMD5, SLC1A2, MT-ND4, MT-ND2, SCN3A, SCN1A, UCHL1, FRRS1L, CYFIP2, ARL6IP1, ATXN7, DISP1, GABRA2, SCN8A, CDKL5, DMXL2, UNC80, GTF2I, DNAJC6, PRNP, STXBP1, SYNE1, MT-ND3, WDPCP
HP:0001251	Ataxia	36	0.12040133779264214	2.7400949758864726	4.451224305795754e-08	1.7611440166815737e-05	4.754205128363944	0.0004578974443372092	RAD50, SLC4A10, SEMA3A, CHD2, SACS, BBS9, CNTNAP2, SNRPN, FRMD4A, DCC, CACNB4, SCN2A, SYNJ1, GABRB1, FRMD5, SLC1A2, MT-ND4, MT-ND2, SCN3A, WDPCP, SCN1A, UCHL1, MT-ND4L, CYFIP2, NRCAM, ATXN7, SCN8A, GABRA2, DMXL2, GTF2I, GRIK2, PRNP, STXBP1, SYNE1, MT-ND3, PAFAH1B1
HP:0000750	Delayed speech and language development	53	0.17725752508361203	2.7002928895133675	3.016019672786124e-11	6.205158874790172e-08	7.207247094493797	3.102579437395086e-07	TNRC6B, MAPRE2, IDS, SEMA3A, TCF12, CHD2, DSE, BBS9, ADCY5, CNTNAP2, FOXP1, SNRPN, TNIK, GPC6, SETD2, DCC, NCDN, SCN2A, SYNJ1, TENM3, SLC1A2, SCN3A, SCN1A, SLC44A1, LIFR, NBEA, KCNQ5, CYFIP2, IGF1R, HYDIN, SPECC1L, FMN2, TSPAN7, SCN8A, GABRA2, KMT2C, SOS1, MEIS2, GRIK2, LTBP1, CDKL5, GRB10, CNOT2, ATP6V0C, THRB, SLC9A7, PRNP, STXBP1, PRKACB, WDPCP, WASF1, MTAP, TIAM1
HP:0001249	Intellectual disability	70	0.23411371237458195	2.4867488499571375	6.061079014339481e-13	3.1175159910255124e-09	8.506191310168159	6.235031982051024e-09	TNRC6B, MAPRE2, RAD50, IDS, GRIA4, SEMA3A, TCF12, CHD2, DSE, SACS, BBS9, ADCY5, CNTNAP2, FOXP1, SNRPN, TNIK, GPC6, SETD2, DCC, NCDN, FRMD4A, CACNB4, SCN2A, SYNJ1, TENM3, FRMD5, SLC1A2, CERT1, SCN3A, KCNH1, WDPCP, SCN1A, UCHL1, LIFR, PCCA, FRRS1L, CDKL5, KCNQ5, CYFIP2, IGF1R, NRCAM, ARL6IP1, CDH2, DISP1, PHACTR1, SPECC1L, FMN2, VAMP2, TSPAN7, SCN8A, GABRA2, KMT2C, DMXL2, SOS1, GTF2I, LTBP1, GRIK2, CTNND2, MEIS2, ATP6V0C, DNAJC6, JARID2, ST3GAL3, PRKACB, STXBP1, KIF21A, SYNE1, PAFAH1B1, MTAP, TIAM1
HP:0000006	Autosomal dominant inheritance	74	0.24749163879598662	2.276613574203725	7.439388808460836e-12	1.9132248168159157e-08	7.718233994444277	7.652899267263663e-08	TNRC6B, RYR2, MAPRE2, PTPRJ, STX16, SLC4A10, CHN1, TNS1, SNCAIP, GRIA4, TCF12, SGCD, BBS9, AGBL1, SEMA3A, GDAP1, CHD2, ADCY5, FOXP1, SNRPN, CACNA1E, CALM2, SETD2, DCC, NCDN, CACNB4, SCN2A, GABRB1, FRMD5, SLC1A2, CERT1, SCN3A, SYN2, APOE, KCNH1, WDPCP, RPL26, SCN1A, NBEA, UCHL1, ZFHX3, KCNQ5, TENM4, CYFIP2, IGF1R, WNK1, ATXN7, CDH2, PHACTR1, SPECC1L, PRKG1, VAMP2, SCN8A, GABRA2, KMT2C, DMXL2, SOS1, GRIK2, MEIS2, CNOT2, ATP6V0C, THRB, JARID2, ATL1, PRNP, STXBP1, PRKACB, KIF21A, SYNE1, PAFAH1B1, CTNNA3, PLCG2, WASF1, MTAP
HP:0001263	Global developmental delay	70	0.23411371237458195	2.229221460964813	1.0249031407047057e-10	1.7571964347382178e-07	6.7551796865671365	1.0543178608429308e-06	TNRC6B, MAPRE2, IDS, SLC4A10, CHN1, GRIA4, SEMA3A, TCF12, CHD2, DSE, BBS9, ADCY5, CNTNAP2, FOXP1, SNRPN, GPC6, SETD2, DCC, PCLO, FRMD4A, SCN2A, SYNJ1, TENM3, GABRB1, NDUFA13, FRMD5, SLC1A2, MT-ND4, MT-ND2, CERT1, SCN3A, KCNH1, WDPCP, SCN1A, CNTN1, LIFR, NBEA, PCCA, FRRS1L, KCNQ5, CYFIP2, IGF1R, NRCAM, DOCK3, ATXN7, CDH2, SPECC1L, FMN2, VAMP2, SCN8A, GABRA2, KMT2C, TBC1D32, DMXL2, GRIK2, LTBP1, MEIS2, SOS1, CDKL5, ATP6V0C, GRB10, JARID2, SLC9A7, PRKACB, STXBP1, FNIP1, MT-ND3, PAFAH1B1, MTAP, TIAM1
HP:0000252	Microcephaly	53	0.17725752508361203	2.200600353599803	4.334573133698368e-08	1.7611440166815737e-05	4.754205128363944	0.00044589753826355114	TNRC6B, MAPRE2, RAD50, IDS, SLC4A10, CHN1, GRIA4, SEMA3A, CHD2, TCF12, DSE, CNTNAP2, SNRPN, GPC6, SETD2, DCC, FRMD4A, SCN2A, SYNJ1, SLC1A2, MT-ND2, SCN3A, KCNH1, RPL26, SCN1A, NBEA, LIFR, CDKL5, CYFIP2, IGF1R, NRCAM, SMC5, DISP1, PHACTR1, SPECC1L, SCN8A, GABRA2, KMT2C, TBC1D32, DMXL2, GTF2I, LTBP1, GRIK2, CTNND2, SOS1, MEIS2, UNC80, JARID2, PRKACB, STXBP1, SYNE1, MT-ND3, MTAP
