Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.47373280036726684	-2.470670013306068	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K08547377-003-03-2:10	DB00762	Irinotecan	-0.5140820392784808	-2.395892143022173	<0.0001	<0.0001	NEU
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.5104316406389381	-2.3712515580154268	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4979386906680771	-2.3262413988215593	<0.0001	<0.0001	PL21
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.4887027185376593	-2.2933639134778963	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K52313696-001-08-1:10	DB12291	Tacedinaline	0.46190676587355994	2.275549328855147	<0.0001	<0.0001	NPC
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.44113155503918555	-2.2744710555783283	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:F06	DB12848	PF-04217903	0.48117839545496427	2.252729041065855	<0.0001	<0.0001	JURKAT
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.46445660386301313	-2.2404704244840943	<0.0001	<0.0001	NEU
LJP008_NEU_24H:G24	DB00928	Azacitidine	-0.4918212869386836	-2.2391747952461416	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K81418486:10	DB02546	Vorinostat	-0.4677707722165382	-2.226512399115802	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.45733064169993903	-2.2252943346517022	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:M23	DB12874	Quizartinib	-0.4741881860494687	-2.222431549208109	<0.0001	<0.0001	NPC.TAK
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.39597122877949653	2.217991089827475	<0.0001	<0.0001	NEU
CPC006_SKM1_6H:BRD-K55395145-001-01-7:88.8	DB00642	Pemetrexed	-0.48336221851394445	-2.2132919617069584	<0.0001	<0.0001	SKM1
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.45835003543173897	-2.2064128506721494	<0.0001	<0.0001	NEU
LJP007_NEU_24H:P10	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.4638498900116458	-2.1861517175907235	<0.0001	<0.0001	NEU
LJP009_NEU_24H:H11	DB08912	Dabrafenib	0.46892561411562933	2.180346251942438	<0.0001	<0.0001	NEU
LJP009_NEU_24H:N11	DB08896	Regorafenib	0.4523563507807149	2.1786114318892116	<0.0001	<0.0001	NEU
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.46835591179200725	-2.176723320669521	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.44964811921676984	-2.1722291635880677	<0.0001	<0.0001	NEU
LJP007_NPC.TAK_24H:M14	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE	0.4599968982573007	2.1626599864331912	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.43530268124816246	-2.1597907607224043	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.4341112111596213	2.1577473222974226	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.4296965698042121	-2.156287120873563	<0.0001	<0.0001	NEU
LJP008_NEU_24H:A07	DB07232	Veliparib	0.4244002944431744	2.1533033066536955	<0.0001	<0.0001	NEU
LJP007_NPC_24H:M11	DB05575	Motesanib	-0.4430540368904578	-2.1447334592847076	<0.0001	<0.0001	NPC
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.4036994675189296	-2.1388701128810563	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.45893773432207474	-2.13131804785572	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-K93754473:4.48614	DB00675	Tamoxifen	0.4211231813669078	2.1293649871478157	<0.0001	<0.0001	U937
LJP007_NEU_24H:P11	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.5003300117235397	-2.1244601142531554	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K52751261-001-01-2:10	DB16108	TAK-715	0.4265544453636887	2.1105760112669434	<0.0001	<0.0001	NEU
LJP007_NEU_24H:M20	DB12874	Quizartinib	-0.4547048490801476	-2.1031118634984765	<0.0001	<0.0001	NEU
LJP008_NPC_24H:H14	DB11841	Entinostat	0.4329632949223515	2.0958587353817224	<0.0001	<0.0001	NPC
CPC006_PL21_6H:BRD-K98530306-003-07-6:10	DB00575	Clonidine	-0.44761465414064655	-2.087027652650429	<0.0001	<0.0001	PL21
CPC006_PL21_6H:BRD-K61250553-003-13-2:10	DB00836	Loperamide	0.4265886972247329	2.078071512637985	<0.0001	<0.0001	PL21
AML001_HL60_24H:BRD-K26684619:1.11111	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.403945987902291	-2.0715139821358135	<0.0001	<0.0001	HL60
LJP007_NEU_24H:I23	DB13005	Rebastinib	-0.4432326746186093	-2.0698639937625933	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.4126527646691729	2.068601050490175	<0.0001	<0.0001	NEU
