ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB08597	DB00555	Dorsomorphin	Lamotrigine	1.1076388888888888		N	False	False
DB15399	DB08597	BMS-754807	Dorsomorphin	1.0			False	False
DB08597	DB01069	Dorsomorphin	Promethazine	0.9580419580419581		V, R, D	False	False
DB08597	DB00831	Dorsomorphin	Trifluoperazine	0.9166666666666665		N	False	False
DB15399	DB02587	BMS-754807	Colforsin	0.875			False	False
DB08597	DB02587	Dorsomorphin	Colforsin	0.875			False	False
DB08597	DB00313	Dorsomorphin	Valproic acid	0.8131313131313131		N	False	False
DB15399	DB00555	BMS-754807	Lamotrigine	0.7743055555555554		N	False	False
DB15399	DB00313	BMS-754807	Valproic acid	0.7222222222222223		N	False	False
DB08597	DB08080	Dorsomorphin	Latrunculin B	0.7000000000000002			False	False
DB15399	DB00831	BMS-754807	Trifluoperazine	0.6666666666666665		N	False	False
DB15399	DB01069	BMS-754807	Promethazine	0.6503496503496504		V, R, D	False	False
DB11781	DB00555	Tosedostat	Lamotrigine	0.5520833333333335		N	False	False
DB15399	DB08080	BMS-754807	Latrunculin B	0.5			False	False
DB08597	DB11781	Dorsomorphin	Tosedostat	0.5			False	False
DB15399	DB11781	BMS-754807	Tosedostat	0.5			False	False
DB01069	DB11781	Promethazine	Tosedostat	0.45804195804195813	V, R, D		False	False
DB00313	DB02587	Valproic acid	Colforsin	0.4433760683760686	N		False	False
DB02587	DB00555	Colforsin	Lamotrigine	0.39375000000000004		N	False	False
DB08080	DB02587	Latrunculin B	Colforsin	0.375			False	False
DB08597	DB01103	Dorsomorphin	Quinacrine	0.33333333333333326		P	False	False
DB15399	DB01103	BMS-754807	Quinacrine	0.33333333333333326		P	False	False
DB00313	DB00831	Valproic acid	Trifluoperazine	0.3222222222222222	N	N	True	False
DB08080	DB01069	Latrunculin B	Promethazine	0.2987012987012989		V, R, D	False	False
DB00831	DB11781	Trifluoperazine	Tosedostat	0.2916666666666665	N		False	False
DB00313	DB00555	Valproic acid	Lamotrigine	0.2809722222222224	N	N	False	False
DB01069	DB02587	Promethazine	Colforsin	0.26893939393939403	V, R, D		False	False
DB00313	DB01069	Valproic acid	Promethazine	0.24949494949494944	N	V, R, D	False	False
DB08080	DB00313	Latrunculin B	Valproic acid	0.22222222222222232		N	False	False
DB00313	DB11781	Valproic acid	Tosedostat	0.22222222222222232	N		False	False
DB08080	DB00555	Latrunculin B	Lamotrigine	0.21875		N	False	False
DB01103	DB00555	Quinacrine	Lamotrigine	0.20997807017543857	P	N	False	False
DB02587	DB01103	Colforsin	Quinacrine	0.20833333333333326		P	False	False
DB08597	DB00564	Dorsomorphin	Carbamazepine	0.20000000000000018		N	False	False
DB00831	DB02587	Trifluoperazine	Colforsin	0.1416666666666666	N		False	False
DB01069	DB01103	Promethazine	Quinacrine	0.13203463203463217	V, R, D	P	True	False
DB08080	DB00831	Latrunculin B	Trifluoperazine	0.05555555555555536		N	False	False
DB11781	DB02587	Tosedostat	Colforsin	0.04166666666666674			False	False
DB15399	DB00564	BMS-754807	Carbamazepine	0.0		N	False	False
DB08080	DB11781	Latrunculin B	Tosedostat	0.0			False	False
DB00831	DB01103	Trifluoperazine	Quinacrine	-0.11111111111111116	N	P	True	False
DB00313	DB01103	Valproic acid	Quinacrine	-0.11111111111111138	N	P	False	False
DB00564	DB02587	Carbamazepine	Colforsin	-0.125	N		False	False
DB08080	DB01103	Latrunculin B	Quinacrine	-0.16666666666666696		P	False	False
DB11781	DB01103	Tosedostat	Quinacrine	-0.16666666666666696		P	False	False
DB00831	DB00555	Trifluoperazine	Lamotrigine	-0.25094696969696995	N	N	False	False
DB01069	DB00555	Promethazine	Lamotrigine	-0.2576809764309764	V, R, D	N	False	False
DB00831	DB01069	Trifluoperazine	Promethazine	-0.31194295900178237	N	V, R, D	False	False
DB01069	DB00564	Promethazine	Carbamazepine	-0.3441558441558439	V, R, D	N	False	False
DB00564	DB00555	Carbamazepine	Lamotrigine	-0.38651315789473695	N	N	False	False
DB00831	DB00564	Trifluoperazine	Carbamazepine	-0.44444444444444464	N	N	False	False
DB08080	DB00564	Latrunculin B	Carbamazepine	-0.5		N	False	False
DB00564	DB11781	Carbamazepine	Tosedostat	-0.5	N		False	False
DB00564	DB01103	Carbamazepine	Quinacrine	-0.666666666666667	N	P	False	False
DB00313	DB00564	Valproic acid	Carbamazepine	-0.7777777777777777	N	N	False	False
