# Reference distribution mean: 1.5144205842878784 and standard deviation: 0.7199932172480409
# Threshold: 0.86
# 2.37% of reference distribution below threshold, 2.95% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB08574	-5.69035945432406	-10.006733210835039	(5R)-2-sulfanyl-5-[4-(trifluoromethyl)benzyl]-1,3-thiazol-4(5H)-one
DB05897	-5.572154032177765	-9.842557466793867	rhIGFBP-3
DB12250	-5.572154032177765	-9.842557466793867	Cixutumumab
DB05023	-5.572154032177765	-9.842557466793867	ATL1101
DB07474	-5.572154032177765	-9.842557466793867	3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE
DB07156	-5.572154032177765	-9.842557466793867	(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione
DB06343	-5.572154032177765	-9.842557466793867	Teprotumumab
DB04069	-5.2832037287379885	-9.441233820240358	5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine
DB07444	-5.2832037287379885	-9.441233820240358	6-(3-AMINOPROPYL)-4,9-DIMETHYLPYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE
DB02728	-5.164785973923514	-9.276763166937412	7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester
DB07888	-5.164785973923514	-9.276763166937412	3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER
DB08334	-5.164785973923514	-9.276763166937412	3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME
DB01880	-5.164785973923514	-9.276763166937412	3,4-Dihydroxycinnamic Acid
DB08333	-5.164785973923514	-9.276763166937412	4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME
DB08335	-5.164785973923514	-9.276763166937412	4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME
DB02311	-5.099866427824198	-9.186596281272223	Methyl Methylsulfinylmethyl Sulfide
DB02888	-5.099866427824198	-9.186596281272223	FKB-001
DB04094	-5.099866427824198	-9.186596281272223	4-hydroxybutan-2-one
DB08520	-5.099866427824198	-9.186596281272223	(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE
DB01951	-5.099866427824198	-9.186596281272223	Gpi-1046
DB01712	-5.099866427824198	-9.186596281272223	(3R)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-L-phenylalanine ethyl ester
DB00864	-5.099866427824198	-9.186596281272223	Tacrolimus
DB04012	-5.099866427824198	-9.186596281272223	(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine
DB03621	-5.099866427824198	-9.186596281272223	L-709,587
DB01723	-5.099866427824198	-9.186596281272223	{3-[3-(3,4-Dimethoxy-Phenyl)-1-(1-{1-[2-(3,4,5-Trimethoxy-Phenyl)-Butyryl]-Piperidin-2yl}-Vinyloxy)-Propyl]-Phenoxy}-Acetic Acid
DB05814	-5.099866427824198	-9.186596281272223	GPI-1485
DB03181	-4.605170185988091	-8.499511694938292	2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione
DB02106	-4.605170185988091	-8.499511694938292	[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid
DB07425	-4.605170185988091	-8.499511694938292	Sobetirome
DB03788	-4.605170185988091	-8.499511694938292	GC-24
DB05192	-4.605170185988091	-8.499511694938292	MB07811
DB08085	-4.605170185988091	-8.499511694938292	1-(4-HEXYLPHENYL)PROP-2-EN-1-ONE
DB03604	-4.605170185988091	-8.499511694938292	Tiratricol
DB02282	-4.382026634673881	-8.18958717625031	5'-S-methyl-5'-thioadenosine
DB02158	-4.382026634673881	-8.18958717625031	(2S,3S,4R,5S)-2-(4-Amino-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol
DB02281	-4.382026634673881	-8.18958717625031	Formycin
DB02933	-4.382026634673881	-8.18958717625031	5'-Deoxy-5'-(Methylthio)-Tubercidin
DB02661	-4.204692619390966	-7.943287612539528	Adenosine-5'-diphosphate-2',3'-vanadate
DB03708	-4.204692619390966	-7.943287612539528	Adenosine 5'-phosphosulfate
DB08770	-3.6888794541139363	-7.226873689574293	4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol
DB05191	-3.6888794541139363	-7.226873689574293	Atl146e
DB06213	-3.6888794541139363	-7.226873689574293	Regadenoson
DB00358	-3.6888794541139363	-7.226873689574293	Mefloquine
DB14132	-3.6888794541139363	-7.226873689574293	8-chlorotheophylline
DB04853	-3.6888794541139363	-7.226873689574293	Binodenoson
DB05009	-3.6888794541139363	-7.226873689574293	Apadenoson
DB02852	-3.58351893845611	-7.080538261498269	Domoic Acid
DB03425	-3.58351893845611	-7.080538261498269	2s,4r-4-Methylglutamate
DB12733	-3.4657359027997265	-6.916949170886312	Dipraglurant
DB05070	-3.4657359027997265	-6.916949170886312	ADX10059
DB13520	-2.833213344056216	-6.038437341065	Metergoline
DB13908	-2.833213344056216	-6.038437341065	Amylmetacresol
DB05232	-2.647779888101991	-5.780888448225441	Tetrodotoxin
DB09342	-2.5649493574615367	-5.6658449607922545	Propoxycaine
DB09345	-2.5649493574615367	-5.6658449607922545	Pramocaine
DB13269	-2.5649493574615367	-5.6658449607922545	Dichlorobenzyl alcohol
DB09088	-2.5649493574615367	-5.6658449607922545	Amylocaine
DB01121	-2.5649493574615367	-5.6658449607922545	Phenacemide
DB01438	-2.5649493574615367	-5.6658449607922545	Phenazopyridine
DB00776	-2.5649493574615367	-5.6658449607922545	Oxcarbazepine
