GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0098839	postsynaptic density membrane	14	0.046822742474916385	8.103875663977965	2.0572504620487106e-09	5.554576247531519e-07	6.255349067304288	3.888203373272063e-06	NTM, SORCS3, NRCAM, ASIC2, KCNH1, SHISA9, GRIA4, LRRTM3, NETO2, GRM5, NLGN4Y, DCC, GRIK2, PLPPR4
GO:0030424	axon	39	0.13043478260869565	6.473336825563122	1.4322812471981234e-20	2.707011557204453e-17	16.567509890066432	2.707011557204453e-17	CADM2, PCLO, SLC4A10, SEPTIN11, KIRREL3, CNTN1, NCDN, SYT11, SCN1A, CNTNAP2, DGKI, GAP43, DTNBP1, KIF21A, FXR1, GAD2, STXBP1, NRCAM, IGF1R, ADORA2A, KCNH1, UCHL1, PAFAH1B1, SCN8A, NCAM2, SACS, SEMA3A, DCC, SCN2A, GRIK2, PPFIA2, ATL1, TENM3, IQCJ-SCHIP1, MAP7, SLC1A2, GABRA2, UNC80, NMNAT2
GO:0042734	presynaptic membrane	13	0.043478260869565216	6.091688849452824	2.4015217779569036e-07	5.043195733709497e-05	4.297294175917739	0.0004538876160338548	KCTD8, KCNH1, ADORA2A, FXYD6, RGS7, CNTN1, SNCAIP, CNTNAP2, SLC1A2, GAD2, VAMP2, GRIK2, PPFIA2
GO:0014069	postsynaptic density	19	0.06354515050167224	5.053188879275836	8.746545424936827e-09	2.066371356641325e-06	5.684791626839981	1.65309708531306e-05	PCLO, SHISA9, SYT11, DGKI, CPEB3, GAP43, DTNBP1, DNAJC6, PRNP, NETO2, CTNND2, NEGR1, SYN2, ABLIM1, GRIK2, PPFIA2, SORCS3, SOS1, DAPK1
GO:0098794	postsynapse	16	0.05351170568561873	4.730159185841216	3.2856593983483607e-07	5.9814085090966134e-05	4.223196535794217	0.0006209896262878401	WASF1, KCTD8, SLC4A10, GABRA4, ELMO1, FRRS1L, PIK3C3, PRNP, NCDN, SRGAP3, FXR1, PPP3R1, DGKI, STXBP1, GABRA2, CPEB3
GO:0045211	postsynaptic membrane	16	0.05351170568561873	4.709944830346168	3.4812430476223676e-07	5.9814085090966134e-05	4.223196535794217	0.0006579549360006275	GABRA2, KCTD8, GABRA4, NRCAM, GRIA4, ADORA2A, SHISA9, FXYD6, RGS7, SYNE1, LRRTM3, CNTN1, DTNBP1, GRM5, GRIK2, GABRB1
GO:0098978	glutamatergic synapse	37	0.12374581939799331	4.5430818116240115	1.4809825889105486e-14	9.330190310136455e-12	11.030109497754124	2.7990570930409368e-11	PCLO, ELMO1, SHISA9, FXYD6, NCDN, CNTN1, CNTNAP2, DGKI, APOE, CACNB4, DTNBP1, RGS7, NETO2, FXR1, GRM5, PPP3R1, STXBP1, PLPPR4, SYN2, TENM4, NRCAM, CALY, ADORA2A, PAFAH1B1, SEMA3A, GRIK2, PPFIA2, CDKL5, SORCS3, ATP8A1, PIK3C3, LRRTM3, TNIK, PRUNE2, SLC1A2, SOS1, DAPK1
GO:0043005	neuron projection	23	0.07692307692307693	4.513697129081745	2.0495573137739953e-09	5.554576247531519e-07	6.255349067304288	3.873663323032851e-06	CYFIP2, CADM1, NCDN, SYT11, CHL1, VAMP2, CPEB3, RGS6, DTNBP1, RGS7, FXR1, GRM5, PLPPR1, SYNPR, TENM4, NRCAM, ASIC2, FAT3, PAFAH1B1, NCAM2, TENM3, CDH2, NCAM1
GO:0030425	dendrite	30	0.10033444816053512	4.341361962845339	1.6833973686234714e-11	6.363242053396723e-09	8.196321556183058	3.181621026698361e-08	SLC4A10, GRIA4, KIRREL3, NCDN, SYT11, RABGEF1, CHL1, CNTNAP2, NLGN4Y, EPHA6, DGKI, CPEB3, APOE, GAP43, PRNP, RGS7, KIF21A, LAMP5, FXR1, GRM5, NEGR1, ADORA2A, KCNH1, FAT3, SACS, GRIK2, CTNND2, SORBS2, GABRA2, GABRB1
GO:0045202	synapse	46	0.15384615384615385	4.185753480337364	1.4964046798702008e-16	1.4141024224773397e-13	12.84951913374576	2.8282048449546795e-13	WASF1, CNTNAP5, CYFIP2, PCLO, SLC4A10, SNTG1, GPC6, CADM2, OLFM3, CADM1, SHISA9, SEPTIN11, CNTN1, SYT11, SRGAP3, CNTNAP2, NLGN4Y, DGKI, VAMP2, CPEB3, CACNA1E, CACNB4, GAP43, CLU, FRRS1L, DNAJC6, NETO2, SYNPR, PPP3R1, GAD2, SEPTIN2, SGCZ, SYN2, NRCAM, ASIC2, IGSF11, GRIK2, PHACTR1, CDH2, TIAM1, ATP8A1, FAM171B, LRRTM3, SLC1A2, SORBS2, NMNAT2
GO:0005886	plasma membrane	128	0.4280936454849498	1.7264571612312565	7.276888177057525e-12	3.4383296636596805e-09	8.463652485925723	1.3753318654638722e-08	ATP1B1, SNTG1, EFNA5, GRIA4, CADM1, AFDN, CALM2, CHL1, UNC5D, EPHA6, VAMP2, ADCY5, DOCK3, ATP6V0C, CACNB4, CLU, ASTN1, TSPAN7, LAMP5, RAB3C, PLPPR1, SEPTIN2, STXBP1, NKAIN3, PLPPR4, SGCZ, MIF, SYN2, PCDH10, FAT3, SNAP91, TAOK3, GRIK2, CDH4, CDH9, CDH2, NTM, UNC80, IQCJ-SCHIP1, SPPL3, PIK3C3, PRKG1, NBEA, CNTN1, FXYD6, PRKACB, CACNA1E, GAP43, ITGB8, DTNBP1, PRNP, RGS7, ZNF655, GAD2, PTPRJ, RYR2, SLC44A1, NRCAM, IGSF11, KCNH1, IGF1R, SCN8A, LIFR, SEMA3A, DCC, TENM3, ATP8A1, LRRTM3, GRB10, SLC1A2, SOS1, SORBS2, DAPK1, CADM2, RNF144A, SCN1A, PLCG2, CNTNAP2, NLGN4Y, CSMD3, GRM5, SGCD, PPP3R1, PIP4K2A, NEGR1, GABRA4, TENM4, CDH12, LRRC8D, TIAM1, RAPGEF6, RNASEK, SCN3A, CNTNAP5, GPC6, SLC4A10, ELMO1, NKAIN2, KIRREL3, SLC9A7, SYT11, DGKI, THSD7A, APOE, NKTR, FRRS1L, RGS6, KCNIP4, CD47, FMN2, PCDH11X, SORBS1, ASIC2, ADORA2A, CALY, UCHL1, NCAM2, CARMIL1, SCN2A, GAS7, WDPCP, SORCS3, REPS2, KCNQ5, NCAM1, CTNND2, GABRA2, GABRB1
