GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0010850	EEG with spike-wave complexes	8	0.026755852842809364	11.979642285880471	2.9041425029627114e-07	9.637069009024972e-05	4.016055031113503	0.002987491392797741	CACNB4, CDKL5, DMXL2, PRNP, SCN8A, PAFAH1B1, SCN1A, SCN2A
HP:0010818	Generalized tonic seizure	10	0.033444816053511704	10.762959866220735	2.712764562093475e-08	1.2133134369676338e-05	4.9160269927349045	0.00027906209050255576	CACNB4, CDKL5, DMXL2, SCN8A, PAFAH1B1, SCN1A, CHD2, SLC1A2, STXBP1, SCN2A
HP:0011097	Epileptic spasm	11	0.03678929765886288	10.239356413269459	9.324651035516984e-09	5.995167825147701e-06	5.222198655014607	9.592268520236321e-05	ST3GAL3, NCDN, SCN8A, SCN1A, CHD2, SLC1A2, STXBP1, SCN2A, GRIK2, PHACTR1, SYNJ1
HP:0032792	Tonic seizure	12	0.04013377926421405	9.958979731635573	2.7171365279781324e-09	3.063409964231693e-06	5.513794879364005	2.7951183463311048e-05	ST3GAL3, DMXL2, KCNQ5, SCN8A, SCN1A, CHD2, CNTNAP2, SCN2A, GRIK2, PHACTR1, ATP6V0C, SYNJ1
HP:0200134	Epileptic encephalopathy	18	0.06020066889632107	9.611573461927355	5.08991609480987e-13	3.1175159910255124e-09	8.506191310168159	5.235996686730913e-09	SCN3A, CYFIP2, CDKL5, ST3GAL3, FRRS1L, DMXL2, SYNJ1, KCNQ5, SCN8A, PAFAH1B1, SCN1A, CHD2, SLC1A2, STXBP1, SCN2A, GABRB1, PHACTR1, CACNA1E
HP:0010819	Atonic seizure	12	0.04013377926421405	8.610367892976589	1.48162301906686e-08	7.257836189114661e-06	5.139192838142409	0.0001524145599714079	CDKL5, ST3GAL3, FRRS1L, DMXL2, PAFAH1B1, SCN1A, CHD2, CNTNAP2, STXBP1, SCN2A, GRIK2, ATP6V0C
HP:0100660	Dyskinesia	20	0.06688963210702341	7.528190507520515	2.7129822046054853e-12	9.302815979592208e-09	8.031385569802778	2.7908447938776625e-08	SCN3A, CYFIP2, SCN1A, MT-ND3, NDUFA13, ADCY5, DMXL2, MT-ND2, DNAJC6, STX16, STXBP1, SYNJ1, MT-ND4, UCHL1, SCN8A, SCN2A, CDKL5, SLC1A2, GABRA2, UNC80
HP:0002384	Focal impaired awareness seizure	13	0.043478260869565216	7.163826086956521	3.512159317424663e-08	1.505399287431146e-05	4.822348293871557	0.0003612958289834751	CDH2, SCN3A, FRRS1L, KCNQ5, SCN8A, PAFAH1B1, SCN1A, CNTNAP2, FMN2, STXBP1, SCN2A, GRIK2, ATP6V0C
HP:0000736	Short attention span	15	0.05016722408026756	6.934524477565038	4.819678226526263e-09	3.8138484550981287e-06	5.418636567824419	4.958002991627567e-05	BBS9, WDPCP, MT-ND4, GRIA4, PRNP, DNAJC6, UCHL1, SYNE1, SCN1A, SNRPN, FOXP1, SCN2A, GRIK2, DISP1, SYNJ1
HP:0004305	Involuntary movements	13	0.043478260869565216	6.442289646543634	1.2456814994714855e-07	4.5765448518082754e-05	4.339462277036778	0.0012814325585063172	SCN3A, CYFIP2, CDKL5, PRNP, DNAJC6, GTF2I, SCN8A, SCN1A, SLC1A2, GABRA2, GRIK2, ADCY5, SYNJ1
