term	id	nGeneIds	geneSetFdaCountsById.nodes	geneSetHash	pvalue	FDR	oddsRatio	nOverlap	Cell_Line	DrugBank_Name	DrugBank_ID
REP.A025_THP1_24H_A14_chlorpropamide_3.33uM up	92bdadcd-b116-45e4-b559-4ffaf9b362fb	250	[{'approved': True, 'count': 364}]	76ede5b0-e324-525b-89ee-e940a1ad4d3b	7.91252068241274e-13	3.318916690888877e-07	5.842268041237113	25	24H	chlorpropamide	DB00672
PBIOA015_HEPG2_24H_O13_CAY-10594_10uM up	99935577-b721-4f1b-a839-0197bf308703	250	[{'approved': False, 'count': 318}]	5ddcb15e-21ca-58ee-8405-706af60ece0b	7.91252068241274e-13	3.318916690888877e-07	5.842268041237113	25	24H	CAY-10594	DB15026
REP.B012_MDAMB231_24H_N24_raltegravir_0.01uM up	0cb333f1-4232-477d-a8be-7116238ecaca	250	[{'approved': True, 'count': 334}]	d8e7d38f-52df-5e52-988b-be39e7936425	5.7098931968525885e-12	9.580087355145257e-07	5.608577319587629	24	24H	raltegravir	DB06817
LKCP002_U2OS_6H_O15_fasudil_0.02uM up	318b6d50-2f01-4f65-bb58-0028d7cd0171	250	[{'approved': False, 'count': 578}]	ac16f11d-fd99-5f05-acc6-773c9797ae3c	5.7098931968525885e-12	9.580087355145257e-07	5.608577319587629	24	6H	fasudil	DB08162
REP.A010_MCF10A_24H_N11_bemegride_0.125uM up	c73b9f82-e42d-42d5-b5a3-03476989effb	250	[{'approved': False, 'count': 360}]	204d87b9-958a-5042-8c32-e5fedad5d313	5.7098931968525885e-12	9.580087355145257e-07	5.608577319587629	24	24H	bemegride	DB13740
LJP008_MDAMB231_24H_D20_EX-527_3.33uM up	d9eb6f4e-8b4d-4f68-bff1-3e312c483b8a	250	[{'approved': False, 'count': 1116}]	d4352e56-0350-5479-83eb-c861bac82b23	5.7098931968525885e-12	9.580087355145257e-07	5.608577319587629	24	24H	EX-527	DB05879
REP.B012_MDAMB231_24H_L07_caffeine_2.22uM up	bac2ae59-535a-4ba4-b858-4392bf0ca736	250	[{'approved': True, 'count': 618}]	62344436-6e0c-5421-9559-f21e2323772d	5.7098931968525885e-12	9.580087355145257e-07	5.608577319587629	24	24H	caffeine	DB00201
MOAR010_T47D_24H_J20_vernakalant_3.33uM up	26dced52-2580-44e0-b72b-23eda15dfbbb	250	[{'approved': False, 'count': 304}]	d89e3b7b-cd26-5fa8-bfea-ef190ffe2ec3	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	vernakalant	DB06217
REP.B019_YAPC_24H_M13_benazepril_2.22uM up	a4dc5c0c-a5d4-4a9a-a53d-fc1e01d53b31	250	[{'approved': True, 'count': 582}]	db84487d-7413-5723-b644-87289270e183	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	benazepril	DB00542
ASG002_JHH7_24H_G21_chelidonine_0.05uM up	5c7b5347-88fd-471c-a3d4-c3db1e496563	250	[{'approved': False, 'count': 608}]	feae41d4-40a5-5688-819e-cd54c8831f42	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	chelidonine	DB13262
CRCGN016_MCF10A.WT.HP_24H_K16_acetaldehyde_100uM up	dbc0551a-c4fb-4f32-85e4-f6e02b1c03ef	250	[{'approved': False, 'count': 30}]	060d8b98-419d-5a36-a539-531756987706	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	acetaldehyde	DB03776
REP.B012_MDAMB231_24H_D02_ATN-161_0.74uM up	edfcf4e2-2918-4a47-965d-aba73104d3e5	250	[{'approved': False, 'count': 422}]	9a9e9a14-455b-5241-9ceb-894e06fa8da8	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	ATN-161	DB05491
REP.B012_MDAMB231_24H_J04_oxatomide_0.08uM up	406f6c61-84a1-422d-a910-f69b7276d619	250	[{'approved': False, 'count': 300}]	8596c0f0-b017-5196-87b7-09efaa6ecbeb	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	oxatomide	DB12877
ASG002_CJM_24H_D19_rucaparib_10uM up	7aa21747-77a7-46f0-a24b-c3bcf0020181	250	[{'approved': False, 'count': 1098}]	0460ce5f-d08a-5783-bccb-9d86fdca8c1b	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	rucaparib	DB12332
REP.B026_MCF10A_24H_C14_KD-025_0.74uM up	4cf5a1d1-e088-43a8-a22d-51f85775b14a	250	[{'approved': False, 'count': 304}]	35aa623d-7797-5179-b21a-5d4e09cce109	3.9161221020022357e-11	2.7377038513957755e-06	5.374886597938144	23	24H	KD-025	DB07101
ASG002_OVK18_24H_L23_azathioprine_1.11uM up	dfc94d62-a7e5-4e70-af5d-ce2008d3767f	250	[{'approved': True, 'count': 888}]	9385ac25-3ae5-54c0-9dbf-e29645e8c75b	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	azathioprine	DB00993
ASG002_SNU407_24H_L21_simvastatin_0.12uM up	ff122d5e-e097-4c7d-adeb-0ae337459cc1	250	[{'approved': True, 'count': 1300}]	f33a041c-7f8a-5b8b-843a-9124b57e4ba3	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	simvastatin	DB00641
REP.B012_MDAMB231_24H_D10_ticlopidine_0.08uM up	9af3332c-072b-4d0f-ad96-5f981da53ddf	250	[{'approved': True, 'count': 382}]	22fb779e-09b6-5090-968e-776d7c0d4a46	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	ticlopidine	DB00208
REP.B012_MDAMB231_24H_C17_altanserin_0.03uM up	9fde3c14-642e-42de-a38a-c6fca81364c8	250	[{'approved': False, 'count': 362}]	e2928de6-85e3-5b09-bb08-c03de5a12956	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	altanserin	DB12555
REP.B019_MDAMB231_24H_P15_capsaicin_0.25uM up	f830b8c2-b35e-40ec-9a8f-d5505cc33205	250	[{'approved': True, 'count': 558}]	484777f0-448a-52e1-b366-7a25595e9718	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	capsaicin	DB06774
AICHI001_NALM6_24H_B20_trametinib_2.5uM up	6df88360-502c-4ef6-a1e4-620465e00de2	250	[{'approved': True, 'count': 1552}]	c5e6643d-c901-5b80-8cd2-85d01890d2d9	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	trametinib	DB08911
REP.B025_MCF10A_24H_I06_pazopanib_0.01uM up	65b265c2-c8c0-48c8-b7f7-8311257e76cb	250	[{'approved': True, 'count': 1466}]	adb78eff-8219-5b2c-aedf-d1764038d7c8	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	pazopanib	DB06589
AICHI001_SKMEL5_24H_P08_GDC-834_2.5uM up	7d308910-a37f-4c78-a5df-5bcaeab3e76b	250	[{'approved': False, 'count': 204}]	7a92b130-84e3-58be-8633-02b03f78eb6f	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	GDC-834	DB13072
CRCGN017_MCF10A.TP53.M_24H_B21_1-NITROPYRENE_12uM up	01eb051a-fb00-4193-b7e5-fb1b1533d664	250	[{'approved': False, 'count': 12}]	0f6b9d08-9333-5985-a83a-0ec54cd0462c	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	1-NITROPYRENE	DB08463
ASG003_XC.P026_24H_E20_alectinib_1.11uM up	8c97e038-ee93-4c03-97da-4e0bb7a6314d	250	[{'approved': False, 'count': 1118}]	3803e553-0d7b-52b6-8a54-727ee1a1dea9	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	alectinib	DB11363
REP.B012_MDAMB231_24H_D19_famotidine_2.22uM up	c300cf0c-22c2-4bbf-9dd3-9753c909b525	250	[{'approved': True, 'count': 332}]	fd5f2dbe-0289-5d48-af11-9fe724c5b85e	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	famotidine	DB00927
REP.B025_MCF10A_24H_I04_pazopanib_0.08uM up	9106d16d-7a47-46be-85b0-7cb100aab724	250	[{'approved': True, 'count': 1466}]	2683ecd0-08af-578e-baa6-23f1585c2618	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	pazopanib	DB06589
MOAR008_SKES1_24H_H11_amiodarone_3.33uM up	1f148ee0-c174-4b3a-ac38-b2010d4c592e	250	[{'approved': True, 'count': 580}]	106dddd6-a64f-5ff6-a214-b604fb609ef4	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	amiodarone	DB01118
REP.A017_YAPC_24H_J01_dienogest_10uM up	9d20fd89-3cfc-4ea3-922d-c9793d3c20d3	250	[{'approved': True, 'count': 312}]	97b6efee-8b1e-50a6-8592-d5e1fcf14def	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	dienogest	DB09123
REP.B026_MCF10A_24H_B23_alvocidib_0.03uM up	99a9cc14-d2df-47d5-914b-609b41e73c45	250	[{'approved': False, 'count': 1540}]	0037e63b-a96b-56cc-8db2-a266cb9f1172	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	alvocidib	DB03496
REP.B009_THP1_24H_B08_GW-842166_0.74uM up	6f13307c-0ca6-4d5e-9df2-25f6d1c96b8a	250	[{'approved': False, 'count': 468}]	d99ee0f8-e554-5fd0-b898-36275cd2ca85	2.5486559245807955e-10	8.384603242237807e-06	5.14119587628866	22	24H	GW-842166	DB11903
REP.B026_MCF7_24H_J02_rotigotine_0.74uM up	30204a4d-2618-40dd-abce-6f4953d8f859	250	[{'approved': True, 'count': 298}]	04a6844a-9176-5ec8-8c2f-1b3e02aa151a	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	rotigotine	DB05271
REP.A004_HA1E_24H_L12_saracatinib_0.04uM down	5cbd95f0-fb57-4030-ae0d-6fe4c841474b	250	[{'approved': False, 'count': 1458}]	05958e87-c8cd-56e6-bb33-b784bb2a15aa	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	saracatinib	DB11805
REP.B011_HEK293_24H_K09_MG-132_20uM down	7f10e4ed-9d4f-44c1-9b24-b900c8d4b7ef	250	[{'approved': False, 'count': 16514}]	2a083c8a-cab9-530e-8f9f-51af896d24ce	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	MG-132	DB05490
REP.A015_MCF10A_24H_B19_phenytoin_10uM up	cfe95f08-2d12-4b42-a369-6aed1b8228d2	250	[{'approved': True, 'count': 416}]	65b7c8a4-d015-5cb0-96b4-df9ba838804f	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	phenytoin	DB00252
REP.A013_MDAMB231_24H_I02_ambrisentan_3.33uM up	38da5f05-8273-41fc-b587-6a5f295b0986	250	[{'approved': True, 'count': 484}]	20fb023b-17f7-5c62-8b40-bd8ff3b4cc55	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	ambrisentan	DB06403
EMU001_TMD8_3H_I03_ruxolitinib_0.66uM up	b1a106f5-843b-49f5-a211-5a50abf50437	250	[{'approved': False, 'count': 1020}]	c412e646-b287-514f-85cc-d175b320d95b	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	3H	ruxolitinib	DB08877
REP.A011_HA1E_24H_O16_acecainide_0.37uM up	5873ef31-e4df-4c64-a420-2b24057865b4	250	[{'approved': False, 'count': 324}]	01e80dad-16dd-58be-8a3d-2e3b30969ed5	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	acecainide	DB01228
REP.B011_MCF10A_24H_O06_MG-132_20uM up	a8979b68-91fa-45f1-84ca-3c469f0ffbd5	250	[{'approved': False, 'count': 16514}]	5eca540d-bdd5-54d3-93cb-34b5264a6a30	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	MG-132	DB05490
REP.B021_PC3_24H_O07_allopurinol_2.22uM up	3a54e8ee-549b-49a3-9d46-4e331e874848	250	[{'approved': True, 'count': 506}]	d8e1b259-d3fa-53e9-b435-2341aada383d	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	allopurinol	DB00437
CPC015_PHH_24H_O20_epirubicin_10uM up	dfe950fc-e47c-46d9-9781-a870f747cc5a	250	[{'approved': True, 'count': 860}]	937a8faf-08dc-5cc0-926d-84b03862af06	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	epirubicin	DB00445
REP.A019_PC3_24H_L24_desmopressin-acetate_0.04uM down	da9b62a9-8580-480c-b769-807ebefde0af	250	[{'approved': False, 'count': 312}]	6073a524-c1dc-5d6a-a79b-4e1bfb087287	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	desmopressin-acetate	DB00035
LJP001_MDAMB231_6H_D18_JW-7-24-1_0.08uM down	428a0f3d-6814-42f8-9556-5ec2e2fe58bd	250	[{'approved': False, 'count': 392}]	d66f183c-443c-55b6-a1d4-843659ef05f9	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	6H	JW-7-24-1	DB02880
REP.A023_YAPC_24H_B22_palmitoylethanolamide_0.37uM up	66045684-1a58-434e-8ab2-1ee70af0b79b	250	[{'approved': False, 'count': 506}]	0c89f534-3aca-5b2e-86f0-a842daf15cfa	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	palmitoylethanolamide	DB00898
REP.B026_MCF10A_24H_J09_nortriptyline_0.25uM up	f62f2619-726f-476b-b21a-67f8d8f8c952	250	[{'approved': True, 'count': 344}]	cfffda9c-ad01-5bfe-bc72-61c268d29ea7	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	nortriptyline	DB00540
MOAR004_A375_24H_F23_enprofylline_3.33uM up	3390a1d6-9501-44b8-8ded-e3c6fae167b4	250	[{'approved': False, 'count': 252}]	532baf2b-c500-57a4-8eeb-5f16469866e5	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	enprofylline	DB00824
MOAR009_HCC95_24H_O21_darapladib_1.11uM up	f0f336cd-105c-48cc-92f1-0be17c27f53c	250	[{'approved': False, 'count': 276}]	08b5a05b-19d2-5e15-a71b-263342315093	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	darapladib	DB06311
MOAR008_NCIH1573_24H_M19_asaraldehyde_10uM up	01538139-8040-4dba-8266-eb869251d234	250	[{'approved': False, 'count': 144}]	434b515c-e37b-5e1a-9adb-faf2cf2e4c0d	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	asaraldehyde	DB09117
MOAR003_PC3_24H_M08_darifenacin_3.33uM up	1cb73095-cf10-4c61-bed7-832105c91595	250	[{'approved': True, 'count': 330}]	fa4ee8a1-c7ab-5a9e-ad0f-4baca48e6c1a	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	darifenacin	DB00496
REP.A009_HA1E_24H_C04_brivanib_0.37uM up	8142a5db-1c4d-4cc3-86e9-52d11dad7e2e	250	[{'approved': False, 'count': 816}]	bdd5e5a7-9250-5b64-9ac8-0651145f3829	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	brivanib	DB11958
LJP002_MDAMB231_24H_P12_OSI-930_0.08uM up	a9b0b664-5182-40b8-b2aa-9d9d780a4fb9	250	[{'approved': False, 'count': 456}]	664233eb-5367-5e4c-a031-614eceddecd1	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	OSI-930	DB05913
REP.B019_MDAMB231_24H_P18_capsaicin_0.01uM up	59f96fd0-c9f3-4005-9a73-3a08aa93b5b5	250	[{'approved': True, 'count': 558}]	285ebce2-1231-5c8d-9f64-9c92e2bfe317	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	capsaicin	DB06774
REP.A009_MDAMB231_24H_A21_flutamide_1.11uM up	9f02b435-47f7-4435-b99f-afc70f15a910	250	[{'approved': True, 'count': 740}]	8b855679-886f-5da9-ab15-5722bfc8363e	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	flutamide	DB00499
AICHI001_SKMEL5_24H_B22_trametinib_0.125uM up	703b122f-09f0-4156-a862-939c2dd6743f	250	[{'approved': True, 'count': 1552}]	7c396fb7-1833-51a0-838a-f9f63de91664	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	trametinib	DB08911
MOAR003_PC3_24H_A24_ketoconazole_1.11uM up	750d83e3-8565-414f-8014-49c87bc21e14	250	[{'approved': True, 'count': 368}]	e7d692d9-e3a6-598d-9ab1-35400498a7e5	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	ketoconazole	DB01026
REP.A022_HT29_24H_M23_moxisylyte_0.125uM up	7ea2cfb0-4c49-4e2a-9dda-435d0db6c393	250	[{'approved': False, 'count': 362}]	f48d605a-6796-5bc4-8744-a9a59b2e255e	1.5712511502118435e-09	2.865492430523024e-05	4.907505154639176	21	24H	moxisylyte	DB09205
REP.A023_HEK293_24H_J12_doxofylline_0.04uM up	aea09af3-ce96-42d7-9de9-39215f78d332	250	[{'approved': False, 'count': 472}]	5ed7931a-2282-54ce-b82c-224ed958010a	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	doxofylline	DB09273
REP.A009_MDAMB231_24H_F14_lorglumide_3.33uM up	0b4aab61-fc6c-44b0-882f-de008e90a01d	250	[{'approved': False, 'count': 322}]	e3c04033-6c5d-55f4-bb2a-ea6ad8f91f96	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	lorglumide	DB13431
REP.B009_THP1_24H_O09_rolipram_0.25uM up	dfc29a23-e603-40a0-a79e-5d42441eb13a	250	[{'approved': False, 'count': 724}]	e7bff50d-bf95-5db4-8cad-015fda30df5e	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	rolipram	DB01954
REP.B012_MDAMB231_24H_A24_colchicine_0.01uM up	1fa22d9e-8148-4316-a7f6-86397b431f69	250	[{'approved': True, 'count': 350}]	bba415b6-74d4-5729-a1a4-8003fb35af1f	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	colchicine	DB01394
REP.B018_MCF10A_24H_O24_progesterone_0.01uM up	82c5eb2f-bddc-4f42-8b0d-796d30ea6658	250	[{'approved': True, 'count': 544}]	68b04519-9814-5d3f-b2d7-a220528db1ac	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	progesterone	DB00396
REP.B027_THP1_24H_O18_ketoprofen_0.01uM up	21fdcf32-ab86-4bdf-bd4c-bc8b8d3b948d	250	[{'approved': True, 'count': 358}]	add32762-178f-509f-a78e-1cc790473a45	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	ketoprofen	DB01009
REP.A014_HT29_24H_K19_narlaprevir_10uM up	72614f4d-e5f4-4258-ad7a-bacd6ecb70f5	250	[{'approved': False, 'count': 300}]	a308ee2d-4500-5343-806f-d5f2f594e6a4	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	narlaprevir	DB14760
REP.B004_HELA_3H_C12_mianserin_0.01uM down	5fb16059-430d-4188-a5d9-42d9769de580	250	[{'approved': False, 'count': 284}]	59bc5670-4b50-5ca7-b5bd-8828f6d781b1	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	3H	mianserin	DB06148
ASG002_JHH5_24H_E24_roscovitine_0.12uM up	9755b41e-10e3-4e03-982e-1a40c7849d72	250	[{'approved': False, 'count': 1416}]	94116e06-d5c8-5264-bf33-b2502fea2448	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	roscovitine	DB04770
LJP008_MDAMB231_24H_L18_Y-27632_0.04uM up	22fab4d6-248d-4464-b4cf-1d1ff222223c	250	[{'approved': False, 'count': 948}]	a4724261-6d38-55b2-b687-7b62678b87db	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	Y-27632	DB08756
MOAR002_A375_24H_P21_eltrombopag_1.11uM up	919d8e42-5dde-42cd-bb00-3fcaaba1ac95	250	[{'approved': True, 'count': 12}]	16fb620d-ec98-59d0-bcc6-cddef9aa01f3	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	eltrombopag	DB06210
REP.A010_HELA_24H_A13_cefepime_10uM up	03194b91-9c36-4fe3-9396-5e67a42ae4e3	250	[{'approved': True, 'count': 320}]	d9f97412-5300-5ddd-9c80-ab2f8c0c8371	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	cefepime	DB01413
MOAR010_HEC265_24H_F22_doxofylline_10uM up	1d8e8413-0d4b-4a72-9a6f-f9756047fa97	250	[{'approved': False, 'count': 472}]	8a5e3e7d-aab9-52a5-ab95-71f2763fb151	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	doxofylline	DB09273
REP.A003_HELA_3H_P16_tamibarotene_0.37uM up	11f80dea-20f1-4680-9d25-bd7624176663	250	[{'approved': False, 'count': 846}]	07830785-9095-5118-8de8-7a1beee6bebc	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	3H	tamibarotene	DB04942
REP.A016_MDAMB231_24H_P17_dipyridamole_0.125uM down	a8a7be4a-fdf9-49cd-941b-eb1d5ebe25f9	250	[{'approved': True, 'count': 388}]	bd8fd73a-efbf-57b5-bf62-9bd882645d92	9.15895447264363e-09	8.045518119881594e-05	4.6738144329896905	20	24H	dipyridamole	DB00975
