ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00337	DB00313	Pimecrolimus	Valproic acid	0.8131313131313131	D	N	False	False
DB00337	DB00831	Pimecrolimus	Trifluoperazine	0.7916666666666665	D	N	False	False
DB00252	DB00337	Phenytoin	Pimecrolimus	0.7666666666666666	N	D	False	False
DB00824	DB16637	Enprofylline	KW-2450 free base	0.75			False	False
DB00824	DB00337	Enprofylline	Pimecrolimus	0.75		D	False	False
DB16637	DB00313	KW-2450 free base	Valproic acid	0.7222222222222223		N	False	False
DB00252	DB16637	Phenytoin	KW-2450 free base	0.6833333333333336	N		False	False
DB16637	DB00831	KW-2450 free base	Trifluoperazine	0.6666666666666665		N	False	False
DB00252	DB00824	Phenytoin	Enprofylline	0.5375000000000001	N		False	False
DB16637	DB00337	KW-2450 free base	Pimecrolimus	0.5		D	False	False
DB00337	DB08080	Pimecrolimus	Latrunculin B	0.5	D		False	False
DB09273	DB00337	Doxofylline	Pimecrolimus	0.5	R	D	False	False
DB16637	DB08080	KW-2450 free base	Latrunculin B	0.5			False	False
DB00824	DB00313	Enprofylline	Valproic acid	0.4722222222222223		N	False	False
DB00313	DB00831	Valproic acid	Trifluoperazine	0.3222222222222222	N	N	True	False
DB00252	DB08080	Phenytoin	Latrunculin B	0.25384615384615383	N		False	False
DB00824	DB08080	Enprofylline	Latrunculin B	0.25			False	False
DB09273	DB00313	Doxofylline	Valproic acid	0.22222222222222232	R	N	False	False
DB08080	DB00313	Latrunculin B	Valproic acid	0.22222222222222232		N	False	False
DB00564	DB00337	Carbamazepine	Pimecrolimus	0.20000000000000018	N	D	True	False
DB00824	DB00831	Enprofylline	Trifluoperazine	0.16666666666666652		N	False	False
DB00252	DB09273	Phenytoin	Doxofylline	0.10000000000000009	N	R	False	False
DB08080	DB00831	Latrunculin B	Trifluoperazine	0.05555555555555536		N	False	False
DB09273	DB08080	Doxofylline	Latrunculin B	0.0	R		False	False
DB16637	DB00564	KW-2450 free base	Carbamazepine	0.0		N	False	False
DB00824	DB00564	Enprofylline	Carbamazepine	-0.02777777777777768		N	False	False
DB00252	DB00831	Phenytoin	Trifluoperazine	-0.04583333333333339	N	N	False	False
DB00252	DB00313	Phenytoin	Valproic acid	-0.046198830409356795	N	N	False	False
DB09273	DB16637	Doxofylline	KW-2450 free base	-0.10000000000000009	R		False	False
DB09273	DB00831	Doxofylline	Trifluoperazine	-0.16666666666666674	R	N	False	False
DB00824	DB09273	Enprofylline	Doxofylline	-0.41666666666666674		R	False	False
DB00564	DB00831	Carbamazepine	Trifluoperazine	-0.44444444444444464	N	N	False	False
DB00564	DB08080	Carbamazepine	Latrunculin B	-0.5	N		False	False
DB09273	DB00564	Doxofylline	Carbamazepine	-0.5	R	N	False	False
DB00564	DB00313	Carbamazepine	Valproic acid	-0.7777777777777777	N	N	False	False
DB00252	DB00564	Phenytoin	Carbamazepine	-1.0923076923076922	N	N	False	False
