Signature	DrugBank_ID	DrugBank_Name	Enrichment_Score	Normalized_Enrichment_Score	p-value	FDR	Cell_Line
LJP007_JURKAT_24H:C01	DB11800	Tivozanib	0.5380828342919075	2.697962242113023	<0.0001	<0.0001	JURKAT
LJP007_NPC.TAK_24H:D02	DB12494	SGI-1776	-0.5006630665297823	-2.4838626762130636	<0.0001	<0.0001	NPC.TAK
LJP008_NEU_24H:D23	DB13978	Selisistat	-0.4781907253153759	-2.436177618608366	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.497547920095974	-2.389329041948323	<0.0001	<0.0001	PL21
AML001_HL60_24H:BRD-A75409952:0.37037	DB08059	Wortmannin	-0.4074298806733623	-2.3425636261163447	<0.0001	<0.0001	HL60
LJP007_JURKAT_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.47138291295217544	-2.3405441263610527	<0.0001	<0.0001	JURKAT
AML001_HL60_24H:BRD-K26684619:1.11111	DB08784	2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	-0.4404357875038808	-2.3112431834409475	<0.0001	<0.0001	HL60
LJP007_JURKAT_24H:P24	DB11886	Infigratinib	0.48517902330886115	2.295507048369612	<0.0001	<0.0001	JURKAT
LJP007_JURKAT_24H:F06	DB12848	PF-04217903	0.47932230316354324	2.291026734058999	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:A03	DB02546	Vorinostat	-0.47446211541415517	-2.265282018895238	<0.0001	<0.0001	NEU
LJP008_NEU_24H:F03	DB12376	Ricolinostat	-0.4326165186726241	-2.21988806092179	<0.0001	<0.0001	NEU
CPC006_U937_6H:BRD-A36630025-001-02-6:0.35	DB05482	7-ethyl-10-hydroxycamptothecin	-0.4485056732746433	-2.1885802793694813	<0.0001	<0.0001	U937
LJP007_NPC.CAS9_24H:I13	DB11526	Masitinib	-0.4471518271392195	-2.185408847999553	<0.0001	<0.0001	NPC.CAS9
CPC014_NEU_24H:BRD-K74733595-001-02-9:10	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide	-0.4351768062597453	-2.1748498027475582	<0.0001	<0.0001	NEU
LJP007_NEU_24H:I22	DB13005	Rebastinib	-0.4197506094959638	-2.163516106022551	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J24	DB03044	Doramapimod	-0.39636884687300433	-2.15192717327698	<0.0001	<0.0001	NEU
LJP007_NEU_24H:K10	DB11962	GSK-1059615	0.420782837764405	2.1490719022855242	<0.0001	<0.0001	NEU
CPC016_NEU_24H:BRD-K08547377-003-03-2:10	DB00762	Irinotecan	-0.44673992647828853	-2.1333092577626447	<0.0001	<0.0001	NEU
LJP007_NEU_24H:B08	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide	-0.40106964222278996	-2.124916610054681	<0.0001	<0.0001	NEU
LJP007_NEU_24H:J23	DB03044	Doramapimod	-0.39382734367652944	-2.1210592479856474	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:3.33333	DB04297	Trichostatin A	-0.4446237535837965	-2.117084151672608	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:D24	DB06616	Bosutinib	0.41891324762954213	2.1067953011125384	<0.0001	<0.0001	JURKAT
LJP007_NPC.TAK_24H:G08	DB11963	Dacomitinib	-0.43338425690737187	-2.095040755613588	<0.0001	<0.0001	NPC.TAK
CPC014_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.42035589877900764	-2.085788809696664	<0.0001	<0.0001	NEU
AML001_HL60_24H:BRD-A75409952:1.11111	DB08059	Wortmannin	-0.4169173633978133	-2.0716353697297003	<0.0001	<0.0001	HL60
CPC006_PL21_6H:BRD-K02113016-001-01-4:44.4	DB09074	Olaparib	-0.4464390608326292	-2.051635842419573	<0.0001	<0.0001	PL21
LJP009_NEU_24H:I22	DB11363	Alectinib	-0.42667367282942437	-2.050404332831319	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:F01	DB12848	PF-04217903	0.40846549039671776	2.0494591302929055	<0.0001	<0.0001	JURKAT
NMH002_NPC_24H:BRD-K54771420-001-09-9:10	DB02691	Glycocholic acid	-0.386174056517529	-2.048893309588843	<0.0001	<0.0001	NPC
LJP007_NPC_24H:K21	DB01590	Everolimus	0.4475132751117537	2.0445073100078686	<0.0001	<0.0001	NPC
LJP008_NEU_24H:I05	DB16239	Molibresib	0.3950930284971462	2.0437408787393476	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K61250553-003-13-2:10	DB00836	Loperamide	0.4074050637829837	2.039090261738417	<0.0001	<0.0001	PL21
DOSBIO002_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.42723149412183076	-2.0357209542152837	<0.0001	<0.0001	NEU
CPC013_NEU_24H:BRD-K68202742-001-05-8:10	DB04297	Trichostatin A	-0.4216057982996912	-2.034839557197547	<0.0001	<0.0001	NEU
CPC012_NEU_24H:BRD-K89626439-001-01-0:10	DB00877	Sirolimus	-0.37994381248306147	-2.011480025586146	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:G17	DB01254	Dasatinib	-0.4000313984126308	-2.0114377797791088	<0.0001	<0.0001	JURKAT
LJP008_NEU_24H:A03	DB02546	Vorinostat	-0.40931004313121544	-2.0107457985426143	<0.0001	<0.0001	NEU
CPC006_NOMO1_6H:BRD-K76188144-001-01-2:160	DB08263	N-(carboxycarbonyl)-D-phenylalanine	0.4359785735253234	2.0106788417434482	<0.0001	<0.0001	NOMO1
LJP007_NPC_24H:I05	DB01268	Sunitinib	-0.4288350627852012	-2.006099441259796	<0.0001	<0.0001	NPC
LJP007_NEU_24H:M24	DB12874	Quizartinib	-0.4017377040565872	-2.0041952641415617	<0.0001	<0.0001	NEU
LJP007_NEU_24H:F02	DB12848	PF-04217903	0.34857933764714166	2.0014874150960478	<0.0001	<0.0001	NEU
LJP009_NPC_24H:O21	DB07232	Veliparib	0.3916293863502619	2.0012409199286676	<0.0001	<0.0001	NPC
LJP008_NEU_24H:A07	DB07232	Veliparib	0.3830157262621166	1.995325581165904	<0.0001	<0.0001	NEU
NMH002_NPC_24H:BRD-K93754473-001-16-9:10	DB00675	Tamoxifen	0.4215139988107898	1.9945642699699184	<0.0001	<0.0001	NPC
LJP008_NPC.TAK_24H:D23	DB13978	Selisistat	-0.4001899465822348	-1.9936362200761475	<0.0001	<0.0001	NPC.TAK
CPC006_U937_6H:BRD-K18849474-001-01-0:79.44	DB12181	Dalcetrapib	-0.41531559298674925	-1.9911947300780233	<0.0001	<0.0001	U937
LJP007_NPC_24H:D23	DB06616	Bosutinib	0.41056469144980967	1.988881537848462	<0.0001	<0.0001	NPC
LJP007_JURKAT_24H:A15	DB12742	Amuvatinib	-0.44127491254271356	-1.9873108381730777	<0.0001	<0.0001	JURKAT
LJP007_NEU_24H:K23	DB01590	Everolimus	-0.3916840100199454	-1.976803525325202	<0.0001	<0.0001	NEU
CPC006_PL21_6H:BRD-K14888893-001-05-6:10	DB00350	Minoxidil	0.4023185230274219	1.9742579401046232	<0.0001	<0.0001	PL21
LJP008_NEU_24H:L24	DB05015	Belinostat	-0.3890492937465189	-1.9734146250925144	<0.0001	<0.0001	NEU
LJP009_NEU_24H:H11	DB08912	Dabrafenib	0.41406167375256214	1.9728138615284048	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K83794624-001-01-7:10	DB11616	Pirarubicin	-0.40051650804795186	-1.9677959481852927	<0.0001	<0.0001	NEU
LJP009_NPC_24H:B03	DB00877	Sirolimus	0.43283799946360013	1.9671780342032987	<0.0001	<0.0001	NPC
LJP007_NPC.TAK_24H:I13	DB11526	Masitinib	-0.3628717157202923	-1.9659150954564668	<0.0001	<0.0001	NPC.TAK
AML001_U937_24H:BRD-K43389675:1.11111	DB00694	Daunorubicin	-0.3878799869694045	-1.9658978601351558	<0.0001	<0.0001	U937
LJP007_NEU_24H:O04	DB07101	PD-0325901	0.33981232235831094	1.9595312908379374	<0.0001	<0.0001	NEU
LJP007_NEU_24H:D11	DB08875	Cabozantinib	0.38005567689739034	1.9586814888697803	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K81062487-001-01-7:10	DB04348	Taurocholic acid	0.3879192051251399	1.955468975927662	<0.0001	<0.0001	NEU
DOSBIO001_NEU_24H:BRD-A19037878:10	DB04297	Trichostatin A	-0.394731431365575	-1.9517058260821885	<0.0001	<0.0001	NEU
CPC014_NEU_24H:BRD-K64800655-001-01-7:10	DB12686	PHA-793887	0.4061153623268782	1.948898156588046	<0.0001	<0.0001	NEU
LPROT001_NPC.TAK_6H:K02	DB01262	Decitabine	-0.42579503654742723	-1.9452280757003166	<0.0001	<0.0001	NPC.TAK
DOSBIO001_NEU_24H:BRD-A19037878:1.11111	DB04297	Trichostatin A	-0.4030008958400039	-1.9450698460359692	<0.0001	<0.0001	NEU
AML001_U937_24H:BRD-A45664787:10	DB01088	Iloprost	0.361283315401547	1.9443728534008904	<0.0001	<0.0001	U937
LJP007_NPC.TAK_24H:K09	DB11962	GSK-1059615	0.45276914090889336	1.9412489427530737	<0.0001	<0.0001	NPC.TAK
LJP007_NPC.CAS9_24H:P08	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	-0.4085317193488892	-1.940098617207402	<0.0001	<0.0001	NPC.CAS9
CPC006_U937_6H:BRD-K93754473-001-06-0:28.39	DB00675	Tamoxifen	0.39470573660904906	1.9388955353042046	<0.0001	<0.0001	U937
CPC015_NPC_24H:BRD-A34806832-001-02-7:10	DB13307	Proscillaridin	0.41803255288416374	1.9369548350291161	<0.0001	<0.0001	NPC
LJP009_NEU_24H:N11	DB08896	Regorafenib	0.39181626565439015	1.934363307876763	<0.0001	<0.0001	NEU
LJP008_NPC_24H:B03	DB00877	Sirolimus	0.42399535332318405	1.9343430398631203	<0.0001	<0.0001	NPC
NMH001_NEU_24H:BRD-A19037878-001-02-3:10	DB04297	Trichostatin A	-0.4099606189855511	-1.933328131729942	<0.0001	<0.0001	NEU
LJP007_JURKAT_24H:P01	DB09054	Idelalisib	0.40996339047334346	1.9332003258547374	<0.0001	<0.0001	JURKAT
CPC016_NPC_24H:BRD-K87990216-001-03-7:10	DB02925	Piretanide	0.4193127378630931	1.9266603268058564	<0.0001	<0.0001	NPC
LJP007_JURKAT_24H:C05	DB11800	Tivozanib	0.38536697541166365	1.9264763834435514	<0.0001	<0.0001	JURKAT
KMS002_THP1_6H:BRD-A75409952-001-02-4:10	DB08059	Wortmannin	0.3921452114308459	1.9253349020855306	<0.0001	<0.0001	THP1
