ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB08597	DB07996	Dorsomorphin	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.25			False	False
DB07859	DB08597	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Dorsomorphin	1.1666666666666665			False	False
DB08756	DB08597	Y-27632	Dorsomorphin	1.1666666666666665			False	False
DB08597	DB07995	Dorsomorphin	H-89	1.0333333333333337			False	False
DB03374	DB08597	3,5-Diiodotyrosine	Dorsomorphin	0.9166666666666665			False	False
DB08597	DB14649	Dorsomorphin	Dexamethasone acetate	0.8999999999999999			False	False
DB01234	DB08597	Dexamethasone	Dorsomorphin	0.8999999999999999	R, D, H, A, S, C		False	False
DB08597	DB12695	Dorsomorphin	Phenethyl Isothiocyanate	0.8907801418439716			False	False
DB08597	DB00588	Dorsomorphin	Fluticasone propionate	0.875			False	False
DB12695	DB07996	Phenethyl Isothiocyanate	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.84822695035461			False	False
DB01254	DB08597	Dasatinib	Dorsomorphin	0.8330434782608696	L		False	False
DB08597	DB00421	Dorsomorphin	Spironolactone	0.8166666666666664		C	False	False
DB00313	DB08597	Valproic acid	Dorsomorphin	0.8131313131313131	N		False	False
DB00396	DB08597	Progesterone	Dorsomorphin	0.8	G		False	False
DB08756	DB12695	Y-27632	Phenethyl Isothiocyanate	0.7904761904761906			False	False
DB08597	DB00794	Dorsomorphin	Primidone	0.7833333333333334		N	False	False
DB01782	DB07996	Pyrazolanthrone	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.75			False	False
DB08756	DB01782	Y-27632	Pyrazolanthrone	0.75			False	False
DB01782	DB08597	Pyrazolanthrone	Dorsomorphin	0.75			False	False
DB07859	DB00313	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Valproic acid	0.7222222222222223		N	False	False
DB00313	DB07996	Valproic acid	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.7222222222222223	N		False	False
DB08756	DB00313	Y-27632	Valproic acid	0.7222222222222223		N	False	False
DB00794	DB00588	Primidone	Fluticasone propionate	0.7178571428571427	N		False	False
DB08080	DB08597	Latrunculin B	Dorsomorphin	0.7000000000000002			False	False
DB00630	DB08597	Alendronic acid	Dorsomorphin	0.7	M		False	False
DB00630	DB07996	Alendronic acid	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.7	M		False	False
DB00630	DB07859	Alendronic acid	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	0.7	M		False	False
DB00630	DB08756	Alendronic acid	Y-27632	0.7	M		False	False
DB12695	DB07995	Phenethyl Isothiocyanate	H-89	0.6833333333333333			False	False
DB07859	DB12695	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Phenethyl Isothiocyanate	0.6680272108843537			False	False
DB01234	DB00794	Dexamethasone	Primidone	0.666666666666667	R, D, H, A, S, C	N	False	False
DB14649	DB00794	Dexamethasone acetate	Primidone	0.666666666666667		N	False	False
DB01782	DB14649	Pyrazolanthrone	Dexamethasone acetate	0.6499999999999999			False	False
DB01234	DB01782	Dexamethasone	Pyrazolanthrone	0.6499999999999999	R, D, H, A, S, C		False	False
DB01254	DB07996	Dasatinib	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.6330434782608696	L		False	False
DB08756	DB00588	Y-27632	Fluticasone propionate	0.625			False	False
DB01782	DB00588	Pyrazolanthrone	Fluticasone propionate	0.625			False	False
DB03374	DB12695	3,5-Diiodotyrosine	Phenethyl Isothiocyanate	0.6017006802721088			False	False
DB00630	DB00794	Alendronic acid	Primidone	0.6000000000000001	M	N	False	False
DB00630	DB14649	Alendronic acid	Dexamethasone acetate	0.6000000000000001	M		False	False
DB01234	DB00630	Dexamethasone	Alendronic acid	0.6000000000000001	R, D, H, A, S, C	M	True	False
DB01782	DB07995	Pyrazolanthrone	H-89	0.5833333333333335			False	False
DB00630	DB00588	Alendronic acid	Fluticasone propionate	0.575	M		False	False
DB01234	DB08756	Dexamethasone	Y-27632	0.5666666666666667	R, D, H, A, S, C		False	False
DB08756	DB14649	Y-27632	Dexamethasone acetate	0.5666666666666667			False	False
DB08597	DB00280	Dorsomorphin	Disopyramide	0.5625		C	False	False
DB12695	DB00794	Phenethyl Isothiocyanate	Primidone	0.5606060606060606		N	False	False
DB00313	DB07995	Valproic acid	H-89	0.5555555555555556	N		False	False
DB12695	DB00588	Phenethyl Isothiocyanate	Fluticasone propionate	0.5430272108843537			False	False
DB08756	DB01254	Y-27632	Dasatinib	0.5426731078904992		L	False	False
DB07996	DB00588	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	Fluticasone propionate	0.5416666666666667			False	False
DB08597	DB00862	Dorsomorphin	Vardenafil	0.5333333333333334		G	False	False
DB11781	DB00794	Tosedostat	Primidone	0.5333333333333334		N	False	False
DB08597	DB00203	Dorsomorphin	Sildenafil	0.5333333333333334		G	False	False
DB00630	DB07995	Alendronic acid	H-89	0.5333333333333332	M		False	False
DB01782	DB00794	Pyrazolanthrone	Primidone	0.5214285714285716		N	False	False
DB08756	DB00396	Y-27632	Progesterone	0.5142857142857142		G	False	False
DB08756	DB00421	Y-27632	Spironolactone	0.5071428571428571		C	False	False
DB07859	DB01254	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	Dasatinib	0.5056360708534622		L	False	False
DB11781	DB08597	Tosedostat	Dorsomorphin	0.5			False	False
DB08756	DB11781	Y-27632	Tosedostat	0.5			False	False
DB01222	DB08597	Budesonide	Dorsomorphin	0.5	A, R, D		False	False
DB08080	DB08756	Latrunculin B	Y-27632	0.5			False	False
DB08080	DB07996	Latrunculin B	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	0.5			False	False
DB08597	DB01380	Dorsomorphin	Cortisone acetate	0.5			False	False
DB00396	DB00794	Progesterone	Primidone	0.5	G	N	False	False
DB00834	DB08597	Mifepristone	Dorsomorphin	0.5	G		False	False
DB01782	DB03374	Pyrazolanthrone	3,5-Diiodotyrosine	0.5			False	False
