# Reference distribution mean: 1.4251991707729066 and standard deviation: 0.7514880409770658
# Threshold: 0.88
# 2.68% of reference distribution below threshold, 4.18% of distances distribution below threshold
DrugBank_ID	Distance	Proximity	DrugBank_Name
DB00443	-6.9411900550683745	-11.13309696181394	Betamethasone
DB06781	-6.9411900550683745	-11.13309696181394	Difluprednate
DB15566	-6.9411900550683745	-11.13309696181394	Prednisolone acetate
DB00769	-6.9411900550683745	-11.13309696181394	Hydrocortamate
DB00223	-6.9411900550683745	-11.13309696181394	Diflorasone
DB01384	-6.9411900550683745	-11.13309696181394	Paramethasone
DB00394	-6.9411900550683745	-11.13309696181394	Beclomethasone dipropionate
DB13158	-6.9411900550683745	-11.13309696181394	Clobetasone
DB00860	-6.9411900550683745	-11.13309696181394	Prednisolone
DB00253	-6.9411900550683745	-11.13309696181394	Medrysone
DB00838	-6.9411900550683745	-11.13309696181394	Clocortolone
DB00846	-6.9411900550683745	-11.13309696181394	Flurandrenolide
DB00240	-6.9411900550683745	-11.13309696181394	Alclometasone
DB13003	-6.9411900550683745	-11.13309696181394	Cortivazol
DB00547	-6.9411900550683745	-11.13309696181394	Desoximetasone
DB14596	-6.9411900550683745	-11.13309696181394	Loteprednol etabonate
DB05423	-6.9411900550683745	-11.13309696181394	ORG-34517
DB01130	-6.9411900550683745	-11.13309696181394	Prednicarbate
DB00180	-6.9411900550683745	-11.13309696181394	Flunisolide
DB00324	-6.9411900550683745	-11.13309696181394	Fluorometholone
DB01410	-6.9411900550683745	-11.13309696181394	Ciclesonide
DB01260	-6.9411900550683745	-11.13309696181394	Desonide
DB00620	-6.9411900550683745	-11.13309696181394	Triamcinolone
DB11921	-6.9411900550683745	-11.13309696181394	Deflazacort
DB00596	-6.9411900550683745	-11.13309696181394	Ulobetasol
DB00896	-6.9411900550683745	-11.13309696181394	Rimexolone
DB00635	-6.9411900550683745	-11.13309696181394	Prednisone
DB00663	-6.9411900550683745	-11.13309696181394	Flumethasone
DB01780	-6.643789733147672	-10.737348386049474	Fusicoccin
DB14917	-5.645446897643238	-9.408860398128317	Ceralasertib
DB01951	-5.099866427824198	-8.68286019577022	Gpi-1046
DB03621	-5.099866427824198	-8.68286019577022	L-709,587
DB00864	-5.099866427824198	-8.68286019577022	Tacrolimus
DB04012	-5.099866427824198	-8.68286019577022	(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine
DB02311	-5.099866427824198	-8.68286019577022	Methyl Methylsulfinylmethyl Sulfide
DB08520	-5.099866427824198	-8.68286019577022	(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE
DB02888	-5.099866427824198	-8.68286019577022	FKB-001
DB04094	-5.099866427824198	-8.68286019577022	4-hydroxybutan-2-one
DB01712	-5.099866427824198	-8.68286019577022	(3R)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-L-phenylalanine ethyl ester
DB01723	-5.099866427824198	-8.68286019577022	{3-[3-(3,4-Dimethoxy-Phenyl)-1-(1-{1-[2-(3,4,5-Trimethoxy-Phenyl)-Butyryl]-Piperidin-2yl}-Vinyloxy)-Propyl]-Phenoxy}-Acetic Acid
DB05814	-5.099866427824198	-8.68286019577022	GPI-1485
DB04991	-4.897839799950911	-8.414024742832584	XL784
DB02106	-4.605170185988091	-8.024571287815125	[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid
DB07425	-4.605170185988091	-8.024571287815125	Sobetirome
DB03604	-4.605170185988091	-8.024571287815125	Tiratricol
DB03788	-4.605170185988091	-8.024571287815125	GC-24
DB05192	-4.605170185988091	-8.024571287815125	MB07811
DB08085	-4.605170185988091	-8.024571287815125	1-(4-HEXYLPHENYL)PROP-2-EN-1-ONE
DB03181	-4.605170185988091	-8.024571287815125	2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione
DB06933	-4.406719247264253	-7.760493979990216	N-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide
DB08011	-4.406719247264253	-7.760493979990216	(3E)-5-fluoro-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-1H-indole-2,3-dione 3-oxime
DB08015	-4.406719247264253	-7.760493979990216	(3Z)-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-4-phenyl-1H-indole-2,3-dione 3-oxime
DB08023	-4.406719247264253	-7.760493979990216	N-cyclohexyl-4-imidazo[1,2-a]pyridin-3-yl-N-methylpyrimidin-2-amine
DB08010	-4.406719247264253	-7.760493979990216	(3Z)-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-4-[(E)-2-phenylethenyl]-1H-indole-2,3-dione 3-oxime
DB08005	-4.406719247264253	-7.760493979990216	4-{[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino}-N-ethylpiperidine-1-carboxamide
DB08021	-4.406719247264253	-7.760493979990216	5-bromo-N-(3-chloro-2-(4-(prop-2-ynyl)piperazin-1-yl)phenyl)furan-2-carboxamide
