GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
HP:0010850	EEG with spike-wave complexes	10	0.03164556962025317	14.168959823885528	1.5679994361750949e-09	2.6883350333222e-06	5.570516608365215	1.61300101999332e-05	CACNB4, CDKL5, CASK, DMXL2, GNAO1, SCN8A, SCN1A, FGF13, HCN1, ADGRV1
HP:0010818	Generalized tonic seizure	11	0.03481012658227848	11.202333860759493	3.36270952518595e-09	3.843576987287541e-06	5.415264415539348	3.459219288558787e-05	GABRB3, CACNB4, CDKL5, CASK, DMXL2, GNAO1, SCN8A, SCN1A, SLC1A2, ADGRV1, MAPK10
HP:0010844	EEG with multifocal slow activity	9	0.028481012658227847	11.067828994506806	1.0300994455368041e-07	5.577175261177424e-05	4.2535857077110055	0.0010596632996237104	SCN3A, GABRB2, SCN8A, YWHAG, SCN1A, HCN1, SLC1A2, GABRA2, SYNJ1
HP:0011153	Focal motor seizure	9	0.028481012658227847	10.862869198312236	1.219602363057418e-07	6.27302475438583e-05	4.202522998661939	0.001254604950877166	CDKL5, CASK, FRRS1L, DMXL2, GNAO1, SCN8A, YWHAG, SCN1A, AKT3
HP:0011443	Abnormality of coordination	9	0.028481012658227847	10.665362485615649	1.4387376478669077e-07	6.727406447094035e-05	4.172152332924048	0.001480029418360688	SCN3A, GABRB2, SCN8A, YWHAG, SCN1A, HCN1, SLC1A2, GABRA2, SYNJ1
HP:0010819	Atonic seizure	14	0.04430379746835443	9.505010548523208	2.322442803494901e-10	7.963656373184015e-07	6.098887487776933	2.3890969119552046e-06	GABRB3, CDKL5, CASK, ST3GAL3, FRRS1L, DMXL2, ADGRV1, GNAO1, SCN1A, FGF13, HCN1, ATP6V0C, AKT3, MAPK10
HP:0012447	Abnormal myelination	10	0.03164556962025317	9.445973215923685	9.57591932952408e-08	5.577175261177424e-05	4.2535857077110055	0.0009850748214281421	SCN3A, PGAP1, GABRB2, SCN8A, YWHAG, SCN1A, HCN1, SLC1A2, GABRA2, SYNJ1
HP:0200134	Epileptic encephalopathy	16	0.05063291139240506	8.08399568246492	1.4426044035880455e-10	7.420035749855113e-07	6.129594002277927	1.4840071499710224e-06	GABRB3, SCN3A, ABAT, CDKL5, CASK, GABRB2, ST3GAL3, FRRS1L, DMXL2, GNAO1, SCN8A, SCN1A, HCN1, SLC1A2, GLS, SYNJ1
HP:0002373	Febrile seizure (within the age range of 3 months to 6 years)	14	0.04430379746835443	7.47935256277236	5.803087234942927e-09	5.969635838585789e-06	5.224052161017443	5.969635838585789e-05	GABRB3, CACNB4, CDKL5, CASK, DMXL2, GNAO1, SCN8A, SCN1A, FGF13, HCN1, ASXL2, ATP6V0C, GLS, ADGRV1
HP:0002121	Generalized non-motor (absence) seizure	15	0.04746835443037975	7.136191444146725	3.179291113175411e-09	3.843576987287541e-06	5.415264415539348	3.2705367681235453e-05	GABRB3, CACNB4, PGAP1, CDKL5, PAK3, CASK, DMXL2, GNAO1, SCN8A, YWHAG, FGF13, SCN1A, HCN1, ATP6V0C, ADGRV1
HP:0100660	Dyskinesia	20	0.06329113924050633	7.123192916926057	7.463089198160437e-12	7.677279858147641e-08	7.114792627865999	7.677279858147641e-08	GABRB3, SCN3A, PGAP1, SCN1A, HCN1, MT-ND3, DMXL2, DNAJC6, STX16, YWHAG, SYNJ1, GABRB2, CASK, GNAO1, SCN8A, ATM, CDKL5, SLC1A2, GABRA2, GIGYF2
HP:0032794	Myoclonic seizure	13	0.04113924050632911	6.095710773153629	2.3530975022745516e-07	9.682525602359326e-05	4.014011345986736	0.002420631400589831	GABRB3, CDKL5, CASK, ST3GAL3, MACF1, DMXL2, NCDN, YWHAG, SCN1A, HCN1, SLC1A2, ATP6V0C, SYNJ1
HP:0004305	Involuntary movements	13	0.04113924050632911	6.095710773153629	2.3530975022745516e-07	9.682525602359326e-05	4.014011345986736	0.002420631400589831	SCN3A, GABRB2, CDKL5, MACF1, GNAO1, DNAJC6, SCN8A, YWHAG, SCN1A, HCN1, SLC1A2, GABRA2, SYNJ1
HP:0100710	Impulsivity	14	0.04430379746835443	6.003164556962026	9.768479800898135e-08	5.577175261177424e-05	4.2535857077110055	0.0010048835171183911	SCN3A, GABRB3, GABRB2, HIVEP2, DNAJC6, SCN8A, YWHAG, SCN1A, HCN1, SLC1A2, GIGYF2, FBXW11, GABRA2, SYNJ1
HP:0002521	Hypsarrhythmia	16	0.05063291139240506	5.63694834074581	2.8852008679735498e-08	2.4733384440703252e-05	4.606716452043366	0.0002968006132884391	GABRB3, SCN3A, GABRB2, CDKL5, CASK, ST3GAL3, DMXL2, GNAO1, SCN8A, YWHAG, FGF13, SCN1A, HCN1, SLC1A2, GABRA2, SYNJ1
HP:0007359	Focal-onset seizure	16	0.05063291139240506	5.240379110743591	8.02017590822911e-08	5.500236637863523e-05	4.25961862535893	0.0008250354956795285	SCN3A, GABRB3, CDKL5, CASK, FRRS1L, DMXL2, GNAO1, NCDN, SCN8A, SCN1A, FGF13, HCN1, ATP6V0C, VAMP2, ADGRV1, MAPK10
HP:0000752	Hyperactivity	16	0.05063291139240506	4.895941047126642	2.0460253426611218e-07	9.151070739110852e-05	4.038528087476582	0.002104746269995496	GABRB3, ATR, CDKL5, SLC4A10, PAK3, CASK, DYM, UBE3C, DMXL2, GNAO1, SCN1A, ARID2, HIVEP2, SNRPN, THRB, MAPK10
HP:0001336	Myoclonus	23	0.07278481012658228	4.641102010424423	1.2020153752469235e-09	2.6883350333222e-06	5.570516608365215	1.2365132165165101e-05	GABRB3, SCN3A, SCN1A, HCN1, KCND3, MAPK10, CACNB4, QDPR, FRRS1L, DMXL2, DNAJC6, YWHAG, AKT3, SYNJ1, GABRB2, CASK, GNAO1, SCN8A, ATM, CDKL5, SGCE, SLC1A2, GABRA2
HP:0002069	Bilateral tonic-clonic seizure	24	0.0759493670886076	4.418794250160909	1.3871033464895323e-09	2.6883350333222e-06	5.570516608365215	1.4269132125337818e-05	GABRB3, SCN3A, PGAP1, ST3GAL3, SCN1A, HCN1, MT-ND3, ADGRV1, ATP6V0C, MAPK10, CACNB4, FRRS1L, DMXL2, SYNJ1, CASK, GNAO1, SCN8A, FGF13, ZMYND11, CDKL5, PAK3, MACF1, SLC1A2, CERT1
HP:0002376	Developmental regression	24	0.0759493670886076	3.697998024957357	4.382806521236777e-08	3.4681485141509785e-05	4.45990231330216	0.00045085930683962723	GABRB3, SCN3A, SLC4A10, SCN1A, HCN1, MT-ND3, ADGRV1, ATP6V0C, MAPK10, FRRS1L, DMXL2, YWHAG, SYNJ1, GABRB2, CASK, GNAO1, SCN8A, FGF13, ACER3, ATM, CDKL5, SLC1A2, GABRA2, NDUFS1
HP:0001337	Tremor	25	0.07911392405063292	3.5499572543504043	5.0351376556285036e-08	3.699747218817887e-05	4.431827947614838	0.0005179646106345042	SCN3A, SCN1A, HCN1, ADGRV1, PDE8B, QDPR, DMXL2, DNAJC6, YWHAG, PIGN, SYNJ1, GABRB2, CASK, GNAO1, SCN8A, FGF13, ITM2B, TOGARAM1, SEMA3A, ATM, CDKL5, SGCE, UBE3C, SLC1A2, GABRA2
HP:0000729	Autistic behavior	24	0.0759493670886076	3.5470593300611384	9.551010237909255e-08	5.577175261177424e-05	4.2535857077110055	0.000982512423173725	GABRB3, SCN1A, HCN1, ARID2, USP9X, NLGN4X, VAMP2, ADGRV1, MAPK10, FRRS1L, DMXL2, SNRPN, CASK, GNAO1, SCN8A, FGF13, TNRC6B, HIVEP2, TOGARAM1, MED12L, CDKL5, UBE3C, FBXW11, GABRA2
HP:0001249	Intellectual disability	62	0.1962025316455696	2.0840574222651633	2.6647876823619668e-08	2.4733384440703252e-05	4.606716452043366	0.0002741267088845755	GABRB3, BBS9, DIP2B, SCN3A, PGAP1, ST3GAL3, NBAS, DYM, GRIA4, PRKACB, NCDN, SCN1A, LMBR1, HCN1, ARID2, ASXL2, USP9X, TTC21B, SYT14, VAMP2, ATP6V0C, MAPK10, RNPC3, CACNB4, QDPR, FRRS1L, DMXL2, COG6, ATP8A2, TSPAN7, DNAJC6, YWHAG, PIGN, MPDZ, EYA1, SNRPN, NT5C2, AKT3, SYNJ1, RAD50, GABRB2, CASK, KCNH1, CIT, GNAO1, SCN8A, TNRC6B, HIVEP2, LIFR, SEMA3A, TOGARAM1, ATR, MED12L, CDKL5, PAK3, TUSC3, FBXW11, ASPH, SLC1A2, CERT1, IDS, GABRA2
HP:0001263	Global developmental delay	69	0.21835443037974683	2.079162204392633	2.8677574136422655e-09	3.843576987287541e-06	5.415264415539348	2.9500620514137986e-05	GABRB3, BBS9, DIP2B, SCN3A, SLC4A10, PGAP1, GLS, PIK3C2A, DYM, NBAS, GRIA4, YWHAE, PRKACB, SCN1A, LMBR1, HCN1, ARID2, ASXL2, USP9X, TTC21B, MT-ND3, SYT14, VAMP2, DOCK3, ATP6V0C, FNIP1, RNPC3, PREPL, QDPR, EML1, DMXL2, FRRS1L, COG6, YWHAG, PIGN, EYA1, SNRPN, CHN1, NT5C2, AKT3, SYNJ1, ABAT, GABRB2, CASK, PRKD1, KCNH1, CIT, GNAO1, SCN8A, TNRC6B, HIVEP2, LIFR, SEMA3A, TOGARAM1, ATR, ZMYND11, CDKL5, PAK3, TUSC3, MACF1, UBE3C, ASPH, SLC1A2, SPART, CERT1, IDS, GABRA2, GRB10, NDUFS1
HP:0001250	Seizure	56	0.17721518987341772	2.072642845333851	1.4185898964763214e-07	6.727406447094035e-05	4.172152332924048	0.0014593034265051917	BBS9, DIP2B, SCN3A, PGAP1, SLC4A10, CALM3, NBAS, GRIA4, CALM2, YWHAE, SCN1A, HCN1, ARID2, ASXL2, USP9X, MT-ND3, NLGN4X, PPA2, PREPL, QDPR, EML1, DMXL2, FRRS1L, ATP8A2, COG6, DNAJC6, YWHAG, PIGN, MPDZ, SNRPN, CHN1, AKT3, SYNJ1, ABAT, GABRB2, CASK, KCNH1, CIT, GNAO1, SCN8A, TNRC6B, HIVEP2, LIFR, SEMA3A, TOGARAM1, ATR, MED12L, ATM, CDKL5, PAK3, MACF1, SLC1A2, GLS, IDS, GABRA2, NDUFS1
